,"12. About 2,000 years ago, there were three countries on the Korean Peninsula: Silla, Baekje, and Goguryeo. For about 700 years, three countries (Silla, Baekse, and Goguryeo) fought many wars to take over the Han River. Eventually, Silla unified the three kingdoms. Let's explain how Silla unified the three kingdoms.",q12_Nadang Alliance, q12_War Victory,q12_Dang-river,q12_Han River Charge,q12_Nadze Alliance
1056,"""Silla failed to form an alliance with Goguryeo, and Baekje was on the verge of collapse with the capture of the main castles of Daeya and Goguryeo. So, what Kim Chun-chu chose is the price of abandoning self-reliance in the name of preserving the country. So, he entered the Tang Sinha costume and planned a coalition, claiming to be a subordinate state of the Party, and the terms were to divide the Baekje-Goguryo-Land. From Silla's point of view, the goal was to occupy the Honam Plain and the Han River basin, and the Tang Dynasty was mainly to seek revenge on Goguryeo and absorb the Korean Peninsula from King Gwanggaeto. To be honest, the reason why China still hates Korea is that Tibet and Uighur absorb into China, but I don't like the fact that only the Korean Peninsula is not absorbed at the end of the continent and that a small country maintains its independence as a country. Silla eventually defended the Korean Peninsula with the Battle of Maesoseong and said it was unification, but in fact, it is a half-digit unification, and people say that it is not the unification of the Three Kingdoms, but ""Baekje Occupation and Goguryeo Partial Occupation>. Since then, Balhae has been built by Daejoyeong, and the Manchurian Plain has become the owner of the Korean people again, but it is different from Goguryeo. Goguryeo was mainly operated around Pyongyang, Daedong River, and Joha castles, but Balhae was operated around Baekdusan Mountain. At that time, Pyongyang was a border area with Silla, so it avoided military conflict, and focused more on the border area of China, and naturally, it was not managed, so it was devastated.",,,,,
1057,,,,,,
1058,"After all, Silla is nominally unified, but the actual control is the half-unification of the Daedong River, which now occupies only the southern part of the country, the present part of the South. For 30 years before Balhae was established, the Manchurian was absorbed under the control of the Tang Dynasty.",,,,,
1059,,,,,,
1060,"Kim Chun-chu's diplomacy to save Silla is beneficial to one country in Silla, but in the history of the Korean people, more than 70% of the territory has been devoted to the Tang Dynasty.""",,,,,
1061,The winners were united by a good fight.,,,,,
1062,Other countries have been mucked up by the coalition of parties.,,,,,
1063,the formation of a coalition of Nazi allies to invade another country,,,,,
1064,"Silla asked the Tang Dynasty for support, formed the Nadang Alliance, conquered Baekje, conquered Goguryeo, ousted the Tang Dynasty, and established a unified Silla",,,,,
1065,Silla unified the three countries with the help of foreign powers.,,,,,
1066,"King Seongdeok brought in the Tang Dynasty and formed a coalition of the Nadang Dynasty, destroyed Baekje, and destroyed Goguryeo. However, the Tang Dynasty suddenly asked for half of the Korean Peninsula, so Silla and the Tang Dynasty fought and defeated the Tang Dynasty.",,,,,
1067,"First, a coalition of Nadang was formed topple Baekje first, and then Goguryeo was disposed of.",,,,,
1068,Silla and Tang combined to defeat Goguryeo.,,,,,
1069,"Silla allied with the Tang Dynasty, destroyed Baekje and Goguryeo, and later went to war with the Tang Dynasty, losing most of Goguryeo's land and unifying the three kingdoms.",,,,,
1070,"After the formation of the Nadang Alliance, Baekje and Goguryeo were destroyed in turn.",,,,,
1071,It united with the Tang Dynasty to occupy the Han River basin and toppled Baekje and Goguryeo.,,,,,
1072,It united with the Party to destroy Goguryeo and oust the Party to unify the three kingdoms.,,,,,
1073,"After the first Baekje integration, it formed a coalition with the Party to unify Goguryeo.",,,,,
1074,.,,,,,
1075,.,,,,,
1076,"In alliance with the Tang Dynasty, Goguryeo was destroyed and Baekje was defeated to unify.",,,,,
1077,"The Tang Dynasty formed a Nadang alliance, first destroyed Baekje in 660 and Goguryeo in 668, followed by the Nadang War in 675, and the incomplete reunification of the three kingdoms of the Korean Peninsula in 676.",,,,,
1078,"Through the Nadang Coalition, Baekje was conquered, Goguryeo was invaded, and the three kingdoms were unified.",,,,,
1079,The three countries were unified by the Nathang Alliance.,,,,,
1080,I don't know.,,,,,
1081,"Baekje fell, Goguryeo fell, and Silla unified the three kingdoms",,,,,
1082,"After the fall of Baekje and the fall of Goguryeo, Silla unified the three kingdoms.",,,,,
1083,"Silla united with the Tang Dynasty, fought Baekje and Goguryeo, and drove the Tang Dynasty out of Korea through the Nadang War to achieve the unification of the Three Kingdoms.",,,,,
1084,I don't know,,,,,
1085,"Silla, which joined forces with the Tang Dynasty, destroyed Baekje, followed by Goguryeo, and finally won the war against the Tang Dynasty to unify the three kingdoms.",,,,,
1086,"Silla surrendered Goguryeo, Baekje, and so on through the Nadang League, resulting in a slightly narrower land.",,,,,
1087,"I don't knowBaekje was absorbed into Silla during the war between Silla and Baekje, and Goguryeo was absorbed into Silla and Tang Dynasty due to the Nadang War",,,,,
1088,"Silla was the weakest of the three kingdoms. So we always fought wars with the help of other countries. When his mother invaded, he borrowed the power of Goguryeo and also borrowed the power of Baekje to counter Goguryeo. Eventually, they defeated Baekje and used the power of the Tang Dynasty to destroy Goguryeo, achieving the unification of the Three Kingdoms.",,,,,
1089,Silla unified the three countries in the order of Baekje and Goguryeo.,,,,,
1090,"Silla's heyday was the last of the three kingdoms. When Goguryeo planned to go south, it continued to form a naje alliance, but when Goguryeo was attacked by China, it violated it and conquered Baekje. After that, he took advantage of China's continued attacks on Goguryeo and formed a Nadang alliance to conquer Goguryeo. However, it is not so good considering that it is a reunification that borrowed foreign power.",,,,,
1091,Silla unified the three kingdoms with the help of the Tang Dynasty.,,,,,
1092,I don't know,,,,,
1093,"In the early 4th century, Silla was the weakest of the three kingdoms. As Goguryeo moved south in the 5th century, the territory of Baekje and Silla became dangerous, and Baekje Silla formed a naje alliance against Goguryeo. After that, Silla broke the Naje alliance and conquered Goguryeo and Gaya in the southernmost part of Baekje with the help of the Tang Dynasty and achieved the unification of the three kingdoms.",,,,,
1094,I don't know.,,,,,
1095,The Tang Dynasty unified the country for help,,,,,
1096,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,,,,
