,"12. About 2,000 years ago, there were three countries on the Korean Peninsula: Silla, Baekje, and Goguryeo. For about 700 years, three countries (Silla, Baekse, and Goguryeo) fought many wars to take over the Han River. Eventually, Silla unified the three kingdoms. Let's explain how Silla unified the three kingdoms.",Nadang Alliance,War Victory,Dang-river,Han River Charge,Nadze Alliance
934,Silla fought a war with the people of Baekje and Goguryeo to drive out the party.,0,0,0,0,0
935,â¢ The result,0,0,0,0,0
936,"The party dispatched large-scale troops to attack, but Silla persistently fought against the party and won victories in Maesoseong and Gibeolpo.",0,0,0,0,0
937,,0,0,0,0,0
938,4) Completion of the Unification of the Three Kingdoms (676),0,0,0,0,0
939,â  the unification of the three kingdoms,0,0,0,0,0
940,King Munmu ousted the Party's army and achieved the unification of the three kingdoms.,0,0,0,0,0
941,â¡ significance,0,0,0,0,0
942,"The people of Goguryeo, Baekje, and Silla came together to form the basis for the development of a new national culture.",0,0,0,0,0
943,â¢ Limit:,0,0,0,0,0
944,It united with the Party and lost most of Goguryeo's land north of the Daedong River.,0,0,0,0,0
945,,0,0,0,0,0
946,,0,0,0,0,0
947,,0,0,0,0,0
948,,0,0,0,0,0
949,"""",0,0,0,0,0
950,"Goguryeo won a great victory in the Battle of Salsu against Sui and the Battle of Ansi Castle with Tang, but gradually lost its strength. With the fall of Baekje and Goguryeo, Silla united with the Party to unify the three kingdoms",0,0,0,0,0
951,"When King Uija of Baekje attacked Silla, Silla sent Kim Chun-chu to Goguryeo to ask for help, but when it failed, Kim Chun-chu asked the party for help and formed an alliance.",0,0,0,0,0
952,"When Silla attacked Baekje's King Uija, Silla sent Kim Chun-chu to Goguryeo to ask for help, but when it failed, Kim Chun-chu asked for help from the party, and the Na+Party formed an alliance.",0,0,0,0,0
953,"Silla suffered from Baekje's strong resistance, but won thanks to the performance of the Hwaryang",0,0,0,0,0
954,allied with Tang and destroyed Baekje and Goguryeo,0,0,0,0,0
955,"In its heyday, it occupied the Han River and became unified",0,0,0,0,0
956,in concert with the Tang Dynasty,0,0,0,0,0
957,Goguryeo and Silla helped Baekje,0,0,0,0,0
958,We won all the wars and unified them,0,0,0,0,0
959,Holding hands,0,0,0,0,0
960,Silla defeated Goguryeo and Baekje in its heyday,0,0,0,0,0
961,Destruction of Baekje to Goguryeo like China,0,0,0,0,0
962,Asking China for help.,0,0,0,0,0
963,King Munmu unified,0,0,0,0,0
964,Silla will not be able to unify with Goguryeo,0,0,0,0,0
965,I will kill you with the help of Tang,0,0,0,0,0
966,"He joined hands with the Tang Dynasty to destroy Goguryeo, followed by the collapse of Baekje, and fought with the Tang Dynasty to win",0,0,0,0,0
967,I want to ask China for help,0,0,0,0,0
968,"He joined hands with the Tang Dynasty to destroy Goguryeo, destroyed Baekje, and unified the Three Kingdoms.",0,0,0,0,0
969,Silla united with the Tang Dynasty topple Goguryeo and Baekje and unify them,0,0,0,0,0
970,"By forming an alliance with the Tang Dynasty, Baekje and Goguryeo were destroyed.",0,0,0,0,0
971,"After taking over the Han River in cooperation with Baekje, he betrayed Baekje and joined hands with the party. After that, they used the power of the party to unify, betraying the party, and achieving unification.",0,0,0,0,0
972,"If you fight hard, you win",0,0,0,0,0
973,"Silla allied with Tang, destroying Baekje and Goguryeo, and unifying the three kingdoms",0,0,0,0,0
974,"During the war, Goguryeo was so strong that it merged with Baekje.",0,0,0,0,0
975,"They united with the Tang Dynasty and destroyed Baekje, Goguryeo.",0,0,0,0,0
976,The war unified the three countries,0,0,0,0,0
977,Silla and Tang allied to form Baekje and unified Goguryeo,0,0,0,0,0
978,Destroy Baekje and destroy Goguryeo,0,0,0,0,0
979,King Munmu was well unified.,0,0,0,0,0
980,It's because my country is ruined and I feel like I'm dead,0,0,0,0,0
981,Baekjae fell first and Goguryeo fell.,0,0,0,0,0
982,with the help of foreign powers,0,0,0,0,0
983,"Baekje and Goguryeo collapsed, and Silla unified the three kingdoms",0,0,0,0,0
984,"Silla last occupied the Han River and attacked Goguryeo when internal heat broke out inside Goguryeo, and when Baekje became evil, it unified the three kingdoms.",0,0,0,0,0
985,The coalition of the ruling parties united all together.,0,0,0,0,0
986,It was unified by the power of the Tang Dynasty.,0,0,0,0,0
987,the unification of the three kingdoms in union with the Tang Dynasty,0,0,0,0,0
988,"Silla formed the Nadang Federation and unified the three kingdoms after destroying Baekje and Goguryeo one after another.Silla formed a league of the Tang Dynasty and Nadang, then destroyed Baekje first and then Goguryeo.",0,0,0,0,0
989,Goguryeo and Baekje were conquered in order.,0,0,0,0,0
990,The Tang Dynasty and the Nadang Alliance were formed to destroy Goguryeo and Baekje.,1,0,0,0,0
991,"After joining forces with the Party to destroy Baekje, Goguryeo was destroyed. Later, the Nadang War broke out.",0,0,0,0,0
992,Silla united with Tang and unified the three kingdoms,0,0,0,0,0
993,They united the three kingdoms in union with the Tang Dynasty.,0,0,0,0,0
994,Silla unified it using the power of a foreign power called the Tang Dynasty,0,0,0,0,0
995,"With the help of the Tang Dynasty, Baekje and Goguryeo were destroyed in order, and the three kingdoms were unified after the Nadang War.",0,0,0,0,0
996,"With the help of the Tang Dynasty, Baekje was defeated, Goguryeo was defeated, and Unified Silla was established through the Nadang War.",0,0,0,0,0
997,winning the war,0,0,0,0,0
998,I don't know,0,0,0,0,0
999,Silla captured Baekje and united with Tang to capture Goguryeo,0,0,0,0,0
1000,Unification by force of the Tang Dynasty,0,0,0,0,0
1001,Silla ate Baekje,0,0,0,0,0
1002,"First, Silla ate the Han River. And we beat Baekje and Goguryeo by becoming a team.",0,0,0,0,0
1003,"""(It's too long, so I'll abbreviate it.)",0,0,0,0,0
1004,"Silla was geographically and diplomatically less developed than Baekje and Goguryeo. So, after being invaded by King Jinheung in the 6th century, he took away Danghangseong, which was strong and could trade with China, and established an alliance with China to honor Baekje, destroy Goguryeo, and win the Nadang War to achieve unification.""",0,0,0,0,0
1005,They united under the Tang Dynasty.,0,0,0,0,0
1006,"Baekje and Goguryeo were falling apart, and Silla was in its heyday, allowing Silla to unify the three kingdoms.",0,0,0,0,0
1007,I don't know.,0,0,0,0,0
1008,It was occupied by Baekje and Goguryeo in the order of the Nadang alliance,0,0,0,0,0
1009,"Silla established a Nadang alliance and destroyed Baekje, which had already lost much national power, and then struck Goguryeo to fame. After that, the party's Ssangseong General Office was pushed out and the area downstream of the Yalu River was established, resulting in the unification of the three kingdoms.",0,0,0,0,0
1010,Long live Queen Seondeok,0,0,0,0,0
1011,I don't know.,0,0,0,0,0
1012,.,0,0,0,0,0
1013,I don't understand.,0,0,0,0,0
1014,I don't know.,0,0,0,0,0
1015,"Using the power of China, they unified it by force.",0,0,0,0,0
1016,This is because I became close to China by interacting with it.,0,0,0,0,0
1017,Silla unified the three kingdoms with the help of other countries.,0,0,0,0,0
1018,"Feeling threatened by Baekje, Silla joined forces with the Tang Dynasty to attack and destroy Baekje, and then Goguryeo also attacked it. Goguryeo tried to stop it, but was defeated by a traitor who opened the door, and Silla unified the three kingdoms to have land in the south.",0,0,0,0,0
1019,The country that occupies the Han River has an advantage for everything,0,0,0,0,0
1020,I don't know.,0,0,0,0,0
1021,"Goguryeo was attacked and ruled, and then Baekje was defeated and the Tang Dynasty was defeated to unify it.",0,0,0,0,0
1022,the occupation of the other country by war,0,0,0,0,0
1023,"In alliance with the Party, Baekje and Goguryeo were destroyed.",0,0,0,0,0
1024,"Although it was the first reunification, it was united with China to destroy Baekje and Goguryeo",0,0,0,0,0
1025,I broke it all,0,0,0,0,0
1026,"By joining forces with China to give part of the land, they beat Goguryeo and Baekje and reunified the three kingdoms.",0,0,0,0,0
1027,They fought a war and won the war.,0,0,0,0,0
1028,Silla occupied Baekje first and then went up to the north to occupy Goguryeo and unify the three kingdoms.,0,0,0,0,0
1029,"After Silla invaded Bexse, Goguryeo also invaded",0,0,0,0,0
1030,I'm going to drive you,0,0,0,0,0
1031,Strengthening national power after taking over the Han River basin during the reign of King Jinheung.,0,0,0,0,0
1032,King of Baekje died in the Battle of Gwansanseong Fortress,0,0,0,0,0
1033,Suu Kyi's invasion of Goguryeo -> weakening of Goguryeo's national power,0,0,0,0,0
1034,Kim Chun-chu's Negotiations -> Forming a Alliance of the Ruling Parties,0,0,0,0,0
1035,Silla destroyed Baekje through land and Tang through waterways.,0,0,0,0,0
1036,"After the fall of Baekje, the fall of Goguryeo by pressing up and down",0,0,0,0,0
1037,"By preventing the Tang Dynasty's ambition to occupy the Korean Peninsula and achieving the unification of the Three Kingdoms.""",0,0,0,0,0
1038,"They united with the Tang Dynasty to destroy Baekje and Goguryeo, and later defeated the Tang Dynasty to unify the southern part of the Korean Peninsula.",0,0,0,0,0
1039,Silla unified other countries,0,0,0,0,0
1040,I don't know.,0,0,0,0,0
1041,Silla won by drawing in other countries.,0,0,0,0,0
1042,"Silla defeated King Uija of Baekje and destroyed Baekje, and won the war against Goguryeo's Yeongaesomun through a coalition with the Tang Dynasty.",0,0,0,0,0
1043,"Goguryeo Yeongaesomun died, Baekje collapsed, Silla formed an alliance with Tang and Nadang to unify somehow",0,0,0,0,0
1044,unification in union with the Tang Dynasty,0,0,0,0,0
1045,"Baekje, Goguryeo, and Silla",0,0,0,0,0
1046,"Baekje, Goguryeo, and Silla",0,0,0,0,0
1047,You must have fought a lot of wars and unified them,0,0,0,0,0
1048,Silla united with Tang to destroy Goguryeo and Baekje,0,0,0,0,0
1049,d,0,0,0,0,0
1050,Silla sided with China and defeated Goguryeo and Baekje,0,0,0,0,0
1051,"United with the Tang Dynasty. With the help of the Tang Dynasty, reunification",0,0,0,0,0
1052,The Nadang Alliance was formed topple Baekje and topple Goguryeo.,1,0,0,0,0
1053,Silla and Tang combined topple Goguryeo and Baekje.,0,0,0,0,0
1054,I won the fight,0,0,0,0,0
1055,It united with the Tang Dynasty to destroy Baekje and Goguryeo.,0,0,0,0,0
1056,"""Silla failed to form an alliance with Goguryeo, and Baekje was on the verge of collapse with the capture of the main castles of Daeya and Goguryeo. So, what Kim Chun-chu chose is the price of abandoning self-reliance in the name of preserving the country. So, he entered the Tang Sinha costume and planned a coalition, claiming to be a subordinate state of the Party, and the terms were to divide the Baekje-Goguryo-Land. From Silla's point of view, the goal was to occupy the Honam Plain and the Han River basin, and the Tang Dynasty was mainly to seek revenge on Goguryeo and absorb the Korean Peninsula from King Gwanggaeto. To be honest, the reason why China still hates Korea is that Tibet and Uighur absorb into China, but I don't like the fact that only the Korean Peninsula is not absorbed at the end of the continent and that a small country maintains its independence as a country. Silla eventually defended the Korean Peninsula with the Battle of Maesoseong and said it was unification, but in fact, it is a half-digit unification, and people say that it is not the unification of the Three Kingdoms, but ""Baekje Occupation and Goguryeo Partial Occupation>. Since then, Balhae has been built by Daejoyeong, and the Manchurian Plain has become the owner of the Korean people again, but it is different from Goguryeo. Goguryeo was mainly operated around Pyongyang, Daedong River, and Joha castles, but Balhae was operated around Baekdusan Mountain. At that time, Pyongyang was a border area with Silla, so it avoided military conflict, and focused more on the border area of China, and naturally, it was not managed, so it was devastated.",0,0,0,0,0
1057,,0,0,0,0,0
1058,"After all, Silla is nominally unified, but the actual control is the half-unification of the Daedong River, which now occupies only the southern part of the country, the present part of the South. For 30 years before Balhae was established, the Manchurian was absorbed under the control of the Tang Dynasty.",0,0,0,0,0
1059,,0,0,0,0,0
1060,"Kim Chun-chu's diplomacy to save Silla is beneficial to one country in Silla, but in the history of the Korean people, more than 70% of the territory has been devoted to the Tang Dynasty.""",0,0,0,0,0
1061,The winners were united by a good fight.,0,0,0,0,0
1062,Other countries have been mucked up by the coalition of parties.,0,0,0,0,0
1063,the formation of a coalition of Nazi allies to invade another country,0,0,0,0,0
1064,"Silla asked the Tang Dynasty for support, formed the Nadang Alliance, conquered Baekje, conquered Goguryeo, ousted the Tang Dynasty, and established a unified Silla",1,0,0,0,0
1065,Silla unified the three countries with the help of foreign powers.,0,0,0,0,0
1066,"King Seongdeok brought in the Tang Dynasty and formed a coalition of the Nadang Dynasty, destroyed Baekje, and destroyed Goguryeo. However, the Tang Dynasty suddenly asked for half of the Korean Peninsula, so Silla and the Tang Dynasty fought and defeated the Tang Dynasty.",0,0,0,0,0
1067,"First, a coalition of Nadang was formed topple Baekje first, and then Goguryeo was disposed of.",0,0,0,0,0
1068,Silla and Tang combined to defeat Goguryeo.,0,0,0,0,0
1069,"Silla allied with the Tang Dynasty, destroyed Baekje and Goguryeo, and later went to war with the Tang Dynasty, losing most of Goguryeo's land and unifying the three kingdoms.",0,0,0,0,0
1070,"After the formation of the Nadang Alliance, Baekje and Goguryeo were destroyed in turn.",1,0,0,0,0
1071,It united with the Tang Dynasty to occupy the Han River basin and toppled Baekje and Goguryeo.,0,0,0,0,0
1072,It united with the Party to destroy Goguryeo and oust the Party to unify the three kingdoms.,0,0,0,0,0
1073,"After the first Baekje integration, it formed a coalition with the Party to unify Goguryeo.",0,0,0,0,0
1074,.,0,0,0,0,0
1075,.,0,0,0,0,0
1076,"In alliance with the Tang Dynasty, Goguryeo was destroyed and Baekje was defeated to unify.",0,0,0,0,0
1077,"The Tang Dynasty formed a Nadang alliance, first destroyed Baekje in 660 and Goguryeo in 668, followed by the Nadang War in 675, and the incomplete reunification of the three kingdoms of the Korean Peninsula in 676.",0,0,0,0,0
1078,"Through the Nadang Coalition, Baekje was conquered, Goguryeo was invaded, and the three kingdoms were unified.",0,0,0,0,0
1079,The three countries were unified by the Nathang Alliance.,0,0,0,0,0
1080,I don't know.,0,0,0,0,0
1081,"Baekje fell, Goguryeo fell, and Silla unified the three kingdoms",0,0,0,0,0
1082,"After the fall of Baekje and the fall of Goguryeo, Silla unified the three kingdoms.",0,0,0,0,0
1083,"Silla united with the Tang Dynasty, fought Baekje and Goguryeo, and drove the Tang Dynasty out of Korea through the Nadang War to achieve the unification of the Three Kingdoms.",0,0,0,0,0
1084,I don't know,0,0,0,0,0
1085,"Silla, which joined forces with the Tang Dynasty, destroyed Baekje, followed by Goguryeo, and finally won the war against the Tang Dynasty to unify the three kingdoms.",0,0,0,0,0
1086,"Silla surrendered Goguryeo, Baekje, and so on through the Nadang League, resulting in a slightly narrower land.",0,0,0,0,0
1087,"I don't knowBaekje was absorbed into Silla during the war between Silla and Baekje, and Goguryeo was absorbed into Silla and Tang Dynasty due to the Nadang War",0,0,0,0,0
1088,"Silla was the weakest of the three kingdoms. So we always fought wars with the help of other countries. When his mother invaded, he borrowed the power of Goguryeo and also borrowed the power of Baekje to counter Goguryeo. Eventually, they defeated Baekje and used the power of the Tang Dynasty to destroy Goguryeo, achieving the unification of the Three Kingdoms.",0,0,0,0,0
1089,Silla unified the three countries in the order of Baekje and Goguryeo.,0,0,0,0,0
1090,"Silla's heyday was the last of the three kingdoms. When Goguryeo planned to go south, it continued to form a naje alliance, but when Goguryeo was attacked by China, it violated it and conquered Baekje. After that, he took advantage of China's continued attacks on Goguryeo and formed a Nadang alliance to conquer Goguryeo. However, it is not so good considering that it is a reunification that borrowed foreign power.",0,0,0,0,0
1091,Silla unified the three kingdoms with the help of the Tang Dynasty.,0,0,0,0,0
1092,I don't know,0,0,0,0,0
1093,"In the early 4th century, Silla was the weakest of the three kingdoms. As Goguryeo moved south in the 5th century, the territory of Baekje and Silla became dangerous, and Baekje Silla formed a naje alliance against Goguryeo. After that, Silla broke the Naje alliance and conquered Goguryeo and Gaya in the southernmost part of Baekje with the help of the Tang Dynasty and achieved the unification of the three kingdoms.",0,0,0,0,0
1094,I don't know.,0,0,0,0,0
1095,The Tang Dynasty unified the country for help,0,0,0,0,0
1096,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,0,0,0,0,0
