,Unnamed: 0,1) Let's talk about what plants need to make their own starch ,Unnamed: 0,",q53_sun,q53_water,""q53_carbon dioxide (CO2), air, "",q53_soil,q53_photosynthesis,q53_quantum,q53_chloroplast,q53_sun.1,q53_water.1,q53_carbon dioxide (CO2), air, .1"",q53_soil.1,q53_Photosynthesis1.q53_Cuteness1,q53_Chloroplast.1"
759,759,Sunlight water,759.0,"785,1,0,1,0,0,0,0,,,,,,,"
760,760,Plants photosynthesize,760.0,"786,1,1,0,0,0,0,0,,,,,,,"
761,761,Sunlight,761.0,"787,1,1,1,0,0,0,0,,,,,,,"
762,762,as time went by,762.0,"788,1,0,1,0,0,0,0,,,,,,,"
763,763,water sunlight soil,763.0,"789,1,1,1,0,0,0,0,,,,,,,"
764,764,manure and moisture,764.0,"790,1,1,1,0,0,0,0,,,,,,,"
765,765,Plants need the sun and rain to make their own food.,765.0,"791,1,1,0,0,0,0,0,,,,,,,"
766,766,other plants,766.0,"792,1,1,1,0,0,0,0,,,,,,,"
767,767,"Water, sunlight, and soil",767.0,"793,1,0,0,0,0,0,0,,,,,,,"
768,768,"Plants need water, carbon dioxide sunlight to photosynthesize",768.0,"794,1,0,0,0,0,0,0,,,,,,,"
769,769,"moderate temperature, water, sun",769.0,"795,1,1,1,0,0,0,0,,,,,,,"
770,770,"photosynthesis, sunlight",770.0,"796,1,1,0,0,0,0,0,,,,,,,"
771,771,.,771.0,"797,0,0,0,0,0,0,1,,,,,,,"
772,772,We need light and carbon dioxide water.,772.0,"798,0,1,1,0,0,0,0,,,,,,,"
773,773,I don't know.,773.0,"799,1,0,0,0,0,0,0,,,,,,,"
774,774,I don't know because I didn't learn it.,774.0,"800,1,0,1,0,0,0,0,,,,,,,"
775,775,I don't like it,775.0,"801,1,1,1,0,0,0,0,,,,,,,"
776,776,I don't know.,776.0,"802,0,1,1,0,0,0,0,,,,,,,"
777,777,I didn't learn it.,777.0,"803,0,1,1,0,0,0,0,,,,,,,"
778,778,I don't know.,778.0,"804,1,1,1,0,0,0,0,,,,,,,"
779,779,water and sunlight,779.0,"805,1,1,1,0,0,0,0,,,,,,,"
780,780,I don't know,780.0,"806,1,1,1,0,0,0,0,,,,,,,"
781,781,Photosynthesis,781.0,"807,1,0,0,0,0,0,0,,,,,,,"
782,782,Stem,782.0,"808,0,0,0,0,0,0,0,,,,,,,809,1,1,0,0,0,0,0,,,,,,,"
783,783,You just need to get the light and water it,783.0,"810,1,1,1,0,0,0,0,,,,,,,"
784,784,"I think I need water, light, soil, etc",784.0,"811,1,1,1,0,0,0,0,,,,,,,"
785,785,"comb, water",785.0,"812,1,1,1,0,0,0,0,,,,,,,"
786,786,solar water,786.0,"813,1,0,0,0,0,0,0,,,,,,,"
787,787,water and sunlight,787.0,"814,1,1,0,0,0,0,0,,,,,,,"
788,788,"Water, sunlight, soil, etc. are needed.",788.0,"815,1,0,0,0,0,0,0,,,,,,,"
789,789,"Water, soil, sun",789.0,"816,1,1,1,0,0,0,0,,,,,,,"
790,790,"Water, air, sunlight",790.0,"817,0,0,0,0,0,0,0,,,,,,,"
791,791,"soil, nutrients, water, sunlight, etcRain or water",791.0,"818,1,1,0,0,0,0,0,,,,,,,"
792,792,No learning,792.0,"819,1,0,0,0,0,0,0,,,,,,,"
793,793,"""Things plants need to grow.",793.0,"820,1,1,1,0,0,0,0,,,,,,,"
794,794,"(Soil, Water, Sunlight)""",794.0,"821,1,1,1,0,0,0,0,,,,,,,"
795,795,Don't know,795.0,"822,0,0,0,0,0,0,0,,,,,,,"
796,796,"Plants need light, sun, water and soil to make their own food",796.0,"823,0,1,0,0,0,0,0,,,,,,,"
797,797,"Your face, Bul-al",797.0,"824,0,1,1,0,0,0,0,,,,,,,"
798,798,"Carbon dioxide, water, light (sun)",798.0,"825,0,0,0,0,0,0,0,,,,,,,"
799,799,"Water, sunlight, and carbon dioxide are needed, and soil where plants are flesh-based is also needed.",799.0,"826,1,0,0,0,1,0,0,,,,,,,"
800,800,Starch is made through photosynthesis.,800.0,"827,1,0,0,0,0,0,0,,,,,,,"
801,801,"Water, carbon dioxide",801.0,"828,1,1,0,1,0,0,0,,,,,,,"
802,802,"Sunlight, chlorophyll, oxygen gas, carbon dioxide",802.0,"829,1,0,1,0,0,0,0,,,,,,,"
803,803,"Carbon dioxide, water is needed.",803.0,"830,1,0,1,0,1,0,0,,,,,,,"
804,804,"We need water, carbon dioxide, and sunlight.",804.0,"831,1,1,0,0,0,0,0,,,,,,,"
805,805,"Carbon dioxide, water, sunlight",805.0,"832,0,0,0,0,0,0,0,,,,,,,"
806,806,"Sunlight, carbon dioxide, water",806.0,"833,1,1,0,0,0,1,0,,,,,,,"
807,807,"Sunlight, water, carbon dioxide",807.0,"834,0,0,0,0,0,0,0,,,,,,,"
808,808,"Carbon dioxide, oxygen, light",808.0,"835,1,1,1,0,0,0,0,,,,,,,"
809,809,"Water, Solar Energy",809.0,"836,1,1,0,1,0,1,0,,,,,,,"
810,810,"Water, carbon dioxide, energy",810.0,"837,1,1,0,0,0,0,0,,,,,,,"
811,811,"Oxygen, carbon dioxide, sunlight",811.0,"838,0,0,0,0,0,0,0,,,,,,,839,1,1,0,0,0,0,0,,,,,,,"
812,812,"We need sunlight, water, and carbon dioxide.",812.0,"840,1,1,0,0,0,0,1,,,,,,,"
813,813,"Sunlight, water, carbon dioxide",813.0,"841,0,1,1,0,1,0,0,,,,,,,"
814,814,"Sunlight, water",814.0,"842,1,1,0,0,0,0,0,,,,,,,"
815,815,"Light, carbon dioxide, water",815.0,"843,1,1,0,1,1,0,0,,,,,,,"
816,816,Fire,816.0,"844,0,0,0,0,0,0,0,,,,,,,"
817,817,Plants need to photosynthesize to make nutrients and sunlight to make photosynthesis,817.0,"845,1,1,0,0,1,0,0,,,,,,,"
818,818,"Plants produce oxygen and glucose with light energy, water, and carbon dioxide through photosynthesis. At this time, starch is made by stacking glucose in a chain structure to store glucose in plants. Therefore, plants need an appropriate amount of water and carbon dioxide to make their own nutrients.",818.0,"846,1,1,0,0,1,0,0,,,,,,,"
819,819,"Sunlight, water, oxygen",819.0,"847,1,1,0,0,0,0,0,,,,,,,"
820,820,chloroplast,820.0,"848,0,0,0,0,0,0,0,,,,,,,"
821,821,We need carbon dioxide and water.,821.0,"849,0,0,0,0,1,0,0,,,,,,,"
822,822,We need sunlight.,822.0,"850,0,0,0,0,1,0,0,,,,,,,"
823,823,carbon dioxide and light,823.0,"851,0,0,0,0,0,0,0,,,,,,,"
824,824,"It is light, water, and carbon dioxide.",824.0,"852,1,1,0,0,0,0,0,,,,,,,"
825,825,Water and carbon dioxide,825.0,"853,0,1,0,0,1,0,0,,,,,,,"
826,826,It is water and carbon dioxide.,826.0,"854,0,0,0,0,0,0,0,,,,,,,"
827,827,"We need light, carbon dioxide, and water.",827.0,"855,0,0,0,0,0,0,0,,,,,,,"
828,828,"Light, water, carbon dioxide",828.0,"856,0,0,0,0,1,0,0,,,,,,,"
829,829,"Carbon dioxide, water, and solar power",829.0,"857,0,0,0,0,0,0,0,,,,,,,"
830,830,Solar energy,830.0,"858,1,1,0,0,0,0,0,,,,,,,"
831,831,Oxygen is needed.,831.0,"859,1,0,0,0,0,0,0,,,,,,,"
832,832,Water and light energy are needed.,832.0,"860,0,0,0,0,1,0,0,,,,,,,"
833,833,"We need light, water, carbon dioxide, sugar",833.0,"861,1,1,1,0,0,0,0,,,,,,,"
834,834,"We need sunlight, carbon dioxide, water",834.0,"862,1,1,0,0,0,0,0,,,,,,,"
835,835,Water and carbon dioxide are needed.,835.0,"863,1,0,1,0,0,0,0,,,,,,,"
836,836,need light energy,836.0,"864,1,1,1,0,0,0,0,,,,,,,"
837,837,Light and water,837.0,"865,1,1,0,0,0,0,0,,,,,,,"
838,838,I need light. h,838.0,"866,0,0,0,0,1,0,0,,,,,,,"
839,839,"Light and water are needed because a bright reaction must occur, and there must be carbon dioxide to be used for cancer reactions.",839.0,"867,0,0,0,0,0,0,0,,,,,,,"
840,840,M and D,840.0,"868,1,1,0,0,0,0,0,,,,,,,869,1,0,0,0,0,0,0,,,,,,,"
841,841,"Water, glucose and light energy are needed.",841.0,"870,0,0,0,0,0,0,0,,,,,,,"
842,842,Light power + ATP (adenosine triphosphate) + oxygen,842.0,"871,1,0,0,0,0,0,0,,,,,,,"
843,843,water-light carbon dioxide,843.0,"872,0,0,0,0,1,0,0,,,,,,,"
844,844,"We need light energy, water, and carbon dioxide.",844.0,"873,1,0,1,0,0,1,0,,,,,,,"
845,845,It's not at all!,845.0,"874,0,1,0,0,1,0,0,,,,,,,"
846,846,"In the process of making starch, plants need various factors such as water, oxygen, and glucose.",846.0,"875,1,1,0,0,0,0,0,,,,,,,"
847,847,"It produces ATP and NADPH through acyclic photophosphorylation, in which electrons from the photolysis of water travel through the chlorophyll a in the photometer 2 and the chlorophyll a in the photometer 1. Using them, carbon dioxide is fixed through the Kelvin circuit, and glucose is produced through a cycle of reduction of 3PG and restoration of RUBP. The glucose combines into starch.",847.0,"876,0,0,0,0,0,0,0,,,,,,,"
848,848,I don't know.,848.0,"877,1,0,0,0,0,0,0,,,,,,,"
849,849,photosynthetic sunlight,849.0,"878,1,0,0,0,0,0,0,,,,,,,"
850,850,Sunlight,850.0,"879,0,1,0,0,1,0,0,,,,,,,"
851,851,"Sunlight, ground, water",851.0,"880,0,0,0,0,1,0,0,,,,,,,"
852,852,"Sunlight, wind, nature",852.0,"881,1,0,0,0,0,0,0,,,,,,,"
853,853,Light energy and carbon dioxide are needed for photosynthesis.,853.0,"882,1,0,0,0,0,0,0,,,,,,,"
854,854,Glucose,854.0,"883,1,1,0,0,0,0,0,,,,,,,"
855,855,Shiningg - ☆,855.0,"884,0,0,0,0,1,0,0,,,,,,,"
856,856,"Water, sunlight, nutrients",856.0,"885,0,1,0,0,1,0,0,,,,,,,"
857,857,I don't know!,857.0,"886,1,0,0,0,0,0,0,,,,,,,"
858,858,"Photosynthesis requires water, carbon dioxide, and light. It will take an osmotic process to get water. To obtain carbon dioxide, there must be gas inhalation in the air gap. Light causes a bright reaction in the membrane of thylakoids in the chloroplast, which uses cyclic phosphorylation and photocyclic phosphorylation to synthesize ATP and reduce NADPH+ to NADPH. During the cancer reaction in stroma, the Kelvin circuit synthesizes glucose using ATP and NADPH in the light reaction.",858.0,"887,0,0,1,0,0,0,0,,,,,,,"
859,859,nutrient water sunlight soil oxygen,859.0,"888,1,0,0,0,1,0,0,,,,,,,"
860,860,Solar... Microorganisms,860.0,"889,1,1,1,0,1,0,0,,,,,,,"
861,861,Energy,861.0,"890,1,1,0,0,0,0,0,,,,,,,"
862,862,Sunlight,862.0,"891,1,1,1,0,0,0,0,,,,,,,"
863,863,"Sunlight, water, chloroplasts",863.0,"892,1,1,1,0,0,0,0,,,,,,,"
864,864,"Plants get nutrients through photosynthesis. Photosynthesis is done through light reactions and cancer reactions, where water photolysis produces ATP and NADPH needed for cancer reactions, and in cancer reactions, nutrients are produced using light reactions and carbon dioxide. So what you need is water and carbon dioxide.",864.0,"893,1,1,1,0,1,0,0,,,,,,,"
865,865,Sunlight,865.0,"894,1,1,1,0,0,0,0,,,,,,,"
866,866,"Photosynthetic nutrients such as the sun, land, water, etc",866.0,"895,1,0,1,0,0,0,0,,,,,,,"
867,867,I don't know.,867.0,"896,1,1,0,0,0,1,0,,,,,,,"
868,868,What plants need to make their own nutrients is water and sunlight (photosynthesis,868.0,"897,0,1,1,0,0,0,0,,,,,,,"
869,869,It will be sunlight and water.,869.0,"898,0,1,0,0,0,0,0,,,,,,,899,0,0,0,0,0,0,0,,,,,,,"
870,870,I don't understand.,870.0,"900,1,1,0,0,0,0,0,,,,,,,"
871,871,be in the sun,871.0,"901,0,0,0,0,0,0,0,,,,,,,"
872,872,Photosynthesis,872.0,"902,1,1,1,0,0,0,0,,,,,,,"
873,873,Photosynthesis,873.0,"903,0,1,0,0,0,0,0,,,,,,,"
874,874,"Water, sunlight, soil, etc",874.0,"904,1,1,1,0,0,1,0,,,,,,,"
875,875,sunlight / water / rain,875.0,"905,0,0,0,0,0,0,0,,,,,,,"
876,876,"Solar (photosynthesis), rain (moisture)",876.0,"906,0,0,0,0,1,0,0,,,,,,,"
877,877,k,877.0,"907,1,1,0,1,0,0,0,,,,,,,"
878,878,I don't know.,878.0,"908,1,1,0,0,0,0,0,,,,,,,"
879,879,You need to photosynthesize,879.0,"909,0,0,0,0,1,0,0,,,,,,,"
880,880,.,880.0,"910,0,1,0,0,0,0,0,,,,,,,"
881,881,We need sunlight and water.,881.0,"911,1,0,0,1,1,1,0,,,,,,,"
882,882,Sunlight,882.0,"912,1,1,0,0,0,0,0,,,,,,,"
883,883,Photosynthesis,883.0,"913,1,1,1,1,0,0,0,,,,,,,"
884,884,"We need solar energy, water, and carbon dioxide.",884.0,"914,1,0,1,0,1,0,1,,,,,,,"
885,885,water sunlight,885.0,"915,1,1,1,0,0,0,0,,,,,,,"
886,886,"carbon dioxide, light",886.0,"916,1,1,1,1,0,0,0,,,,,,,"
887,887,Light water carbon dioxide,887.0,"917,1,1,1,0,0,0,0,,,,,,,"
888,888,need water and solar energy,888.0,"918,1,1,1,1,0,0,0,,,,,,,"
889,889,They photosynthesize,889.0,"919,0,0,0,0,0,0,0,,,,,,,"
890,890,"I don't knowSunlight, water",890.0,"920,0,0,0,0,1,0,0,,,,,,,"
891,891,We need sunlight,891.0,"921,1,1,0,0,0,0,0,,,,,,,"
892,892,.,892.0,"922,0,0,0,0,0,0,0,,,,,,,"
893,893,Sunlight,893.0,"923,1,0,0,0,1,0,0,,,,,,,"
894,894,the process of photosynthesis,894.0,"924,0,1,0,0,1,0,0,,,,,,,"
895,895,"Sunlight, organic matter, carbon dioxide",895.0,"925,1,0,0,0,1,0,0,,,,,,,"
896,896,need photosynthesis,896.0,"926,1,0,1,0,1,0,1,,,,,,,"
897,897,water and sunlight,897.0,"927,0,0,0,0,0,0,0,,,,,,,"
898,898,"Our great Minister of Education, I love youHaha",898.0,"928,0,0,0,0,0,0,0,,,,,,,929,0,0,0,0,0,0,0,,,,,,,"
899,899,We need sunlight.,899.0,"930,0,0,0,0,0,0,0,,,,,,,"
900,900,Sunlight,900.0,"931,0,0,0,0,0,0,0,,,,,,,"
901,901,photosynthetic material,901.0,"932,0,0,0,0,0,0,0,,,,,,,"
902,902,Photosynthesis,902.0,"933,1,1,0,1,1,0,0,,,,,,,"
903,903,Sunlight,903.0,"934,1,1,0,0,0,0,0,,,,,,,"
904,904,"We need light, oxygen and enzymes.",904.0,"935,1,0,0,0,0,0,0,,,,,,,"
905,905,Sunlight water,905.0,"936,1,1,0,1,1,0,0,,,,,,,"
906,906,It is a process of photosynthesis.,906.0,"937,0,0,1,0,1,0,0,,,,,,,"
907,907,"Water, oxygen, and photosynthesis are needed.",907.0,"938,1,1,1,0,0,0,0,,,,,,,"
908,908,Light,908.0,"939,0,0,1,0,1,0,0,,,,,,,"
909,909,carbon dioxide,909.0,"940,0,0,0,0,1,0,0,,,,,,,"
910,910,Plants photosynthesize in the sun's light,910.0,"941,0,0,0,0,1,0,0,,,,,,,"
911,911,We need light and carbon dioxide for water and photosynthesis.,911.0,"942,1,1,1,0,0,0,0,,,,,,,"
912,912,"Water, sunlight, nitrogen",912.0,"943,1,1,1,0,0,0,0,,,,,,,"
913,913,"Water, carbon dioxide and the sun",913.0,"944,0,0,0,0,1,0,0,,,,,,,"
914,914,"Sunlight, water, oxygen, carbon dioxide",914.0,"945,1,0,1,0,1,0,1,,,,,,,"
915,915,Sunlight and water air are needed because plants make through photosynthesis.,915.0,"946,0,0,0,0,0,0,0,,,,,,,"
916,916,"Carbon dioxide, sunlight, water",916.0,"947,0,0,0,0,0,0,0,,,,,,,"
917,917,"Light, carbon dioxide",917.0,"948,1,1,1,0,0,0,0,,,,,,,"
918,918,"Light, water, and minerals",918.0,"949,0,0,0,0,0,0,0,,,,,,,"
919,919,Water and carbon dioxide,919.0,"950,1,0,0,0,0,0,0,,,,,,,"
920,920,Sunlight,920.0,"951,1,1,1,0,0,0,0,,,,,,,"
921,921,sorry,921.0,"952,1,1,1,0,0,0,0,,,,,,,"
922,922,"Sunlight, oxygen and water",922.0,"953,0,1,0,1,0,0,0,,,,,,,"
923,923,M,923.0,"954,1,1,1,0,0,0,0,,,,,,,"
924,924,"It uses water, carbon dioxide and light energy to produce starch.",924.0,"955,1,1,0,0,1,0,0,,,,,,,"
925,925,Water,925.0,"956,1,0,0,1,1,1,0,,,,,,,"
926,926,"Solar energy, carbon dioxide, organic nutrients, water",926.0,"957,0,0,0,0,1,0,0,,,,,,,"
927,927,need glucose,927.0,"958,1,0,0,1,1,1,0,,,,,,,959,0,0,1,0,1,0,0,,,,,,,"
928,928,Photosynthesis,928.0,"960,1,1,1,0,0,0,0,,,,,,,"
929,929,"Light, water, ground, roots, stems, leaves",929.0,"961,1,0,0,0,1,0,0,,,,,,,"
930,930,"Sunlight, water",930.0,"962,0,0,0,0,0,0,0,,,,,,,"
931,931,Photosynthesis,931.0,"963,1,1,0,1,0,1,0,,,,,,,"
932,932,Water,932.0,"964,1,0,0,0,1,0,0,,,,,,,"
933,933,"Light allows photosynthesis, plants to grow well, and land brings nutrients to plants.",933.0,"965,0,1,0,0,0,0,0,,,,,,,"
934,934,"Sunlight, water, temperature",934.0,"966,0,0,0,0,1,0,0,,,,,,,"
935,935,"Water, sunlight, air, soil",935.0,"967,1,1,0,0,0,0,0,,,,,,,"
936,936,"It's impossible for plants to move with animals, right? So, how do you make your own nutrients? When the sun rises, plants receive direct sunlight and photosynthesize. Photosynthesis is caused by a substance called chloroplasts in plants' leaves, which creates carbon dioxide and a waste called oxygen when the sun goes down",936.0,"968,1,1,0,1,0,0,0,,,,,,,"
937,937,"Sunlight, water, air",937.0,"969,1,1,0,0,0,0,0,,,,,,,"
938,938,"Water, sunlight, air, soil",938.0,"970,1,1,1,1,1,0,0,,,,,,,"
939,939,"Sunlight, water, carbon dioxide",939.0,"971,1,1,0,1,0,0,0,,,,,,,"
940,940,"Sunlight, air, water, temperature, soil",940.0,"972,0,0,0,0,0,0,0,,,,,,,"
941,941,producer decomposer consumer,941.0,"973,0,0,0,0,0,0,0,,,,,,,"
942,942,Photosynthesis,942.0,"974,0,0,0,0,0,0,0,,,,,,,"
943,943,"Sunlight, water, temperature.",943.0,"975,1,1,0,1,0,0,0,,,,,,,"
944,944,I don't know,944.0,"976,0,1,1,0,0,0,1,,,,,,,"
945,945,We need leaves and sun combs to photosynthesize,945.0,"977,0,0,0,0,0,0,0,,,,,,,"
946,946,"Water, photosynthesis, etc. are needed.",946.0,"978,0,0,0,0,0,0,0,,,,,,,"
947,947,You need to photosynthesize under sunlight.,947.0,"979,1,0,0,0,0,0,0,,,,,,,"
948,948,"""It's impossible for plants to move with animals, right? So you make your own nutrients~~~~ How we make it is that when the sun rises, plants get sunlight and photosynthesize. Photosynthesis is caused by a substance called chloroplast in the plant's leaves, which is carbon dioxide, and when the sun goes down, it creates waste called oxygen, which is produced good oxygen in the middle of the night And when the next sun comes up, they photosynthesize with the carbon dioxide they let out",948.0,"980,0,0,0,0,0,0,0,,,,,,,"
949,949,"""",949.0,"981,0,1,0,0,0,0,0,,,,,,,"
950,950,Photosynthesis,950.0,"982,1,1,1,0,0,0,0,,,,,,,"
951,951,We need sunlight for photosynthesis.,951.0,"983,1,1,0,0,0,0,0,,,,,,,"
952,952,"Carbon dioxide, oxygen, nitrogen",952.0,"984,1,1,0,1,0,0,0,,,,,,,"
953,953,"carbon dioxide, nitrogen",953.0,"985,0,0,0,0,0,0,0,,,,,,,"
954,954,Photosynthesis,954.0,"986,1,1,0,0,0,0,0,,,,,,,"
955,955,"carbon dioxide, nitrogen",955.0,"987,1,1,0,0,0,0,0,,,,,,,"
956,956,"Water, ground, sunlight, photosynthesis",956.0,"988,0,1,0,0,0,1,0,,,,,,,989,0,0,0,0,1,0,0,,,,,,,"
957,957,"Light, water",957.0,"990,0,1,0,0,0,0,0,,,,,,,"
958,958,Plants need sunlight to nourish themselves.,958.0,"991,0,0,0,0,0,0,0,,,,,,,"
959,959,"Water, ground, sunlight, photosynthesis",959.0,"992,1,1,1,0,0,0,0,,,,,,,"
960,960,photosynthesis and carbon dioxide,960.0,"993,1,1,1,0,0,0,0,,,,,,,"
961,961,"Sunlight, air, the right temperature, the right amount of water",961.0,"994,0,0,0,0,1,0,0,,,,,,,"
962,962,photosynthesis and carbon dioxide,962.0,"995,0,0,0,0,1,0,0,,,,,,,"
963,963,Plants co-synthesize,963.0,"996,0,0,0,0,0,0,0,,,,,,,"
964,964,Photosynthesis,964.0,"997,1,0,0,0,1,0,0,,,,,,,"
965,965,"Sunlight, carbon dioxide, water, etc",965.0,"998,0,0,1,0,0,0,0,,,,,,,"
966,966,"Water, sunlight, air, wind",966.0,"999,0,0,0,0,1,0,0,,,,,,,"
967,967,Photosynthesis,967.0,"1000,0,0,0,0,1,0,0,,,,,,,"
968,968,"When the sun rises, plants receive direct sunlight and cause photosynthesis Photosynthesis is caused by a substance called chloroplasts in the leaves of plants, and when they receive carbon dioxide and sunlight and cause photosynthesis, they produce nutrients, which are wastes called oxygen. And when the sun goes down, we take this oxygen, this element of moonlight, and we produce nutrients again, and the waste that comes out at this time is carbon dioxide And when the next year comes up, you're going to photosynthesize the tea with the ideal carbon that you sent out",968.0,"1001,1,0,0,0,0,0,0,,,,,,,"
969,969,I don't know,969.0,"1002,0,1,1,0,0,0,0,,,,,,,"
970,970,I don't know,970.0,"1003,1,0,0,0,0,0,0,,,,,,,"
971,971,"Carbon dioxide, sunlight, and rice",971.0,"1004,1,1,0,0,0,1,0,,,,,,,"
972,972,I don't know.,972.0,"1005,1,1,1,0,0,0,0,,,,,,,"
973,973,Sunlight,973.0,"1006,0,1,1,0,0,0,0,,,,,,,"
974,974,"We need sunlight, water, and carbon dioxide.",974.0,"1007,0,0,0,0,1,0,0,,,,,,,"
975,975,"Sunlight, water, air",975.0,"1008,1,1,0,0,0,0,0,,,,,,,"
976,976,soil water,976.0,"1009,1,1,0,0,0,0,0,,,,,,,"
977,977,"Sunlight, water, air",977.0,"1010,0,0,0,0,0,0,0,,,,,,,"
978,978,"""Most plants must have sunlight and water when they make their own food",978.0,"1011,0,1,1,0,0,0,0,,,,,,,"
979,979,This is called photosynthesis,979.0,"1012,1,1,0,0,1,0,0,,,,,,,"
980,980,"""When a plant is exposed to sunlight, it's photosynthetic, and it's also pulling nutrients from the ground from the roots, and the plants are green, and the nutrients from the roots go up to the stems and into the flowers and leaves",980.0,"1013,1,0,1,0,0,0,0,,,,,,,"
981,981,"""",981.0,"1014,0,0,0,0,0,0,0,,,,,,,"
982,982,Photosynthesis,982.0,"1015,0,0,0,0,1,0,0,,,,,,,"
983,983,"""",983.0,"1016,0,0,0,0,0,0,0,,,,,,,"
984,984,Photosynthesis occurs when plants are exposed to sunlight,984.0,"1017,0,0,0,0,0,0,0,,,,,,,"
985,985,,985.0,"1018,0,1,0,0,0,1,0,,,,,,,1019,0,0,0,0,1,0,0,,,,,,,"
986,986,,986.0,"1020,0,0,0,0,0,0,0,,,,,,,"
987,987,,987.0,"1021,0,0,0,0,0,0,0,,,,,,,"
988,988,"And it also pulls the nutrients from the roots of the groundPhotosynthesis works, so the plants are green",988.0,"1022,0,0,0,0,0,0,0,,,,,,,"
989,989,,989.0,"1023,1,0,0,0,0,0,0,,,,,,,"
990,990,,990.0,"1024,1,1,1,0,0,0,0,,,,,,,"
991,991,,991.0,"1025,0,1,1,0,0,1,0,,,,,,,"
992,992,The nutrients pulled from the roots go up to the stem and are supplied to the flowers and leaves~,992.0,"1026,1,0,0,0,0,0,0,,,,,,,"
993,993,,993.0,"1027,0,0,1,0,0,0,0,,,,,,,"
994,994,,994.0,"1028,1,0,0,0,0,0,0,,,,,,,"
995,995,,995.0,"1029,0,0,0,0,0,0,0,,,,,,,"
996,996,With sunlight. Two nutrients from the ground,996.0,"1030,0,0,0,0,0,0,0,,,,,,,"
997,997,"""",997.0,"1031,1,0,1,0,0,0,0,,,,,,,"
998,998,"Photosynthesis, carbon dioxide, etc.",998.0,"1032,1,0,0,0,0,0,0,,,,,,,"
999,999,"We need carbon dioxide, sunlight, and water.",999.0,"1033,1,0,1,0,0,0,0,,,,,,,"
1000,1000,We need sunlight and an organ that can photosynthesize.,1000.0,"1034,0,1,1,0,0,0,0,,,,,,,"
1001,1001,I don't know.,1001.0,"1035,1,0,0,0,0,0,0,,,,,,,"
1002,1002,"Plants grow on their own by receiving nutrients such as sunlight, water, and soil",1002.0,"1036,1,1,1,0,0,0,0,,,,,,,"
1003,1003,We need sunlight and an organ that can photosynthesize.,1003.0,"1037,1,0,1,0,0,0,0,,,,,,,"
1004,1004,Water is needed so that plants do not dry up,1004.0,"1038,1,1,1,0,0,0,0,,,,,,,"
1005,1005,They photosynthesize,1005.0,"1039,1,1,1,0,0,0,0,,,,,,,"
1006,1006,It grows with light and water.,1006.0,"1040,1,1,1,0,0,1,0,,,,,,,"
1007,1007,"sunlight, water, soil, etc",1007.0,"1041,0,0,0,0,0,0,0,,,,,,,"
1008,1008,I've been watering it,1008.0,"1042,0,0,0,0,0,0,0,,,,,,,"
1009,1009,"""In order to photosynthesize, we need sunlight and water to keep it doesn't dry out",1009.0,"1043,0,0,0,0,0,0,0,,,,,,,"
1010,1010,"Good soil (sunlight, water, air) to grow well.""",1010.0,"1044,1,1,0,0,0,0,0,,,,,,,"
1011,1011,"Sunlight, water, soil, etc",1011.0,"1045,0,0,0,0,0,0,0,,,,,,,"
1012,1012,I have no idea.,1012.0,"1046,1,1,0,0,0,0,0,,,,,,,"
1013,1013,Don't know,1013.0,"1047,0,0,0,0,1,0,0,,,,,,,"
1014,1014,I don't know.,1014.0,"1048,1,0,0,0,0,0,0,,,,,,,1049,0,0,0,0,0,0,1,,,,,,,"
1015,1015,"Water, soil, earth, wind,",1015.0,"1050,0,0,0,0,1,0,0,,,,,,,"
1016,1016,"Water, the chloroplast, carbon dioxide.",1016.0,"1051,0,0,0,0,1,0,0,,,,,,,"
1017,1017,Aiodinhwa iodine,1017.0,"1052,1,1,0,0,0,0,0,,,,,,,"
1018,1018,Unknowingness,1018.0,"1053,1,0,0,0,1,0,0,,,,,,,"
1019,1019,""" The sun is needed.",1019.0,"1054,1,0,0,0,0,0,0,,,,,,,"
1020,1020,"""",1020.0,"1055,1,1,0,0,0,0,0,,,,,,,"
1021,1021,Unknowingness,1021.0,"1056,1,1,1,0,0,0,0,,,,,,,"
1022,1022,Water,1022.0,"1057,1,1,0,0,0,0,1,,,,,,,"
1023,1023,"Water, and solar, carbon dioxide",1023.0,"1058,0,0,0,0,0,0,0,,,,,,,"
1024,1024,"Water, haetppit",1024.0,"1059,0,0,0,0,0,0,0,,,,,,,"
1025,1025,Soil water year is required.,1025.0,"1060,0,0,0,0,0,0,0,,,,,,,"
1026,1026,Producer,1026.0,"1061,1,1,0,0,0,0,0,,,,,,,"
1027,1027,Water and the sun is needed.,1027.0,"1062,0,0,0,0,1,0,0,,,,,,,"
1028,1028,It's not that I s all natural plants need sunlight of all and do.,1028.0,"1063,0,0,0,0,0,0,0,,,,,,,"
1029,1029,Water and other nutrients.,1029.0,"1064,1,0,0,0,0,0,0,,,,,,,"
1030,1030,Through photosyntheis,1030.0,"1065,0,0,1,0,1,0,0,,,,,,,"
1031,1031,"The water is needed, because plants can not make food without water.",1031.0,"1066,1,1,0,0,0,0,0,,,,,,,"
1032,1032,Don't know,1032.0,"1067,1,1,0,0,0,0,0,,,,,,,"
1033,1033,"We need sunlight, water, carbon dioxide",1033.0,"1068,0,0,0,0,1,0,0,,,,,,,"
