,Unnamed: 0,"2) How can I compare the richness of salt water in A, B, and C beakers other than a taste?",Unnamed: 0,", q36_weight, q36_deposition, q36_measurement, q36_color, q36_taste, q36_weight 1, q36_deposition.1,q36_Measurement.1,q36_color.1,q36_Taste.1"
888,888,to check the amount of salt by evaporating water,888.0,"918,0,0,0,0,0,,,,,"
889,889,Compare thickening in order of adding a lot of salt.,889.0,"919,0,0,0,0,0,,,,,"
890,890,Add cherry tomatoes to compare the floating heightFloat cherry tomatoes or eggs in water.,890.0,"920,0,0,0,1,0,,,,,"
891,891,I'm going to put in an object,891.0,"921,1,0,0,0,0,,,,,"
892,892,dropping an egg,892.0,"922,0,0,0,0,1,,,,,"
893,893,Put cherry tomatoes in a beaker with salt water,893.0,"923,0,0,0,1,0,,,,,"
894,894,the amount of salt in one's,894.0,"924,0,0,0,1,0,,,,,"
895,895,Add cherry tomatoes.,895.0,"925,0,0,0,0,0,,,,,"
896,896,I'm going to soak the tomatoes.,896.0,"926,0,0,0,0,0,,,,,"
897,897,To measure concentration,897.0,"927,0,0,0,1,0,,,,,"
898,898,Measure the concentration.,898.0,"928,0,0,0,0,0,,,,,929,0,1,0,0,0,,,,,"
899,899,Color comparison,899.0,"930,0,0,1,0,0,,,,,"
900,900,To determine the amount of salt by evaporating.,900.0,"931,0,1,0,0,0,,,,,"
901,901,Jump over objects like tomatoes.,901.0,"932,0,1,0,0,0,,,,,"
902,902,I'm going to evaporate it,902.0,"933,0,0,1,0,0,,,,,"
903,903,the salt left when water evaporates,903.0,"934,1,0,1,0,0,,,,,"
904,904,"When evaporated, the amount of salt left in the beaker",904.0,"935,0,0,0,0,0,,,,,"
905,905,I use a salinity meter,905.0,"936,0,0,0,0,0,,,,,"
906,906,Use a salinity meter.,906.0,"937,0,0,0,0,0,,,,,"
907,907,It's a salinity meter,907.0,"938,0,0,0,0,0,,,,,"
908,908,I use a salinity meter,908.0,"939,0,0,0,0,0,,,,,"
909,909,Check the concentration.,909.0,"940,0,1,0,0,0,,,,,"
910,910,"Add something like tomato, so if the tomato is on top, the thickness is high and if it is on the bottom, the thickness is low.",910.0,"941,0,0,1,0,0,,,,,"
911,911,Check the viscosity with a stick.,911.0,"942,0,0,0,0,0,,,,,"
912,912,Use a salinity meter.,912.0,"943,0,0,0,0,0,,,,,"
913,913,Use the concentration calculation method,913.0,"944,0,0,0,0,0,,,,,"
914,914,I don't know.,914.0,"945,0,0,1,0,0,,,,,"
915,915,Measure the concentration,915.0,"946,0,0,1,0,0,,,,,"
916,916,Measure the concentration,916.0,"947,0,0,0,0,0,,,,,"
917,917,"Salt water measures salinity. Therefore, since salinity can be measured using a salinity meter sold on the market, it is measured by buying a salinity meter.",917.0,"948,0,0,0,0,0,,,,,"
918,918,visually distinguish colors,918.0,"949,0,0,0,0,0,,,,,"
919,919,Concentration calculation method,919.0,"950,0,1,0,0,0,,,,,"
920,920,Use a salinity meter to compare the richness of salt,920.0,"951,0,0,1,0,0,,,,,"
921,921,Compare the richness of salt water using a salinity meter.,921.0,"952,0,0,1,0,0,,,,,"
922,922,Use a salinity meter.,922.0,"953,1,0,0,0,0,,,,,"
923,923,Use a salinity meter.,923.0,"954,0,0,0,0,0,,,,,"
924,924,Compare with a salinity meter.,924.0,"955,0,1,0,0,0,,,,,"
925,925,Use paper to measure the concentration of salt.,925.0,"956,0,1,0,0,0,,,,,"
926,926,It can be compared to the thickness of the water.,926.0,"957,0,0,0,0,0,,,,,"
927,927,"The thicker the solution is, the more the cherry tomatoes float, so there is a way to recognize it as a cherry tomato",927.0,"958,0,0,1,0,0,,,,,959,0,1,0,0,0,,,,,"
928,928,"Oh, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah",928.0,"960,0,1,0,0,0,,,,,"
929,929,I'm going to scoop up the eggs.,929.0,"961,0,1,1,0,0,,,,,"
930,930,Don't know,930.0,"962,0,0,0,0,0,,,,,"
931,931,Don't know,931.0,"963,0,1,1,0,0,,,,,"
932,932,Color in water,932.0,"964,1,1,0,0,0,,,,,"
933,933,:(,933.0,"965,0,0,0,0,0,,,,,"
934,934,Check the concentration.,934.0,"966,0,0,1,0,0,,,,,"
935,935,Measure it on an electronic scale.,935.0,"967,0,0,0,1,0,,,,,"
936,936,Let's take a look,936.0,"968,1,0,0,0,0,,,,,"
937,937,Check the density,937.0,"969,0,1,0,0,0,,,,,"
938,938,View by color,938.0,"970,0,0,0,0,0,,,,,"
939,939,A stick or a taste?/,939.0,"971,0,0,0,0,0,,,,,"
940,940,Put an egg and measure the martial arts,940.0,"972,0,0,0,0,0,,,,,"
941,941,Tasting Color-Brown Evolution,941.0,"973,0,0,0,0,0,,,,,"
942,942,the turbidity of water,942.0,"974,0,1,0,0,0,,,,,"
943,943,Add the red cabbage scent to see the color change.,943.0,"975,0,0,1,0,0,,,,,"
944,944,It's too salty,944.0,"976,1,0,0,0,0,,,,,"
945,945,I don't know,945.0,"977,0,0,0,0,0,,,,,"
946,946,You can tell by the percentage,946.0,"978,0,0,0,0,0,,,,,"
947,947,Compare the colors to the solution and use cherry tomatoes.,947.0,"979,0,0,0,0,0,,,,,"
948,948,"""Experiment with solution",948.0,"980,0,0,0,0,0,,,,,"
949,949,"""",949.0,"981,0,0,0,0,0,,,,,"
950,950,Experiment with solution.,950.0,"982,0,1,0,0,0,,,,,"
951,951,Compare by color,951.0,"983,0,0,0,0,0,,,,,"
952,952,Weighing,952.0,"984,0,0,0,0,1,,,,,"
953,953,Drink it or dip it in a stick.^^,953.0,"985,0,0,0,0,0,,,,,"
954,954,I see it with my eyes,954.0,"986,0,0,0,0,1,,,,,"
955,955,Color,955.0,"987,0,0,0,0,0,,,,,"
956,956,I don't know if it splits a lot or not that much,956.0,"988,0,0,0,0,0,,,,,989,0,0,0,0,0,,,,,"
957,957,Look at the salt,957.0,"990,0,0,0,0,0,,,,,"
958,958,Color?,958.0,"991,0,0,0,1,0,,,,,"
959,959,Observe liquid-sensitive paper in each beaker.,959.0,"992,0,0,0,0,0,,,,,"
960,960,I'm going to evaporate it,960.0,"993,0,1,0,0,0,,,,,"
961,961,Calculate the concentration,961.0,"994,0,0,1,0,0,,,,,"
962,962,It evaporates water,962.0,"995,0,0,0,0,0,,,,,"
963,963,Evaporating,963.0,"996,0,0,0,0,0,,,,,"
964,964,to know by calculation,964.0,"997,0,1,0,0,0,,,,,"
965,965,Compare by inserting objects that can be viewed using a hydrometer.,965.0,"998,0,0,0,0,1,,,,,"
966,966,I have no idea.,966.0,"999,0,1,0,0,0,,,,,"
967,967,Never drink salt water when you do an experiment.,967.0,"1000,0,0,0,0,0,,,,,"
968,968,..,968.0,"1001,0,0,0,0,0,,,,,"
969,969,I don't know,969.0,"1002,0,0,1,0,0,,,,,"
970,970,???,970.0,"1003,0,1,0,0,0,,,,,"
971,971,Add more salt,971.0,"1004,0,1,0,0,0,,,,,"
972,972,Measure it with a concentration meter.,972.0,"1005,0,0,1,0,0,,,,,"
973,973,I don't know.,973.0,"1006,0,0,1,0,0,,,,,"
974,974,Measure the acidity,974.0,"1007,0,0,1,0,0,,,,,"
975,975,I don't know,975.0,"1008,0,0,0,0,1,,,,,"
976,976,Keep boiling water to check the remaining salt,976.0,"1009,0,1,0,0,0,,,,,"
977,977,Put in the concentration meter. Soak red blood cells. Dip the clams in and let them have it.,977.0,"1010,0,1,1,0,0,,,,,"
978,978,I don't know,978.0,"1011,0,1,0,0,0,,,,,"
979,979,I don't know.,979.0,"1012,0,0,0,0,0,,,,,"
980,980,I don't know.,980.0,"1013,0,0,0,0,0,,,,,"
981,981,I'm going to make it neutral. I'm going to make an electric current,981.0,"1014,0,0,0,0,0,,,,,"
982,982,Using Tools,982.0,"1015,0,0,0,0,0,,,,,"
983,983,Compare boiling points,983.0,"1016,0,0,0,0,0,,,,,"
984,984,Determine one substance and compare the degree of floating in water.,984.0,"1017,1,0,0,0,0,,,,,"
985,985,I don't know.,985.0,"1018,0,0,0,1,0,,,,,1019,0,0,0,0,0,,,,,"
986,986,Evaporate the water to see the amount of salt left,986.0,"1020,0,0,0,0,0,,,,,"
987,987,"Compare the amount by applying heat for a long time to evaporate water, leaving only salt",987.0,"1021,0,1,0,0,0,,,,,"
988,988,I don't know.,988.0,"1022,0,0,0,0,0,,,,,"
989,989,Using the concentration check machineHeat it up.,989.0,"1023,0,0,0,0,1,,,,,"
990,990,It uses a method of evaporating by heating for a long time,990.0,"1024,0,1,0,0,0,,,,,"
991,991,The water evaporates. Using a Salinity Meter,991.0,"1025,1,0,0,0,0,,,,,"
992,992,I don't know.,992.0,"1026,0,1,0,0,0,,,,,"
993,993,"Using a salinity meter, check the amount of salt by evaporating water",993.0,"1027,1,0,0,0,0,,,,,"
994,994,Evaporate or float a light object.,994.0,"1028,0,0,0,1,0,,,,,"
995,995,"Salt (NaCl) becomes Na+ and cl-ions when dissolved in water, so thickness can be compared by measuring conductivity of electricity.",995.0,"1029,0,0,1,0,0,,,,,"
996,996,to know by calculation,996.0,"1030,1,0,0,0,0,,,,,"
997,997,"By looking at it with your eyes, you can see the richness of salt water through the degree of turbidity, and the amount of water is the same, but the amount of salt is different, so you can infer the richness of salt water.",997.0,"1031,1,0,0,0,0,,,,,"
998,998,Weighing,998.0,"1032,0,0,1,0,0,,,,,"
999,999,It evaporates water,999.0,"1033,0,1,0,0,0,,,,,"
1000,1000,I don't know,1000.0,"1034,1,0,1,0,0,,,,,"
1001,1001,I don't know,1001.0,"1035,0,1,0,0,0,,,,,"
1002,1002,I don't know,1002.0,"1036,0,1,0,0,0,,,,,"
1003,1003,I don't know,1003.0,"1037,0,1,0,0,0,,,,,"
1004,1004,Add more salt,1004.0,"1038,0,1,0,0,0,,,,,"
1005,1005,Just find out how much we've made with the machine,1005.0,"1039,0,0,0,1,0,,,,,"
1006,1006,Add cherry tomatoes,1006.0,"1040,0,0,0,1,0,,,,,"
1007,1007,You just need to smell it,1007.0,"1041,0,0,0,0,0,,,,,"
1008,1008,All right.,1008.0,"1042,0,0,0,0,0,,,,,"
1009,1009,Adjust the amount of water with a pipette,1009.0,"1043,1,0,0,0,0,,,,,"
1010,1010,I don't know,1010.0,"1044,0,0,0,0,1,,,,,"
1011,1011,I don't know,1011.0,"1045,0,0,1,0,0,,,,,"
1012,1012,"When the salt water is stirred equally, what melts late or quickly?",1012.0,"1046,0,0,1,0,0,,,,,"
1013,1013,Compare the amount of salt.,1013.0,"1047,0,0,1,0,0,,,,,"
1014,1014,Eat the same amount.,1014.0,"1048,0,0,1,0,0,,,,,1049,0,1,0,0,0,,,,,"
1015,1015,I don't know,1015.0,"1050,1,1,0,0,0,,,,,"
1016,1016,"If you drink it at once, you can feel the taste",1016.0,"1051,0,1,0,0,0,,,,,"
1017,1017,I don't know.,1017.0,"1052,0,1,1,0,0,,,,,"
1018,1018,Put your hand on the Habit.,1018.0,"1053,0,0,1,0,0,,,,,"
1019,1019,I don't know.,1019.0,"1054,0,0,1,0,0,,,,,"
1020,1020,I don't know,1020.0,"1055,0,0,1,0,0,,,,,"
1021,1021,Color,1021.0,"1056,1,1,1,0,0,,,,,"
1022,1022,filter water out,1022.0,"1057,0,0,1,0,0,,,,,"
1023,1023,Evaporate it,1023.0,"1058,0,0,0,0,0,,,,,"
1024,1024,Try a concentration meter,1024.0,"1059,0,1,0,0,0,,,,,"
1025,1025,I'll take it with my hand,1025.0,"1060,0,1,0,0,0,,,,,"
1026,1026,Smelling,1026.0,"1061,1,0,0,0,0,,,,,"
1027,1027,Compare the time of crystallization by lowering the temperature of the water,1027.0,"1062,0,0,0,0,0,,,,,"
1028,1028,I'm feeding my friend,1028.0,"1063,0,0,0,0,0,,,,,"
1029,1029,Heat to evaporate all the water,1029.0,"1064,0,0,0,0,0,,,,,"
1030,1030,All right.,1030.0,"1065,0,1,0,0,0,,,,,"
1031,1031,Connect the light bulbs to compare the brightness of the bulbs,1031.0,"1066,0,0,1,0,0,,,,,"
1032,1032,Measure the concentration with a concentrator,1032.0,"1067,1,0,0,0,0,,,,,"
1033,1033,Cut to measure the amount of salt,1033.0,"1068,0,0,0,0,0,,,,,"
1034,1034,I'm going to boil it,1034.0,"1069,0,0,0,0,0,,,,,"
1035,1035,Concentration check,1035.0,"1070,0,0,0,0,0,,,,,"
1036,1036,Measure it with a concentrator,1036.0,"1071,0,1,0,0,0,,,,,"
1037,1037,Add a concentrator,1037.0,"1072,1,0,0,0,0,,,,,"
1038,1038,Tongue.,1038.0,"1073,0,1,0,0,0,,,,,"
1039,1039,Compare the amount of salt remaining by heating.,1039.0,"1074,1,0,0,0,0,,,,,"
1040,1040,"Measure the salt concentration, compare the amount of salt not dissolved in the beaker",1040.0,"1075,0,0,1,0,0,,,,,"
1041,1041,It evaporates water,1041.0,"1076,0,0,0,0,0,,,,,"
1042,1042,Just eat it.,1042.0,"1077,0,1,0,0,0,,,,,"
1043,1043,I don't know,1043.0,"1078,0,1,0,0,0,,,,,1079,1,0,0,0,0,,,,,"
1044,1044,I don't know,1044.0,"1080,0,1,0,0,0,,,,,"
1045,1045,Sex.,1045.0,"1081,0,1,0,0,0,,,,,"
1046,1046,Shake it off,1046.0,"1082,0,1,0,0,0,,,,,"
1047,1047,Light objects are floated to determine the extent to which they are submerged.,1047.0,"1083,0,1,0,0,0,,,,,"
1048,1048,Check the turbidity of the water.,1048.0,"1084,1,0,0,0,0,,,,,"
1049,1049,Well,1049.0,"1085,0,0,1,0,0,,,,,"
1050,1050,I don't know,1050.0,"1086,0,0,0,0,0,,,,,"
1051,1051,The water evaporates.,1051.0,"1087,0,1,1,0,1,,,,,"
1052,1052,You just have to give multiple choice questions,1052.0,"1088,1,0,0,0,0,,,,,"
1053,1053,A taste of baldness,1053.0,"1089,1,0,0,0,0,,,,,"
1054,1054,Evaporate it,1054.0,"1090,0,1,1,0,0,,,,,"
1055,1055,Compare the degree to which water floats.,1055.0,"1091,0,1,0,0,0,,,,,"
1056,1056,All water is evaporated to compare the amount of salt remaining.,1056.0,"1092,0,1,0,0,0,,,,,"
1057,1057,"Float a solid with a specific density, weigh the salt water.",1057.0,"1093,1,1,0,0,0,,,,,"
1058,1058,See color.,1058.0,"1094,1,1,0,0,0,,,,,"
1059,1059,Compare the concentration by comparing the amount of salt to the amount of water.,1059.0,"1095,1,0,0,0,0,,,,,"
1060,1060,Weigh the salt.,1060.0,"1096,0,0,0,0,0,,,,,"
1061,1061,Measure the weight of the beaker containing each salt water.,1061.0,"1097,1,1,1,0,0,,,,,"
1062,1062,Machine,1062.0,"1098,0,1,0,0,0,,,,,"
1063,1063,Evaporating,1063.0,"1099,0,0,0,0,0,,,,,"
1064,1064,Use a machine to measure the concentration. I'm going to scoop up the eggs.,1064.0,"1100,1,0,0,0,0,,,,,"
1065,1065,Compare the amount of salt derived by evaporating salt water.,1065.0,"1101,0,0,0,0,0,,,,,"
1066,1066,The concentration can be obtained by comparing the amount of salt that is evaporated^^,1066.0,"1102,0,0,0,0,0,,,,,"
1067,1067,Evaporate the solution and look at the amount of salt dissolved.,1067.0,"1103,1,0,0,0,0,,,,,"
1068,1068,Let's evaporate. Put your hands in.,1068.0,"1104,0,1,0,0,0,,,,,"
1069,1069,Colors,1069.0,"1105,1,0,0,0,0,,,,,"
1070,1070,the color change of water,1070.0,"1106,1,0,0,0,0,,,,,"
1071,1071,Put in litmus paper,1071.0,"1107,1,0,0,0,0,,,,,"
1072,1072,The litmus paper...,1072.0,"1108,1,0,0,0,0,,,,,1109,0,0,0,1,0,,,,,"
1073,1073,soak raw meat,1073.0,"1110,0,0,1,0,0,,,,,"
1074,1074,I'm going to try it,1074.0,"1111,0,0,1,0,0,,,,,"
1075,1075,Concentration measurement,1075.0,"1112,0,0,0,1,0,,,,,"
1076,1076,Measure the concentration,1076.0,"1113,1,0,0,0,0,,,,,"
1077,1077,a concentration measurement,1077.0,"1114,1,0,1,0,0,,,,,"
1078,1078,Let's measure the salinity,1078.0,"1115,0,0,0,0,0,,,,,"
1079,1079,Evaporate each water and measure the amount of salt that comes out,1079.0,"1116,0,1,0,0,0,,,,,"
1080,1080,"Heat the water to measure the amount of salt left. Weigh the solution. Mix different colors of pigment in each solution, and stack a layer of liquid layer of liquid!",1080.0,"1117,0,1,0,0,0,,,,,"
1081,1081,Make a crystal with the solution of each beaker,1081.0,"1118,0,0,0,1,0,,,,,"
1082,1082,"""Use a salinity meter to measure salinity.",1082.0,"1119,1,0,0,0,0,,,,,"
1083,1083,"Heat the beaker to evaporate all the water.""",1083.0,"1120,1,0,0,0,0,,,,,"
1084,1084,a salinity meter,1084.0,"1121,1,0,0,0,0,,,,,"
1085,1085,Check with the salinity meter,1085.0,"1122,1,0,0,0,0,,,,,"
1086,1086,measure with a salinity meter,1086.0,"1123,1,0,0,0,0,,,,,"
1087,1087,"""After adding the same amount of solute and melting the solute as much as possible, the concentration of the original solution is higher when comparing the amount of solute remaining.",1087.0,"1124,1,0,0,0,0,,,,,"
1088,1088,Measure salinity using a salinity meter.Measure the amount of salt crystals by evaporating the solvent.,1088.0,"1125,0,0,1,0,0,,,,,"
1089,1089,"If the weight of the solution is high by measuring the weight of the solution, it is a solution with a high concentration.""",1089.0,"1126,0,1,0,0,0,,,,,"
1090,1090,Check the salinity meter.,1090.0,"1127,1,0,1,0,0,,,,,"
1091,1091,Connect the light bulbs to compare the brightness of the bulbs.,1091.0,"1128,0,0,1,0,0,,,,,"
1092,1092,Nitric acid is added with aqueous solution to compare the amount of sediment produced,1092.0,"1129,0,0,0,0,0,,,,,"
1093,1093,The amount is compared by evaporating water and depositing salt.,1093.0,"1130,1,0,0,0,0,,,,,"
1094,1094,Put the eggs in a beaker and compare the degree to which they rise.,1094.0,"1131,0,0,1,0,0,,,,,"
1095,1095,Measurement of electrical conductivity,1095.0,"1132,0,0,1,0,0,,,,,"
1096,1096,Comparison of electrical conductivity,1096.0,"1133,1,0,0,0,0,,,,,"
1097,1097,Measure the electrical conductivity.,1097.0,"1134,0,0,0,1,0,,,,,"
1098,1098,Add silver nitrate to see how much sediment is produced,1098.0,"1135,0,0,1,0,0,,,,,"
1099,1099,Concentration comparison,1099.0,"1136,0,0,0,0,0,,,,,"
1100,1100,Floating objects of different densities,1100.0,"1137,0,0,1,0,0,,,,,"
1101,1101,Measurement of electrical conductivity,1101.0,"1138,0,0,1,0,0,,,,,1139,0,0,0,0,0,,,,,"
1102,1102,Check the current value by running the battery.,1102.0,"1140,0,0,0,0,0,,,,,"
1103,1103,Measure current size,1103.0,"1141,1,0,0,1,0,,,,,"
1104,1104,compare the amount of salt by evaporating water,1104.0,"1142,0,0,0,1,0,,,,,"
1105,1105,Compare densities,1105.0,"1143,0,0,0,0,0,,,,,"
1106,1106,Evaporate water to compare the remaining amount of salt,1106.0,"1144,0,0,1,0,0,,,,,"
1107,1107,I'm going to scoop out an egg.,1107.0,"1145,0,1,0,0,0,,,,,"
1108,1108,Check the water concentration,1108.0,"1146,0,0,0,0,0,,,,,"
1109,1109,I don't know.,1109.0,"1147,0,1,0,0,0,,,,,"
1110,1110,Compare the amount of salt left by evaporating water.,1110.0,"1148,1,0,0,0,0,,,,,"
1111,1111,"""The water evaporates to find the amount of salt that remains and the concentration is obtained.",1111.0,"1149,0,1,0,1,0,,,,,"
1112,1112,"""",1112.0,"1150,,,,,,,,,,"
1113,1113,"You can float the eggs. The higher the concentration of salt water, the better the object can float, so hahahahahaha the better the egg floats in the salt water, the higher the concentration of salt water.",1113.0,"1151,,,,,,,,,,"
1114,1114,Evaporate and check the amount of salt.,1114.0,"1152,,,,,,,,,,"
1115,1115,Heat to make salt and compare the amount of salt.,1115.0,"1153,24.3%,23.0%,21.6%,12.6%,3.0%,,,,,"
1116,1116,We're going to deposit the amount of salt.,,
1117,1117,These beakers are evaporated to compare the amount of salt left. Or compare the amount of salt that is deposited.,,
1118,1118,Add eggs and compare how well they float.,,
1119,1119,Compare the richness of salt water using a salt meter.,,
1120,1120,Put your fingers in for a long time at the same time and smell it. The solution that has a salty smell is thicker,,
1121,1121,"You can use the characteristic of boiling as well as tasting. The higher the concentration of the solution, the higher the boiling point of the solution, so if you boil A, B, and C beakers, it can be seen that the concentration of the first thing to boil is the smallest.",,
1122,1122,Check the degree to which cherry tomatoes float,,
1123,1123,"When you float an egg, you can compare how much it floats.",,
1124,1124,"Boil the salt water in each beaker. Through this, the concentration of the three salt water may be compared by comparing the boiling point of each salt water.",,
1125,1125,Lower the temperature of the water to compare the amount of salt deposited by depositing salt.,,
1126,1126,"After measuring how much salt there is by evaporating all of the A, B, and C beakers containing the same amount of salt water, it can be said that the thickness with a lot of salt is thick.",,
1127,1127,"First, the beaker, which is deposited first when the salt water is cooled, is the thickest salt water. Second, heat the salt water to evaporate the water in the salt water and compare the amount of salt remaining in the beaker. Third, float a ball in the beaker that is a little more dense than water, and then compare how much the ball is floating. The higher the ball is floating, the stronger the salt water is.",,
1128,1128,"If there is the same amount of water, boil it for the same amount of time to compare the amount of salt. Water evaporates constantly, so if there is more salt, the solution will have the least salt. Also, put different pigments in three cups and mix them in one place. Since the concentrations are different, it will not be mixed, and the salt water in the bottom color will have the highest concentration.",,
1129,1129,"Compare the density by floating cherry tomatoes. The higher the density, the better the cherry tomatoes float. A large density means that a lot of salt is dissolved, and it is thick.",,
1130,1130,"A strong salt water means a strong concentration. Since salt water is an ion-bonded material, the intensity of salt water can be compared by comparing the magnitude of the current flowing through it is possible to compare the intensity of salt water. It can be said that the greater the degree to which the current flows, the darker the salt water.",,
1131,1131,"After heating the salt water, evaporate the gas, compare the amount of salt remaining, and use the formula to obtain the concentration of the salt water, or float an object such as cherry tomatoes, and the higher the concentration.",,
1132,1132,The richness of salt water can be compared based on the salt crystals left by evaporating water.,,
1133,1133,"The amount of salt in the salt water in the A, B, and C beakers is all different, so the darker the salt water, the higher the density. Therefore, you can compare the richness of salt water by solving different colors of paint and adding three salt water to an empty beaker to compare the density.",,
1134,1134,"After you have the amount of water, you can weigh it and see how much salt is in it.",,
1135,1135,ㅇ,,
1136,1136,Don't know,,
1137,1137,I'm going to add cherry tomatoes!^,,
1138,1138,Heat the salt water to evaporate the water. And compare by the amount of salt water left,,
1139,1139,I'm going to fry an egg.,,
1140,1140,I'm going to scoop out the eggs,,
1141,1141,I'm going to scoop out the eggs,,
1142,1142,I'm going to float the egg in water,,
1143,1143,Color,,
1144,1144,Compare the richness of salt water,,
1145,1145,Calculate the richness of salt.,,
1146,1146,Compare transparency.,,
1147,1147,I'm going to add eggs,,
1148,1148,"""Put an egg in it.",,
1149,1149,"Find and compare formulas.""",,
1150,1150,I don't know.,,
1151,1151,I can't,,
1152,1152,I'm going to dry it,,
1153,1153,Look at the color of the solution,,
1154,1154,Add cherry tomatoes,,
1155,1155,Add the cherry tomatoes.,,
1156,1156,Add cherry tomatoes.,,
1157,1157,I'm going to add cherry tomatoes,,
1158,1158,Add the cherry tomatoes,,
1159,1159,"Compare the thickness by floating substances with the same shape, size, and density in each salt water. The salt water in which the substance floats the highest is probably the salt water with the highest concentration.",,
1160,1160,Using a Concentration Measurement Machine,,
1161,1161,Evaporating,,
1162,1162,Concentration check. Weight check,,
1163,1163,Measure it with a salinity meter,,
1164,1164,",",,
1165,1165,Add cherry tomatoes.,,
1166,1166,use a mathematical formula,,
1167,1167,Calculate mathematically.,,
1168,1168,Let's open the cherry tomatoes,,
1169,1169,transparency of water,,
1170,1170,Measure the concentration,,
1171,1171,I don't know,,
1172,1172,Concentration,,
1173,1173,Concentration,,
1174,1174,I don't know.,,
1175,1175,.,,
1176,1176,I'm going to show the transparency of the water and cherry tomatoes,,
1177,1177,Colors,,
1178,1178,.,,
1179,1179,Use a salinity meter (?),,
1180,1180,Evaporate water,,
1181,1181,Compare the amount of water and salt in each beaker,,
1182,1182,Evaporate the water.,,
1183,1183,Add cherry tomatoes to compare where the cherry tomatoes stop.,,
1184,1184,"How much color and salt has sunk, etc",,
1185,1185,I don't know!,,
1186,1186,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,
