,Unnamed: 0,1) What would be good for consumers if different bakeries compete with each other?,Unnamed: 0,", q51_price, q51_quality, q51_diversity, q51_benefit, q51_price.1,q51_Quality.1,q51_Diversity1.q51_Benefit.1"
938,938,"The price is cheap, so you can buy less money",938.0,"970,0,0,0,0,,,,"
939,939,You can sell more.,939.0,"971,0,0,1,0,,,,"
940,940,The bakery gives you a better price to sell more items The buyer can buy the same 수-ㄴ,940.0,"972,0,1,0,0,,,,"
941,941,Consumers can enjoy delicious bread.,941.0,"973,0,0,0,0,,,,"
942,942,The price becomes cheaper.,942.0,"974,0,0,1,0,,,,"
943,943,The price is getting cheaper and the quality is getting better,943.0,"975,0,1,0,0,,,,"
944,944,be available at a low price,944.0,"976,0,0,0,0,,,,"
945,945,become cheaper,945.0,"977,0,0,0,0,,,,"
946,946,become cheaper,946.0,"978,1,1,0,0,,,,"
947,947,"When bakeries compete, bakeries offer better services and products at better prices to sell more items.  And you can buy other products cheaper and people can choose where they want to go.",947.0,"979,0,1,0,0,,,,"
948,948,"The more competitive our competitors are, the more convenient we are, the cheaper our consumers enjoy goods and services",948.0,"980,0,0,0,0,,,,"
949,949,Good things can happen if you advertise or divide advertisements,949.0,"981,0,0,0,1,,,,"
950,950,.,950.0,"982,0,0,1,0,,,,"
951,951,I don't know,951.0,"983,0,0,0,0,,,,"
952,952,I don't know.,952.0,"984,0,0,1,0,,,,"
953,953,Consumers can get more variety of confectionery.,953.0,"985,1,0,1,0,,,,"
954,954,You can get better service.,954.0,"986,0,0,1,0,,,,"
955,955,You can purchase qualitatively better items and receive various information as an item.,955.0,"987,0,0,1,0,,,,"
956,956,to be able to eat better bread,956.0,"988,0,0,1,0,,,,989,0,1,0,0,,,,"
957,957,I don't know,957.0,"990,0,0,0,0,,,,"
958,958,have access to better and better products,958.0,"991,0,0,1,0,,,,"
959,959,"If you only pursue good things to win while competing with each other, the bakery itself will change for the better, and the bakery, which has changed for the better, will help consumers to consume more satisfactory and efficiently.",959.0,"992,1,0,0,0,,,,"
960,960,I don't know,960.0,"993,0,1,0,0,,,,"
961,961,You can get better quality goods and services.,961.0,"994,0,0,1,0,,,,"
962,962,I don't know,962.0,"995,1,0,0,0,,,,"
963,963,The price goes down,963.0,"996,1,0,0,0,,,,"
964,964,become cheaper,964.0,"997,0,1,0,0,,,,"
965,965,We can choose better quality products.,965.0,"998,0,0,0,0,,,,"
966,966,"""",966.0,"999,0,1,0,0,,,,"
967,967,You can buy goods at a relatively lower price than when there is only one bakery.,967.0,"1000,0,0,0,1,,,,"
968,968,to be able to buy at a better price that is better and cheaper,968.0,"1001,0,1,0,1,,,,"
969,969,You can get more services from the bakery,969.0,"1002,0,0,0,0,,,,"
970,970,You can get bread cheaper,970.0,"1003,0,0,0,0,,,,"
971,971,Various services are available,971.0,"1004,1,0,0,0,,,,"
972,972,Consumers can buy the best bread because they work hard for each other's best quality products.,972.0,"1005,1,0,0,0,,,,"
973,973,The good thing for consumers is that they can make better quality bread and lower prices to sell more.,973.0,"1006,0,0,1,0,,,,"
974,974,to be able to get a better product or service,974.0,"1007,0,1,0,0,,,,"
975,975,You can get better service and get quality products.,975.0,"1008,1,1,0,0,,,,"
976,976,I don't know.,976.0,"1009,1,1,0,1,,,,"
977,977,You can get better service and quality,977.0,"1010,1,0,1,0,,,,"
978,978,"Competition allows companies to continue to develop and upgrade to produce better products through development, allowing consumers to purchase good quality products",978.0,"1011,1,1,0,0,,,,"
979,979,"When several bakeries compete, the likelihood of price competition increases. Therefore, the overall price of the product will decrease and consequently benefit the consumer.",979.0,"1012,0,0,0,0,,,,"
980,980,become cheaper,980.0,"1013,0,0,0,0,,,,"
981,981,"In order to gain an upper hand in competition, bakeries try to increase sales by lowering prices and increasing the quality of services and products. Therefore, from the perspective of consumers, competition works well to improve the quality of goods they will consume.",981.0,"1014,0,0,0,0,,,,"
982,982,become cheaper,982.0,"1015,1,1,0,0,,,,"
983,983,be available at a low price,983.0,"1016,0,0,0,0,,,,"
984,984,You can work harder,984.0,"1017,1,0,0,0,,,,"
985,985,You can feel a different taste.,985.0,"1018,0,0,1,0,,,,1019,0,1,0,0,,,,"
986,986,You can make money and consumers can eat deliciously,986.0,"1020,0,0,1,0,,,,"
987,987,I don't know,987.0,"1021,1,1,0,0,,,,"
988,988,Consumers can eat more bread,988.0,"1022,1,0,0,0,,,,"
989,989,I could eat it deliciouslyI don't know,989.0,"1023,0,0,0,0,,,,"
990,990,We can earn each other's profits,990.0,"1024,0,0,0,1,,,,"
991,991,You can buy better quality and cheaper products,991.0,"1025,1,0,0,0,,,,"
992,992,Consumers can buy good products.,992.0,"1026,1,1,0,0,,,,"
993,993,"When consumers spend a lot of money, they are cat-and-",993.0,"1027,1,1,0,0,,,,"
994,994,"Thanks to the competition of various bakeries, consumers benefit by providing services to consumers",994.0,"1028,1,1,0,0,,,,"
995,995,You can buy various products,995.0,"1029,1,1,0,0,,,,"
996,996,I don't know.,996.0,"1030,0,0,1,0,,,,"
997,997,Consumers can eat unique bread.,997.0,"1031,1,0,0,0,,,,"
998,998,"You can know more kinds of bread, and if you have cheaper ones, you can buy better",998.0,"1032,0,0,0,0,,,,"
999,999,You can see that there are many different kinds of bread.,999.0,"1033,0,0,0,1,,,,"
1000,1000,You can buy many things,1000.0,"1034,1,1,0,0,,,,"
1001,1001,You can eat bread that you don't have at the bakery you used to go to.,1001.0,"1035,0,0,1,0,,,,"
1002,1002,You can buy better products,1002.0,"1036,0,1,1,0,,,,"
1003,1003,If a bakery does well...Other bakeries could be ruined.,1003.0,"1037,1,1,1,0,,,,"
1004,1004,"By making various products, consumers can buy products that suit themselves among more products.",1004.0,"1038,1,1,1,0,,,,"
1005,1005,The price is going down,1005.0,"1039,1,0,0,0,,,,"
1006,1006,I can eat a lot of delicious bread,1006.0,"1040,1,0,1,0,,,,"
1007,1007,You can eat a variety of bread,1007.0,"1041,1,0,0,0,,,,"
1008,1008,It's getting cheaper,1008.0,"1042,0,0,0,0,,,,"
1009,1009,It gets cheaper,1009.0,"1043,1,0,0,0,,,,"
1010,1010,improve in quality,1010.0,"1044,0,0,0,1,,,,"
1011,1011,I doubt it.,1011.0,"1045,1,0,0,0,,,,"
1012,1012,We can provide better quality products to our customers,1012.0,"1046,1,0,0,0,,,,"
1013,1013,to be able to benefit,1013.0,"1047,1,0,0,0,,,,"
1014,1014,"receive better products, benefits and services",1014.0,"1048,1,0,0,0,,,,1049,1,0,1,0,,,,"
1015,1015,Economic activity becomes active,1015.0,"1050,1,1,0,0,,,,"
1016,1016,to know the information of each bakery,1016.0,"1051,0,1,0,0,,,,"
1017,1017,The price could be cheaper,1017.0,"1052,1,1,0,0,,,,"
1018,1018,a good profit at a lower price,1018.0,"1053,1,0,0,1,,,,"
1019,1019,"I can see, compare, and consume many different products",1019.0,"1054,1,1,1,0,,,,"
1020,1020,You can get better services and products,1020.0,"1055,0,0,1,0,,,,"
1021,1021,You can buy better products and good prices.,1021.0,"1056,1,1,1,0,,,,"
1022,1022,It benefits consumers a lot and can be purchased at a cheaper price and good quality.,1022.0,"1057,0,1,1,0,,,,"
1023,1023,"You can compare and buy various products, and you can buy them at relatively low prices because they are on sale",1023.0,"1058,1,1,0,0,,,,"
1024,1024,Better quality and price of goods to attract more customers as they compete with each other,1024.0,"1059,1,0,0,0,,,,"
1025,1025,A sense of competition and motivation to work harder.,1025.0,"1060,1,0,0,0,,,,"
1026,1026,I don't know.,1026.0,"1061,1,1,0,0,,,,"
1027,1027,I don't know,1027.0,"1062,0,1,0,0,,,,"
1028,1028,The quality of the product will improve and the product will be sold at a reasonable price,1028.0,"1063,1,0,0,0,,,,"
1029,1029,You're right,1029.0,"1064,1,0,0,1,,,,"
1030,1030,"According to the principle of supply and demand, it is possible to reduce the price of the product by enhancing sound competition between bakeries.",1030.0,"1065,1,0,0,0,,,,"
1031,1031,You can choose more products,1031.0,"1066,1,0,0,0,,,,"
1032,1032,to get better quality products,1032.0,"1067,1,0,0,0,,,,"
1033,1033,Consumers can be given better choices and environments.,1033.0,"1068,1,1,0,0,,,,"
1034,1034,Consumers will be able to purchase better quality products at lower prices.,1034.0,"1069,0,0,0,0,,,,"
1035,1035,Cheap,1035.0,"1070,1,0,0,0,,,,"
1036,1036,Free things make you bald,1036.0,"1071,1,1,0,0,,,,"
1037,1037,"I don't think monopolies are beneficial in everything in our lives. Therefore, the market structure of the competitive system can be seen as more beneficial for consumers because there may be a feeling of coercion in the case of stores that have monopolies than those that do not.",1037.0,"1072,0,0,0,1,,,,"
1038,1038,The price goes down.,1038.0,"1073,1,0,0,0,,,,"
1039,1039,"Due to price competition, you can get products at low prices and get good quality products.",1039.0,"1074,1,0,0,0,,,,"
1040,1040,Competition improves the quality of goods and lowers prices.,1040.0,"1075,1,1,0,0,,,,"
1041,1041,"Because they try to sell things, the price is cheap and the quality is bad",1041.0,"1076,1,1,0,0,,,,"
1042,1042,We will compete with each other and try to sell better quality products at lower prices.,1042.0,"1077,0,1,0,0,,,,"
1043,1043,"If we compete with each other, we have more opportunities to choose between here and there, so it is good for consumers to compete with each other.",1043.0,"1078,0,1,0,1,,,,1079,1,1,0,0,,,,"
1044,1044,"The price of the product is lowered, so you can purchase the product at a lower price.",1044.0,"1080,0,1,0,0,,,,"
1045,1045,I don't care about dirty liberal arts I feel dirty.,1045.0,"1081,0,0,0,0,,,,"
1046,1046,It consumer very profit Use survival strategy due to competition More interest and benefits to consumers Consumer happiness Customer satisfaction,1046.0,"1082,1,1,0,1,,,,"
1047,1047,The price is reduced. The quality of the goods is improved.,1047.0,"1083,0,0,1,0,,,,"
1048,1048,"If several bakeries compete, they will produce their own unique products, and then more diverse products will be commercialized on the market. This is because consumers can access more diverse products.",1048.0,"1084,1,1,0,0,,,,"
1049,1049,"""As two different companies compete, they will offer better quality products and services to consumers to sell more products, increasing the variety of products and services that consumers can consume, increasing the number of products that they can choose, and if different companies compete, they can get the products they want.",1049.0,"1085,1,1,0,0,,,,"
1050,1050,"+As companies try to match consumers' preferences, such as conducting surveys on types that suit consumers' preferences, companies can know about consumers without directly requesting them.""",1050.0,"1086,0,0,0,0,,,,"
1051,1051,"In order to sell goods to consumers, the quality and price of goods will be improved in a more beneficial direction to consumers. Taking the above problem as an example, Bakery A will take actions such as changing the interior or developing new products to increase competitiveness in preparation for customers to flock to Bakery B due to the promotion of Bakery B. This will allow consumers to purchase new menus at a more reasonable and affordable price.",1051.0,"1087,1,1,1,0,,,,"
1052,1052,"The quality of the bakery that consumers will use will increase, such as lowering prices, improving product quality, and producing new products to attract consumers from each other.",1052.0,"1088,1,1,0,1,,,,"
1053,1053,I lower the price to sell more,1053.0,"1089,1,1,0,0,,,,"
1054,1054,"By competing with the bakery, the price of the product decreases or many kinds of products are created, so you can taste and experience many things",1054.0,"1090,1,1,0,0,,,,"
1055,1055,"The price keeps going down, so you can buy it cheaply",1055.0,"1091,0,1,0,0,,,,"
1056,1056,I don't know.,1056.0,"1092,1,1,0,0,,,,"
1057,1057,to be able to buy something cheap,1057.0,"1093,1,1,0,0,,,,"
1058,1058,The benefits of consumers increase,1058.0,"1094,1,1,1,0,,,,"
1059,1059,It's getting cheaper,1059.0,"1095,1,1,0,1,,,,"
1060,1060,"If you compete with each other, the price may go down or you may have an event Then it's more profitable for consumers",1060.0,"1096,1,1,1,0,,,,"
1061,1061,You can eat bread cheaper.,1061.0,"1097,0,1,0,0,,,,"
1062,1062,We will work hard to provide better service to each other at a lower price,1062.0,"1098,0,1,1,1,,,,"
1063,1063,"You can eat it cheaply. Stores also develop new menus through competition, so you can enjoy a variety of menus. If one store is off, you can go to another store.",1063.0,"1099,1,1,0,0,,,,"
1064,1064,"Consumers can buy things at a lower price. Furthermore, as the price of goods becomes cheaper, consumers can receive better quality goods.",1064.0,"1100,1,1,0,0,,,,"
1065,1065,"If bakeries compete with each other, they will try to provide higher quality goods and services to be chosen by consumers, so consumers can consume higher quality goods",1065.0,"1101,0,0,0,0,,,,"
1066,1066,Two bakeries try to make cheaper and higher quality confectionery with each other in order to get consumers to consume it at their own bakery.,1066.0,"1102,1,0,0,0,,,,"
1067,1067,"It is beneficial for consumers because prices may be lowered due to competition, or they may compete with various events to sell a lot at bakeries.",1067.0,"1103,1,1,0,0,,,,"
1068,1068,"Compete and compete to attract customers to their stores, so that consumers can buy things cheaper And the development of various menus of bread and the quality of ingredients are improved due to competition, so we can eat better bread",1068.0,"1104,0,0,1,0,,,,"
1069,1069,You can choose the most delicious confectionery of each bakery and eat it,1069.0,"1105,1,0,0,0,,,,"
1070,1070,"If there is a competitor, the price will be lowered and the quality of the product will be improved in order to sell each other's products well. It also helps increase product diversity.",1070.0,"1106,0,1,0,0,,,,"
1071,1071,"It is a cause of developing the quality and efficiency of products while competing with each other, and from the perspective of consumers, it is possible to select and purchase quality products and it is effective, which makes economic activities active. Economic revitalization, diversification of commodities.",1071.0,"1107,1,0,0,0,,,,"
1072,1072,Consumers can buy bread at a lower price or eat better quality bread,1072.0,"1108,1,0,0,0,,,,1109,0,1,0,0,,,,"
1073,1073,The price goes down. to be able to get better service,1073.0,"1110,0,0,1,0,,,,"
1074,1074,a fall in prices,1074.0,"1111,0,0,1,0,,,,"
1075,1075,"Competition improves the quality and price of the product, so you can spend better",1075.0,"1112,1,1,0,0,,,,"
1076,1076,to be able to get better quality products,1076.0,"1113,0,0,1,0,,,,"
1077,1077,It's getting cheaper,1077.0,"1114,1,0,0,0,,,,"
1078,1078,There are benefits such as lowering prices to attract consumers while competing,1078.0,"1115,1,0,0,0,,,,"
1079,1079,The price goes down,1079.0,"1116,1,0,0,0,,,,"
1080,1080,Can buy it at a low price,1080.0,"1117,0,0,1,0,,,,"
1081,1081,You can get better service at a better price,1081.0,"1118,0,0,0,0,,,,"
1082,1082,You can buy good quality goods at a low price.,1082.0,"1119,0,0,1,0,,,,"
1083,1083,You can get better service,1083.0,"1120,0,0,0,1,,,,"
1084,1084,Prices run in competition. Consumers can buy cheaply,1084.0,"1121,1,0,0,0,,,,"
1085,1085,There will be competition in terms of price and quality,1085.0,"1122,0,0,0,1,,,,"
1086,1086,to be able to enjoy better benefits,1086.0,"1123,1,0,0,0,,,,"
1087,1087,It's getting cheaper,1087.0,"1124,0,1,0,0,,,,"
1088,1088,Consumers can buy things at a low price.I don't know,1088.0,"1125,0,0,0,0,,,,"
1089,1089,We can earn each other's profits,1089.0,"1126,0,0,0,0,,,,"
1090,1090,You can buy better quality and cheaper products,1090.0,"1127,1,0,0,0,,,,"
1091,1091,Consumers can buy good products.,1091.0,"1128,0,1,0,1,,,,"
1092,1092,"When consumers spend a lot of money, they are cat-and-",1092.0,"1129,0,0,1,0,,,,"
1093,1093,"Thanks to the competition of various bakeries, consumers benefit by providing services to consumers",1093.0,"1130,0,0,0,0,,,,"
1094,1094,You can buy various products,1094.0,"1131,1,0,0,0,,,,"
1095,1095,I don't know.,1095.0,"1132,1,1,0,0,,,,"
1096,1096,Consumers can eat unique bread.,1096.0,"1133,0,0,0,1,,,,"
1097,1097,"You can know more kinds of bread, and if you have cheaper ones, you can buy better",1097.0,"1134,1,0,0,0,,,,"
1098,1098,You can see that there are many different kinds of bread.,1098.0,"1135,1,0,0,0,,,,"
1099,1099,You can buy many things,1099.0,"1136,1,0,0,1,,,,"
1100,1100,You can eat bread that you don't have at the bakery you used to go to.,1100.0,"1137,1,0,0,0,,,,"
1101,1101,You can buy better products,1101.0,"1138,1,1,0,0,,,,1139,0,0,0,0,,,,"
1102,1102,If a bakery does well...Other bakeries could be ruined.,1102.0,"1140,1,1,0,0,,,,"
1103,1103,"By making various products, consumers can buy products that suit themselves among more products.",1103.0,"1141,0,1,0,0,,,,"
1104,1104,The price is going down,1104.0,"1142,1,0,0,0,,,,"
1105,1105,I can eat a lot of delicious bread,1105.0,"1143,0,0,0,1,,,,"
1106,1106,You can eat a variety of bread,1106.0,"1144,1,0,0,0,,,,"
1107,1107,It's getting cheaper,1107.0,"1145,0,1,0,0,,,,"
1108,1108,It gets cheaper,1108.0,"1146,1,0,0,0,,,,"
1109,1109,improve in quality,1109.0,"1147,1,1,0,0,,,,"
1110,1110,I doubt it.,1110.0,"1148,0,0,1,0,,,,"
1111,1111,We can provide better quality products to our customers,1111.0,"1149,0,1,0,0,,,,"
1112,1112,to be able to benefit,1112.0,"1150,1,1,0,0,,,,"
1113,1113,"receive better products, benefits and services",1113.0,"1151,,,,,,,,"
1114,1114,Economic activity becomes active,1114.0,"1152,,,,,,,,"
1115,1115,to know the information of each bakery,1115.0,"1153,47.8%,35.2%,17.4%,8.8%,,,,"
1116,1116,The price could be cheaper,,
1117,1117,a good profit at a lower price,,
1118,1118,"I can see, compare, and consume many different products",,
1119,1119,You can get better services and products,,
1120,1120,You can buy better products and good prices.,,
1121,1121,It benefits consumers a lot and can be purchased at a cheaper price and good quality.,,
1122,1122,"You can compare and buy various products, and you can buy them at relatively low prices because they are on sale",,
1123,1123,Better quality and price of goods to attract more customers as they compete with each other,,
1124,1124,A sense of competition and motivation to work harder.,,
1125,1125,I don't know.,,
1126,1126,I don't know,,
1127,1127,The quality of the product will improve and the product will be sold at a reasonable price,,
1128,1128,You're right,,
1129,1129,"According to the principle of supply and demand, it is possible to reduce the price of the product by enhancing sound competition between bakeries.",,
1130,1130,You can choose more products,,
1131,1131,to get better quality products,,
1132,1132,Consumers can be given better choices and environments.,,
1133,1133,Consumers will be able to purchase better quality products at lower prices.,,
1134,1134,Cheap,,
1135,1135,Free things make you bald,,
1136,1136,"I don't think monopolies are beneficial in everything in our lives. Therefore, the market structure of the competitive system can be seen as more beneficial for consumers because there may be a feeling of coercion in the case of stores that have monopolies than those that do not.",,
1137,1137,The price goes down.,,
1138,1138,"Due to price competition, you can get products at low prices and get good quality products.",,
1139,1139,Competition improves the quality of goods and lowers prices.,,
1140,1140,"Because they try to sell things, the price is cheap and the quality is bad",,
1141,1141,We will compete with each other and try to sell better quality products at lower prices.,,
1142,1142,"If we compete with each other, we have more opportunities to choose between here and there, so it is good for consumers to compete with each other.",,
1143,1143,"The price of the product is lowered, so you can purchase the product at a lower price.",,
1144,1144,I don't care about dirty liberal arts I feel dirty.,,
1145,1145,It consumer very profit Use survival strategy due to competition More interest and benefits to consumers Consumer happiness Customer satisfaction,,
1146,1146,The price is reduced. The quality of the goods is improved.,,
1147,1147,"If several bakeries compete, they will produce their own unique products, and then more diverse products will be commercialized on the market. This is because consumers can access more diverse products.",,
1148,1148,"""As two different companies compete, they will offer better quality products and services to consumers to sell more products, increasing the variety of products and services that consumers can consume, increasing the number of products that they can choose, and if different companies compete, they can get the products they want.",,
1149,1149,"+As companies try to match consumers' preferences, such as conducting surveys on types that suit consumers' preferences, companies can know about consumers without directly requesting them.""",,
1150,1150,"In order to sell goods to consumers, the quality and price of goods will be improved in a more beneficial direction to consumers. Taking the above problem as an example, Bakery A will take actions such as changing the interior or developing new products to increase competitiveness in preparation for customers to flock to Bakery B due to the promotion of Bakery B. This will allow consumers to purchase new menus at a more reasonable and affordable price.",,
1151,1151,"The quality of the bakery that consumers will use will increase, such as lowering prices, improving product quality, and producing new products to attract consumers from each other.",,
1152,1152,I lower the price to sell more,,
1153,1153,"By competing with the bakery, the price of the product decreases or many kinds of products are created, so you can taste and experience many things",,
1154,1154,"The price keeps going down, so you can buy it cheaply",,
1155,1155,I don't know.,,
1156,1156,to be able to buy something cheap,,
1157,1157,The benefits of consumers increase,,
1158,1158,It's getting cheaper,,
1159,1159,"If you compete with each other, the price may go down or you may have an event Then it's more profitable for consumers",,
1160,1160,You can eat bread cheaper.,,
1161,1161,We will work hard to provide better service to each other at a lower price,,
1162,1162,"You can eat it cheaply. Stores also develop new menus through competition, so you can enjoy a variety of menus. If one store is off, you can go to another store.",,
1163,1163,"Consumers can buy things at a lower price. Furthermore, as the price of goods becomes cheaper, consumers can receive better quality goods.",,
1164,1164,"If bakeries compete with each other, they will try to provide higher quality goods and services to be chosen by consumers, so consumers can consume higher quality goods",,
1165,1165,Two bakeries try to make cheaper and higher quality confectionery with each other in order to get consumers to consume it at their own bakery.,,
1166,1166,"It is beneficial for consumers because prices may be lowered due to competition, or they may compete with various events to sell a lot at bakeries.",,
1167,1167,"Compete and compete to attract customers to their stores, so that consumers can buy things cheaper And the development of various menus of bread and the quality of ingredients are improved due to competition, so we can eat better bread",,
1168,1168,You can choose the most delicious confectionery of each bakery and eat it,,
1169,1169,"If there is a competitor, the price will be lowered and the quality of the product will be improved in order to sell each other's products well. It also helps increase product diversity.",,
1170,1170,"It is a cause of developing the quality and efficiency of products while competing with each other, and from the perspective of consumers, it is possible to select and purchase quality products and it is effective, which makes economic activities active. Economic revitalization, diversification of commodities.",,
1171,1171,Consumers can buy bread at a lower price or eat better quality bread,,
1172,1172,The price goes down. to be able to get better service,,
1173,1173,a fall in prices,,
1174,1174,"Competition improves the quality and price of the product, so you can spend better",,
1175,1175,to be able to get better quality products,,
1176,1176,It's getting cheaper,,
1177,1177,There are benefits such as lowering prices to attract consumers while competing,,
1178,1178,The price goes down,,
1179,1179,Can buy it at a low price,,
1180,1180,You can get better service at a better price,,
1181,1181,You can buy good quality goods at a low price.,,
1182,1182,You can get better service,,
1183,1183,Prices run in competition. Consumers can buy cheaply,,
1184,1184,There will be competition in terms of price and quality,,
1185,1185,to be able to enjoy better benefits,,
1186,1186,It's getting cheaper,,
1187,1187,Consumers can buy things at a low price.,,
