,Unnamed: 0,2) Why was it so hard to breathe after the first few breaths?,Unnamed: 0,", q42_oxygen, q42_carbon dioxide, q42_air, q42_oxygen.1"
903,903,"처음 몇 번 공기를 마실 때는 산소의 양이 충분하여 숨을 쉬는데 큰 문제가 없었으나, 산소는 들이마시고 이산화 탄소는 내뱉는 과정을 반복하면서 결국 봉지 내부의 공기는 점점 산소의 양이 없어지고 이산화 탄소의 양이 증가하게 되어 호흡이 어려워진다.",903.0,"934,0,1,0,"
904,904,"After many times in lung capacity is reduced, it's hard to breathe.",904.0,"935,0,1,0,"
905,905,Respiration loss,905.0,"936,0,1,0,"
906,906,"""Because of the human nature of inhaling air and exhaling carbon dioxide,",906.0,"937,0,1,0,"
907,907,"""Full of carbon dioxide alone, making it difficult.""",907.0,"938,1,0,0,"
908,908,There's a lot of air inside,908.0,"939,1,1,0,"
909,909,"The bag is filled with carbon dioxide, so it will be hard to breathe",909.0,"940,0,0,1,"
910,910,It's frustrating and tiring,910.0,"941,1,0,0,"
911,911,The air in the bag disappeared little by little,911.0,"942,1,1,0,"
912,912,I'm running low on oxygen,912.0,"943,0,0,1,"
913,913,It's because the air is gone.,913.0,"944,1,0,0,"
914,914,It's stuffy because the stuffy air is in the bag.,914.0,"945,0,0,1,"
915,915,The air goes into my body,915.0,"946,0,0,1,"
916,916,The air is all gone,916.0,"947,0,0,0,"
917,917,"At first, there was oxygen in the bag, but every time we breathe, oxygen decreases and carbon dioxide comes out",917.0,"948,0,0,0,"
918,918,"""The oxygen in the big plastic bag breathes into the air because of my lake",918.0,"949,0,0,1,"
919,919,It's hard to breathe because there's a lot of carbon dioxide in a big plastic bag,919.0,"950,0,0,1,"
920,920,"If you block the opening of the bag and breathe repeatedly, the air in the bag will run out",920.0,"951,0,1,0,"
921,921,Because the air in the plastic bag is different from the air outside.,921.0,"952,0,1,0,"
922,922,Because carbon dioxide accounts for more than oxygen.,922.0,"953,0,0,0,"
923,923,"Inside the bag, the air is full of air",923.0,"954,0,1,0,"
924,924,It is difficult to hide because oxygen in the lungs goes in instead of fresh air.,924.0,"955,0,0,1,"
925,925,"""The oxygen in the bag breathes",925.0,"956,0,0,1,"
926,926,"This is because it is converted into carbon dioxide.""",926.0,"957,0,1,0,"
927,927,"Because I don't exhale as much as I inhale the air my body inhaled, the more I do, the less the amount of air in the plastic bag.",927.0,"958,0,0,0,959,0,0,1,"
928,928,Because there's no air around,928.0,"960,0,0,0,"
929,929,The air in the bag decreases and carbon dioxide increases,929.0,"961,1,1,0,"
930,930,"This is because carbon dioxide, which cannot breathe in all oxygen, is filled.",930.0,"962,0,0,0,"
931,931,"Since there are less substances that need to be absorbed while breathing in the body,",931.0,"963,1,1,0,"
932,932,"Since there are less substances that need to be absorbed while breathing in the body,",932.0,"964,0,1,0,"
933,933,It's because it's full of carbon dioxide,933.0,"965,0,0,1,"
934,934,It's because there's less substance that the body can absorb.,934.0,"966,0,0,0,"
935,935,This is because you drink all the fresh air in the plastic bag and it becomes difficult to breathe because of the carbon dioxide remaining in the plastic bag.,935.0,"967,1,0,0,"
936,936,It's full of carbon dioxide,936.0,"968,0,1,0,"
937,937,"This is because the air in the bag turns into carbon dioxide, so people can inhale a little more carbon dioxide, but not a lot.",937.0,"969,0,0,0,"
938,938,This is because there is a lot of carbon dioxide in the bag.,938.0,"970,0,1,0,"
939,939,"This is because there is a lot of carbon dioxide in plastic bags, so air is less air",939.0,"971,0,1,0,"
940,940,It's because oxygen is getting less and less,940.0,"972,0,0,0,"
941,941,"Because there is more carbon dioxide in the bag, oxygen has decreased",941.0,"973,0,0,0,"
942,942,The air disappeared in the bag,942.0,"974,0,0,0,"
943,943,Oxygen is reduced.,943.0,"975,0,0,1,"
944,944,It's because there's more carbon dioxide than oxygen.,944.0,"976,0,0,1,"
945,945,"The air in the bag is limited and if you keep drinking it, it disappears",945.0,"977,0,0,0,"
946,946,Oxygen is gone,946.0,"978,0,0,0,"
947,947,The air in the bag is disappearing,947.0,"979,0,0,0,"
948,948,There's no air,948.0,"980,0,0,1,"
949,949,I don't know,949.0,"981,0,0,1,"
950,950,"It is because there is a very small hole in the plastic bag, so the air has escaped.",950.0,"982,0,0,1,"
951,951,There's not enough air,951.0,"983,0,0,1,"
952,952,This is because the air disappears every time it breathes,952.0,"984,0,0,0,"
953,953,It is because there is more carbon dioxide than air.,953.0,"985,0,0,0,"
954,954,Carbon dioxide would have formed in the bag and made it difficult to breathe,954.0,"986,1,0,0,"
955,955,out of breath,955.0,"987,0,0,0,"
956,956,"Carbon dioxide would have formed in the bag, making it difficult to breathe.",956.0,"988,0,0,0,989,0,0,0,"
957,957,"""The first few times I breathed air, I was able to breathe because there was enough air",957.0,"990,0,0,0,"
958,958,"After doing it many times, it becomes difficult to breathe because the air has decreased.""",958.0,"991,0,1,0,"
959,959,"At first, it is easy to breathe because there is a lot of air, but the more you breathe, the less air around you, so the more you breathe, the more difficult it is to breathe",959.0,"992,0,0,0,"
960,960,"Because when CO2 gets colder, CO2 can't breathe.",960.0,"993,0,1,0,"
961,961,"At first, it was easy to breathe because the air was not humid, but after several times, the air in the rod became humid and difficult to breathe.",961.0,"994,1,0,0,"
962,962,"The amount of air has decreased, making it difficult to breathe.",962.0,"995,1,1,0,"
963,963,"The plastic bag is filled with air, making it difficult to breathe.",963.0,"996,0,1,0,"
964,964,"At first, there was a lot of oxygen to breathe in the bag, but as we continue to breathe, the proportion of carbon dioxide increases more than oxygen, making it difficult for us to breathe.",964.0,"997,0,1,0,"
965,965,I don't know.,965.0,"998,1,0,0,"
966,966,"It seems that all the fresh air has turned into carbon dioxide, making it difficult to breathe",966.0,"999,0,1,0,"
967,967,"At first, I could breathe, but every time I rest, there is more carbon dioxide in the bag, making it harder to breathe.",967.0,"1000,1,1,0,"
968,968,Because the air is getting less and less,968.0,"1001,0,0,1,"
969,969,This is because all the air in the bag has escaped.,969.0,"1002,1,1,0,"
970,970,Because of lack of oxygen?,970.0,"1003,1,0,0,"
971,971,It's hard to breathe when you drink carbon dioxide,971.0,"1004,0,1,0,"
972,972,a breathtaking door,972.0,"1005,1,0,0,"
973,973,"If you breathe in and out of the air in the bag for about 10 times, you can't breathe because carbon dioxide comes out",973.0,"1006,0,1,0,"
974,974,Because there wasn't much carbon dioxide at first.,974.0,"1007,0,1,0,"
975,975,I don't know,975.0,"1008,1,0,0,"
976,976,Don't know,976.0,"1009,1,0,0,"
977,977,I didn't learn it,977.0,"1010,0,0,0,"
978,978,There's not enough air,978.0,"1011,0,1,0,"
979,979,There's not enough air,979.0,"1012,1,1,0,"
980,980,the release of the body,980.0,"1013,1,0,0,"
981,981,I don't know,981.0,"1014,0,1,0,"
982,982,We drank all the air in the plastic bag,982.0,"1015,1,1,0,"
983,983,The air is gradually disappearing,983.0,"1016,1,0,0,"
984,984,The air disappeared a lot,984.0,"1017,1,0,0,"
985,985,The air in the bag is gone,985.0,"1018,0,1,0,1019,0,1,0,"
986,986,The air is gone,986.0,"1020,0,1,0,"
987,987,out of breath,987.0,"1021,0,0,1,"
988,988,because of the dampness,988.0,"1022,1,0,0,"
989,989,Because there's less oxygenIt is because of environmental pollution,989.0,"1023,1,1,0,"
990,990,"The air was in a sealed space, so there was no ventilation",990.0,"1024,1,0,0,"
991,991,It's hard to win because I repeated it many times,991.0,"1025,1,0,0,"
992,992,"There is not much air in the bag, but people keep inhaling air, so the air in the bag disappears.",992.0,"1026,1,0,0,"
993,993,Breathe in the air and release carbon dioxide from the body,993.0,"1027,1,0,0,"
994,994,"When I breathe, I need to breathe little by little, but I kept breathing without breathing",994.0,"1028,1,1,0,"
995,995,"When you breathe, CO2 is released, and it fills the bag",995.0,"1029,1,0,0,"
996,996,Because there's less oxygen,996.0,"1030,0,1,0,"
997,997,Part of the oxygen is converted to carbon dioxide,997.0,"1031,1,0,0,"
998,998,CO2 is not used for cellular respiration,998.0,"1032,1,1,0,"
999,999,"Because of the increase in carbon dioxide,",999.0,"1033,1,1,0,"
1000,1000,This is because oxygen is gradually becoming scarce.,1000.0,"1034,1,0,0,"
1001,1001,There's too much carbon dioxide in the bag,1001.0,"1035,1,0,0,"
1002,1002,"The oxygen in the bag goes into the body, the carbon dioxide in the body goes into the bag, and there's more carbon dioxide in the bag than oxygen, so it's hard to breathe",1002.0,"1036,1,1,0,"
1003,1003,I think it's because the air disappears every time I rest.,1003.0,"1037,1,0,0,"
1004,1004,Decreased oxygen concentration and increased carbon dioxide concentration,1004.0,"1038,1,1,0,"
1005,1005,This is because the number of oxygen decreases.,1005.0,"1039,1,0,0,"
1006,1006,The carbon dioxide that I exhaled is cold,1006.0,"1040,1,0,0,"
1007,1007,This is because there is no more oxygen because the oxygen in the bag has been consumed continuously.,1007.0,"1041,0,0,1,"
1008,1008,The carbon dioxide accumulated in the bag makes it more difficult to breathe.,1008.0,"1042,0,1,0,"
1009,1009,It's because there's a lot of carbon dioxide,1009.0,"1043,0,1,0,"
1010,1010,It's because there's less oxygen,1010.0,"1044,0,0,0,"
1011,1011,Oxygen is reduced,1011.0,"1045,0,0,0,"
1012,1012,Since you're all done,1012.0,"1046,1,0,0,"
1013,1013,This is because carbon dioxide is gradually increasing,1013.0,"1047,0,0,0,"
1014,1014,"Because carbon dioxide increases due to exhalation, and oxygen cannot be supplied",1014.0,"1048,1,0,0,1049,0,1,0,"
1015,1015,"Breathing requires oxygen, but I think it's because there's a lack of oxygen.",1015.0,"1050,0,1,0,"
1016,1016,There's only carbon dioxide left,1016.0,"1051,0,0,0,"
1017,1017,This is because oxygen entered the body and the amount of oxygen in the bag decreased and the amount of carbon dioxide increased.,1017.0,"1052,1,0,0,"
1018,1018,Because there's a lack of oxygen,1018.0,"1053,1,0,0,"
1019,1019,Because there's a lack of oxygen,1019.0,"1054,1,0,0,"
1020,1020,There's only carbon dioxide left,1020.0,"1055,1,1,0,"
1021,1021,be due to increased carbon dioxide,1021.0,"1056,1,1,0,"
1022,1022,"Because of the increase in carbon dioxide,",1022.0,"1057,0,1,0,"
1023,1023,"Because the air is getting smaller,",1023.0,"1058,0,0,0,"
1024,1024,I'm running low on oxygen,1024.0,"1059,0,1,1,"
1025,1025,This is because carbon dioxide is constantly generated and the amount of oxygen is insufficient.,1025.0,"1060,1,1,0,"
1026,1026,This is because the oxygen concentration in the plastic bag decreases,1026.0,"1061,0,1,0,"
1027,1027,Oxygen is reduced,1027.0,"1062,1,0,0,"
1028,1028,Because the oxygen content of the air has dropped,1028.0,"1063,0,0,0,"
1029,1029,I'm running low on oxygen,1029.0,"1064,1,0,0,"
1030,1030,Because it consumes oxygen and carbon dioxide comes in,1030.0,"1065,1,0,0,"
1031,1031,It is because there is a lack of oxygen,1031.0,"1066,1,1,0,"
1032,1032,Increased carbon dioxide,1032.0,"1067,1,0,0,"
1033,1033,The amount of oxygen required for breathing has become insufficient,1033.0,"1068,1,1,0,"
1034,1034,Because it consumes oxygen and produces carbon dioxide,1034.0,"1069,1,1,0,"
1035,1035,This is because it consumes oxygen and produces carbon dioxide.,1035.0,"1070,1,0,0,"
1036,1036,Oxygen is reduced,1036.0,"1071,1,1,0,"
1037,1037,Oxygen is reduced,1037.0,"1072,1,1,0,"
1038,1038,The oxygen concentration is getting lower and the carbon dioxide concentration is getting higher,1038.0,"1073,1,1,0,"
1039,1039,This is because oxygen required for breathing is reduced.,1039.0,"1074,0,0,1,"
1040,1040,"Because humans absorb oxygen and release carbon dioxide through breathing, the oxygen concentration of the air in the bag decreases, and the amount of oxygen that can be obtained from one breath decreases, so you have to breathe many times",1040.0,"1075,1,1,0,"
1041,1041,It is because there is enough oxygen in the body.,1041.0,"1076,1,0,0,"
1042,1042,This is because the amount of oxygen has decreased.,1042.0,"1077,1,0,0,"
1043,1043,Because there's,1043.0,"1078,1,0,0,1079,1,0,0,"
1044,1044,There's only carbon dioxide,1044.0,"1080,0,1,0,"
1045,1045,There's only carbon dioxide left,1045.0,"1081,0,0,0,"
1046,1046,Because the air is limited,1046.0,"1082,0,1,0,"
1047,1047,I don't know.,1047.0,"1083,1,0,0,"
1048,1048,out of oxygen,1048.0,"1084,1,0,0,"
1049,1049,Because inhalation is more than exhalation.,1049.0,"1085,1,1,0,"
1050,1050,And an oxygen deficiency,1050.0,"1086,1,0,0,"
1051,1051,It's full of carbon dioxide,1051.0,"1087,0,1,0,"
1052,1052,It's because there's more carbon dioxide than the first time,1052.0,"1088,0,1,0,"
1053,1053,I don't know,1053.0,"1089,1,0,0,"
1054,1054,There's a lack of oxygen in the bag,1054.0,"1090,1,0,0,"
1055,1055,It's because the amount of oxygen has decreased,1055.0,"1091,1,1,0,"
1056,1056,It's because there's a lack of oxygen,1056.0,"1092,1,0,0,"
1057,1057,"Our bodies drink oxygen when we breathe in and out, so carbon dioxide doesn't let us breathe.",1057.0,"1093,1,1,0,"
1058,1058,"At first, there was a lot of oxygen in it, but breathing would have gradually reduced oxygen and increased carbon dioxide.",1058.0,"1094,1,1,0,"
1059,1059,It is because there is a lot of carbon dioxide in the plastic bag,1059.0,"1095,0,1,0,"
1060,1060,"Because the air in the bag came into my body,",1060.0,"1096,0,0,0,"
1061,1061,This is because the air in the bag has decreased and carbon dioxide has increased.,1061.0,"1097,1,1,0,"
1062,1062,Oxygen is gone and carbon dioxide is high,1062.0,"1098,0,1,0,"
1063,1063,It's carbon dioxide,1063.0,"1099,1,0,0,"
1064,1064,And an oxygen deficiency,1064.0,"1100,0,1,0,"
1065,1065,I don't know.,1065.0,"1101,1,1,0,"
1066,1066,Because the amount of oxygen decreases as time goes by,1066.0,"1102,1,1,0,"
1067,1067,Because the oxygen inside has disappeared.,1067.0,"1103,1,0,0,"
1068,1068,"At first, there was a lot of oxygen, but as you breathe, you exhale carbon dioxide, which increases the concentration of carbon dioxide",1068.0,"1104,1,0,0,"
1069,1069,It's because we're running out of oxygen,1069.0,"1105,1,1,0,"
1070,1070,"People breathe in oxygen, so the more they breathe, the more carbon dioxide they get",1070.0,"1106,1,1,0,"
1071,1071,"When you breathe in and out, you breathe in oxygen, and when you breathe out carbon dioxide, so the oxygen in the bag decreases",1071.0,"1107,1,1,0,"
1072,1072,Because I drank all the oxygen in the bag.,1072.0,"1108,1,1,0,1109,1,0,0,"
1073,1073,"This is because oxygen is transferred to the brain and carbon dioxide is released, making it harder to breathe",1073.0,"1110,1,1,0,"
1074,1074,"The carbon dioxide concentration in the balloon is higher than oxygen, so there is not enough oxygen to drink.",1074.0,"1111,1,0,0,"
1075,1075,"At first, there was a lot of oxygen, but because of aerobic respiration, there is more carbon dioxide than oxygen",1075.0,"1112,1,0,0,"
1076,1076,Because there's,1076.0,"1113,1,1,0,"
1077,1077,Oxygen is consumed and carbon dioxide formed through breathing is produced,1077.0,"1114,1,0,0,"
1078,1078,This is because the oxygen concentration in the air decreased every time you inhale and exhale.,1078.0,"1115,1,0,0,"
1079,1079,"As you breathe, the amount of oxygen decreases",1079.0,"1116,1,1,0,"
1080,1080,"The composition ratio of oxygen in the air decreases, making it difficult to breathe.",1080.0,"1117,1,1,0,"
1081,1081,"""Because our bodies use it to breathe oxygen, when the oxygen content in the air decreases,",1081.0,"1118,1,0,0,"
1082,1082,"Our bodies become difficult to breathe.""",1082.0,"1119,1,0,0,"
1083,1083,Because of carbon dioxide,1083.0,"1120,1,0,0,"
1084,1084,I don't know.,1084.0,"1121,0,0,0,"
1085,1085,It's carbon dioxide,1085.0,"1122,0,0,0,"
1086,1086,It's because oxygen keeps disappearing,1086.0,"1123,0,1,0,"
1087,1087,Oxygen is gone,1087.0,"1124,0,1,0,"
1088,1088,Oxygen is hard to breathe because it is carbon dioxideOxygen is gone and carbon dioxide is full,1088.0,"1125,1,1,0,"
1089,1089,I spit out carbon dioxide,1089.0,"1126,1,0,0,"
1090,1090,I spit out carbon dioxide,1090.0,"1127,0,0,0,"
1091,1091,I inhale all the oxygen in the bag,1091.0,"1128,0,0,0,"
1092,1092,This is because oxygen has become scarce.,1092.0,"1129,1,1,0,"
1093,1093,"Inhalation requires oxygen, but the amount of carbon dioxide in the plastic bag (closed space) increases due to exhalation, making it difficult to breathe when breathing several times.",1093.0,"1130,1,0,0,"
1094,1094,Oxygen is gone,1094.0,"1131,1,1,0,"
1095,1095,It is difficult to breathe because of the decrease in oxygen and the increase in carbon dioxide,1095.0,"1132,1,1,0,"
1096,1096,The carbon dioxide ratio of the air in the bag increases and there is not enough oxygen to breathe.,1096.0,"1133,1,1,0,"
1097,1097,There's only carbon dioxide,1097.0,"1134,1,1,0,"
1098,1098,have no idea,1098.0,"1135,0,1,0,"
1099,1099,"After breathing several times, it became difficult to breathe after doing it several times because the bag contained carbon dioxide, not fresh air.",1099.0,"1136,0,0,0,"
1100,1100,There's more carbon dioxide in the bag,1100.0,"1137,0,0,0,"
1101,1101,This is because the fraction of oxygen required for breathing has decreased.,1101.0,"1138,0,1,0,1139,0,0,0,"
1102,1102,This is because the carbon dioxide in the bag increases. I feel dizzy when I breathe in carbon dioxide.,1102.0,"1140,0,0,0,"
1103,1103,"The partial pressure of oxygen in the air decreases and the partial pressure of carbon dioxide increases, making it difficult to exchange gases in the lungs.",1103.0,"1141,1,1,0,"
1104,1104,"Because the ratio of oxygen decreases and the ratio of carbon dioxide increases,",1104.0,"1142,0,0,0,"
1105,1105,"Each time you breathe, the proportion of oxygen decreases, and the lower the proportion of oxygen, the more difficult it becomes to breathe.",1105.0,"1143,0,1,0,"
1106,1106,This is because the oxygen concentration has decreased. The high concentration of carbon dioxide makes it difficult to exchange gas in the lungs.,1106.0,"1144,0,1,0,"
1107,1107,"Oxygen is consumed during breathing and carbon dioxide is emitted, so oxygen in the plastic bag gradually decreases during repeated inhalation and exhalation.",1107.0,"1145,0,1,0,"
1108,1108,"Because if you exhale air, it increases the amount of carbon dioxide, and if you go through this process several times, it decreases the amount of oxygen that humans need to breathe",1108.0,"1146,1,1,0,"
1109,1109,"People breathe and breathe out carbon dioxide with small things, but after many times, it is hard to breathe because there is more carbon dioxide and less oxygen when air movement is not between the outside and the plastic bag",1109.0,"1147,1,1,0,"
1110,1110,"They breathe in oxygen and breathe out carbon dioxide, but they lose oxygen",1110.0,"1148,1,1,0,"
1111,1111,"The partial pressure of oxygen is lowered, so diffusion does not occur well.",1111.0,"1149,0,0,0,"
1112,1112,"As oxygen is used to breathe and the carbon dioxide ratio increases, the amount of oxygen decreases, making it difficult to rest.",1112.0,"1150,1,0,0,"
1113,1113,"Inhalation requires oxygen, but the oxygen concentration in the bag gradually decreases",1113.0,"1151,1,0,0,"
1114,1114,"Since the oxygen concentration is low and gas exchange is not active,",1114.0,"1152,1,0,0,"
1115,1115,"Because the oxygen concentration went down and the carbon dioxide concentration went up,",1115.0,"1153,1,0,0,"
1116,1116,The oxygen ratio decreases.,1116.0,"1154,1,1,0,"
1117,1117,The oxygen content in the air has decreased,1117.0,"1155,0,1,0,"
1118,1118,This is because the air has become almost lean and carbon dioxide has accumulated instead of oxygen.,1118.0,"1156,0,0,0,"
1119,1119,"It's not oxygen, it's carbon dioxide",1119.0,"1157,1,0,0,"
1120,1120,The oxygen in the bag is gradually decreasing.,1120.0,"1158,0,1,0,"
1121,1121,I'm running low on oxygen,1121.0,"1159,0,0,1,"
1122,1122,Because we're running out of oxygen,1122.0,"1160,0,1,0,"
1123,1123,Please come to Cheongsil and Hongsil,1123.0,"1161,0,0,0,"
1124,1124,I'm tired,1124.0,"1162,0,1,0,"
1125,1125,Because the air is all turned into carbon dioxide,1125.0,"1163,0,0,0,"
1126,1126,This is because the air is gone and only carbon dioxide remains.,1126.0,"1164,0,1,0,"
1127,1127,"Because of carbon dioxide, we breathe with oxygen.",1127.0,"1165,0,1,0,"
1128,1128,It's because oxygen disappears,1128.0,"1166,1,1,0,"
1129,1129,be caused by smoking,1129.0,"1167,1,1,0,"
1130,1130,L.,1130.0,"1168,1,1,0,1169,0,0,0,"
1131,1131,"When you breathe, you lose oxygen and you get more carbon dioxide",1131.0,"1170,1,1,0,"
1132,1132,This is because oxygen has decreased.,1132.0,"1171,0,1,0,"
1133,1133,"There's no oxygen, there's only carbon dioxide",1133.0,"1172,1,1,0,"
1134,1134,This is because I drank all the oxygen inside and carbon dioxide increased.,1134.0,"1173,1,0,0,"
1135,1135,This is because they breathe in oxygen and breathe out carbon dioxide.,1135.0,"1174,0,1,1,"
1136,1136,"Because the oxygen in the bag is converted to carbon dioxide, and I don't have enough oxygen to breathe",1136.0,"1175,0,0,0,"
1137,1137,It's because there's a lot of carbon dioxide,1137.0,"1176,0,0,1,"
1138,1138,be due to the escape of air,1138.0,"1177,0,0,0,"
1139,1139,I don't know,1139.0,"1178,1,1,0,"
1140,1140,It's carbon dioxide,1140.0,"1179,0,0,1,"
1141,1141,I don't know,1141.0,"1180,0,0,1,"
1142,1142,I don't know.,1142.0,"1181,0,1,0,"
1143,1143,Because oxygen turned into carbon dioxide,1143.0,"1182,0,0,0,"
1144,1144,I don't know,1144.0,"1183,0,0,1,"
1145,1145,be due to the coldness of carbon dioxide,1145.0,"1184,1,0,0,"
1146,1146,This is because there is more carbon dioxide.,1146.0,"1185,1,0,0,"
1147,1147,Because it exhales carbon dioxide,1147.0,"1186,0,0,0,"
1148,1148,out of breath,1148.0,"1187,0,0,1,"
1149,1149,Oxygen is gone and carbon dioxide is formed,1149.0,"1188,0,0,0,"
1150,1150,"At first, they were able to breathe with the remaining oxygen, but as they breathe in and out, the oxygen turns into carbon dioxide.",1150.0,"1189,0,0,0,"
1151,1151,I don't know,1151.0,"1190,1,1,0,"
1152,1152,Because the air is thin.Because of the lack of oxygen.,1152.0,"1191,0,0,0,"
1153,1153,I don't get oxygen,1153.0,"1192,0,0,0,"
1154,1154,Because of lack of oxygen,1154.0,"1193,0,0,0,"
1155,1155,"At first, there was oxygen needed for breathing, but it was because there was less oxygen and more carbon dioxide.",1155.0,"1194,1,0,0,"
1156,1156,This is because oxygen has decreased and carbon dioxide has increased.,1156.0,"1195,1,0,0,"
1157,1157,This is because oxygen has decreased and carbon dioxide has increased.,1157.0,"1196,1,1,0,"
1158,1158,I don't understand.,1158.0,"1197,1,1,0,"
1159,1159,This is because oxygen has become scarce.,1159.0,"1198,1,1,0,1199,0,1,0,"
1160,1160,It's because there's a lot of carbon dioxide.,1160.0,"1200,0,0,0,"
1161,1161,This is because there is less and less air.,1161.0,"1201,1,1,0,"
1162,1162,Breathe in the air and breathe out carbon dioxide,1162.0,"1202,0,0,1,"
1163,1163,I don't have enough lung capacity,1163.0,"1203,1,1,0,"
1164,1164,Because it produces carbon dioxide,1164.0,"1204,1,0,0,"
1165,1165,I don't drink much,1165.0,"1205,1,0,0,"
1166,1166,Oxygen is converted into carbon dioxide,1166.0,"1206,1,0,0,"
1167,1167,"The reason why air remains in the bag when you breathe air for the first few times, but it becomes difficult to breathe after several times is that there is carbon dioxide rather than air in the bag.",1167.0,"1207,0,0,0,"
1168,1168,I think it is because there is little oxygen and a lot of carbon dioxide in the plastic bag I think so,1168.0,"1208,0,1,0,"
1169,1169,I think so because there is little oxygen and a lot of carbon dioxide in the plastic bag.,1169.0,"1209,1,1,0,"
1170,1170,"It will be because there is little oxygen in the plastic bag and there is a lot of carbon dioxide, so I would amortize it",1170.0,"1210,0,1,0,"
1171,1171,I drank all the air inside,1171.0,"1211,1,1,0,"
1172,1172,This is because there is no oxygen in the plastic bag and it is full of carbon dioxide because it takes in oxygen while inhaling and re-exits carbon dioxide while exhaling,1172.0,"1212,1,0,0,"
1173,1173,"""It's low on oxygen and it's full of carbon dioxide",1173.0,"1213,0,1,0,"
1174,1174,"I can't breathe well because it's full of carbon dioxide.""",1174.0,"1214,1,1,0,"
1175,1175,"It's because there's a lack of oxygen and it's full of carbon dioxide, and it emits more carbon dioxide than the oxygen I'm trying to drink, so oxygen disappears and it's full of carbon dioxide",1175.0,"1215,0,0,0,"
1176,1176,The amount of oxygen has decreased,1176.0,"1216,0,0,0,"
1177,1177,"This is because the first few times I breathe air, it is comfortable because there is enough air, but after that, the amount of air decreases and the carbon dioxide I emit increases.",1177.0,"1217,0,0,1,"
1178,1178,I don't breathe air,1178.0,"1218,0,0,0,"
1179,1179,I think it's because of the lack of air.,1179.0,"1219,0,0,0,"
1180,1180,I don't know.,1180.0,"1220,0,0,1,"
1181,1181,"Since the oxygen in the bag was used as cellular respiration, carbon dioxide was released, and oxygen for cellular respiration disappeared.",1181.0,"1221,1,0,0,"
1182,1182,"At first, there was a lot of air in the bag of snacks, but the more you inhale, the less air there is.",1182.0,"1222,0,1,0,"
1183,1183,"There was a lot of air at first, but it got smaller",1183.0,"1223,0,0,0,"
1184,1184,It's because of carbon dioxide,1184.0,"1224,0,0,0,"
1185,1185,It is the same as the above answer.,1185.0,"1225,0,0,0,"
1186,1186,The air is gone,1186.0,"1226,1,1,0,"
1187,1187,"Oxygen disappeared,You have to breathe in oxygen, but it's hard because it shrinks",1187.0,"1227,1,0,0,"
1188,1188,I'm out of breath,1188.0,"1228,0,0,0,1229,1,0,0,"
1189,1189,It is because a lot of the air in the bag disappeared.,1189.0,"1230,1,0,0,"
1190,1190,It took time for my heart to come back,1190.0,"1231,1,0,0,"
1191,1191,Because the amount of air in the bag is fixed.,1191.0,"1232,0,0,1,"
1192,1192,Because breathing eliminates oxygen and increases the amount of carbon dioxide,1192.0,"1233,0,0,0,"
1193,1193,I don't know.,1193.0,"1234,1,0,0,"
1194,1194,The air got soggy,1194.0,"1235,1,0,1,"
1195,1195,Because I was out of breath.,1195.0,"1236,0,0,0,"
1196,1196,"I need to breathe with oxygen, but there's no more",1196.0,"1237,0,0,0,"
1197,1197,This is because oxygen becomes scarce.,1197.0,"1238,0,1,0,"
1198,1198,"Oxygen is consumed by drinking, but carbon dioxide is exhaled and produced continuously",1198.0,"1239,0,0,0,"
1199,1199,This is because breathing becomes more difficult as the ratio of carbon dioxide is higher than that of oxygen,1199.0,"1240,1,0,0,"
1200,1200,"At first, the bag was filled with oxygen, but later, it is difficult to breathe because there is no oxygen and carbon dioxide is full.",1200.0,"1241,0,0,0,"
1201,1201,"I think there is more carbon dioxide in the air than oxygen, but maybe not.",1201.0,"1242,0,0,0,"
1202,1202,I'm out of breath and I'm going to have a hard time breathing,1202.0,"1243,0,0,0,"
1203,1203,This is because the amount of carbon dioxide increased and the amount of oxygen decreased.,1203.0,"1244,1,0,0,"
1204,1204,"As you continue to inhale and exhale air, the air accumulated in it gradually increases, and the air that you can breathe gradually decreases.",1204.0,"1245,0,0,1,"
1205,1205,"When you drink, you drink oxygen, but when you spit it out, there is no more oxygen to drink",1205.0,"1246,1,0,0,"
1206,1206,Because oxygen disappears quickly,1206.0,"1247,1,1,0,"
1207,1207,because of lack of oxygen,1207.0,"1248,1,0,0,"
1208,1208,This is because oxygen becomes scarce.,1208.0,"1249,0,0,0,"
1209,1209,It's full inside,1209.0,"1250,1,0,0,"
1210,1210,Co2 is getting higher,1210.0,"1251,1,0,0,"
1211,1211,"This is because at first, there was more oxygen than the amount of carbon dioxide.",1211.0,"1252,0,0,0,"
1212,1212,There's a lot of carbon dioxide,1212.0,"1253,0,0,0,"
1213,1213,There's more carbon dioxide than oxygen,1213.0,"1254,0,0,0,"
1214,1214,Oxygen is thin,1214.0,"1255,0,0,0,"
1215,1215,"At first, the amount of carbon dioxide was small, but the amount of carbon dioxide we exhaled is contained in our daily breath, making it difficult to breathe after several breaths.",1215.0,"1256,0,0,0,"
1216,1216,"At first, there is oxygen, but as you rest for a long time, there is more carbon dioxide.",1216.0,"1257,0,0,0,"
1217,1217,..,1217.0,"1258,0,1,0,1259,0,0,0,"
1218,1218,ㅊㅌㅌ,1218.0,"1260,0,0,0,"
1219,1219,Because the air in the bag is gradually disappearing,1219.0,"1261,0,0,0,"
