,Unnamed: 0,"21. After climbing a high mountain or running 100 meters, there are various changes in our bodies. What changes will happen to our bodies after a sudden exercise? And what does that change do? Let's explain in detail using knowledge of body changes after exercise. ",Unnamed: 0,", q21_breathing, q21_oxygen deficiency, q21_sweat, q21_energy, q21_muscle, q21_nervous, q21_constancy, q21_waste, q21_heart, q21_breathing1, q21_oxygen deficiency.1,q21_Sweat.1,q21_energy.1,q21_muscle.1,q21_nervous.1,q21_constancy.1,q21_waste.1,q21_heart.1"
626,626,Instantaneous changes in metabolism tend to cause a person's head to feel dizzy due to steepness in breathing and loss of oxygen in the head,626.0,"647,0,0,0,0,0,0,0,0,0,,,,,,,,,"
627,627,"Physical exercise increases the body's metabolism, and mental exercise lowers the body's stress index.",627.0,"648,0,0,0,0,0,0,0,0,0,,,,,,,,,"
628,628,Exercising makes you sweat and burn calories And you lose weight,628.0,"649,0,0,0,0,0,0,0,0,0,,,,,,,,,"
629,629,Muscles and sweat form in the body,629.0,"650,0,0,0,0,0,0,0,0,0,,,,,,,,,"
630,630,"""You get muscles and you get healthy.""",630.0,"651,0,0,0,0,0,0,0,0,0,,,,,,,,,"
631,631,"""I'm tired, and I'm sweating and out of breath""",631.0,"652,0,0,0,0,0,0,0,0,0,,,,,,,,,"
632,632,"""You'll gain muscles and be healthy.""",632.0,"653,0,0,0,0,0,0,0,0,0,,,,,,,,,"
633,633,"""I'm sweating and out of breath""",633.0,"654,0,0,0,0,0,0,0,0,0,,,,,,,,,"
634,634,become stronger,634.0,"655,0,0,0,0,0,0,0,0,0,,,,,,,,,"
635,635,"""I have muscle pain. I get new muscles when my muscles are torn, and now I don't think I get muscle pain if I do that much.",635.0,"656,0,0,0,0,0,0,0,0,0,,,,,,,,,"
636,636,"""",636.0,"657,0,0,0,0,0,0,0,0,0,,,,,,,,,"
637,637,It makes your body stronger and harder,637.0,"658,0,0,0,0,0,0,0,0,1,,,,,,,,,659,0,0,0,0,0,0,0,0,0,,,,,,,,,"
638,638,"I'm short of breath, so I breathe in and out faster, which helps me breathe faster",638.0,"660,0,0,0,0,0,0,0,0,0,,,,,,,,,"
639,639,"As there is less air to be supplied, the body can become difficult and difficult to play its own role.",639.0,"661,0,0,0,0,0,0,0,0,0,,,,,,,,,"
640,640,"It is difficult to breathe, the body temperature rises, and sweat flows through the body. The pulse rate increases again",640.0,"662,0,0,0,0,0,0,0,0,0,,,,,,,,,"
641,641,"Breathless and difficult to breathe, body temperature rises, sweat flows through the body, and pulse rate increases. If you exercise hard and steadily, your heart will become stronger and you can send a lot of blood to your whole body, so you can live a healthy life without getting tired easily. And you can feel refreshed and live a lively and voluntary life.",641.0,"663,0,0,0,0,1,0,0,0,0,,,,,,,,,"
642,642,Control body temperature by sweating.,642.0,"664,0,0,0,0,0,0,0,0,0,,,,,,,,,"
643,643,Muscle pain is caused by sudden exercise.,643.0,"665,0,0,0,0,0,1,0,0,0,,,,,,,,,"
644,644,"I'm sweating, burning calories, I'm hungry, I'm out of breath, I die because I can't breathe",644.0,"666,1,1,0,0,0,0,0,0,1,,,,,,,,,"
645,645,"Sweat, out of breath, thirsty, hungry, burning calories, hungry, and losing weight",645.0,"667,1,0,0,0,1,0,0,0,0,,,,,,,,,"
646,646,I have muscle pain because I did a sudden exercise,646.0,"668,0,0,0,0,0,0,0,0,0,,,,,,,,,"
647,647,"""Heart rate increases",647.0,"669,1,0,0,0,0,0,0,0,0,,,,,,,,,"
648,648,"Because when you exercise, the blood circulation of the heart becomes active and the heart rate becomes active.""",648.0,"670,0,0,0,0,0,0,0,0,0,,,,,,,,,"
649,649,People who don't use muscles well can experience muscle mass or pain because they are frightened.,649.0,"671,0,0,1,1,0,0,0,0,0,,,,,,,,,"
650,650,The reason I sweat after exercising rapidly is because I sweat to control body temperature and release waste.,650.0,"672,0,0,0,0,0,0,0,0,1,,,,,,,,,"
651,651,"The muscles that are not used well are startled, and people can get a sudden lump or pain in their muscles.",651.0,"673,1,0,0,0,0,0,0,0,1,,,,,,,,,"
652,652,Stretching muscles or sweating helps to get rid of the waste,652.0,"674,0,0,0,0,0,0,0,0,0,,,,,,,,,"
653,653,"My heart rate is going up, I'm sweating.",653.0,"675,0,0,0,0,0,0,0,0,0,,,,,,,,,"
654,654,"If you develop muscles, your body temperature changes and you need to get rid of waste",654.0,"676,0,0,0,0,0,0,0,0,1,,,,,,,,,"
655,655,"If you develop muscles, your body temperature changes and you need to get rid of waste",655.0,"677,0,0,0,0,0,0,0,0,1,,,,,,,,,"
656,656,"""My muscles are tense",656.0,"678,0,0,1,0,0,0,0,0,1,,,,,,,,,"
657,657,"""It's swelling up""",657.0,"679,0,0,0,0,0,0,0,0,1,,,,,,,,,"
658,658,I don't know.,658.0,"680,0,0,1,0,0,0,0,1,0,,,,,,,,,"
659,659,I don't know,659.0,"681,1,0,0,0,0,0,0,0,0,,,,,,,,,"
660,660,M and D,660.0,"682,0,0,0,0,0,0,0,0,0,,,,,,,,,"
661,661,I don't understand.,661.0,"683,0,0,0,0,0,0,0,0,0,,,,,,,,,"
662,662,M and D,662.0,"684,0,0,0,0,0,0,0,0,0,,,,,,,,,"
663,663,"""",663.0,"685,0,0,0,0,0,0,0,0,0,,,,,,,,,"
664,664,I don't understand.,664.0,"686,0,0,0,0,0,0,0,0,0,,,,,,,,,"
665,665,"""",665.0,"687,1,0,1,0,0,0,0,0,0,,,,,,,,,"
666,666,ㅎㅎㄳ ㅎㄳㄳ,666.0,"688,0,0,0,0,0,0,0,0,1,,,,,,,,,689,1,0,0,0,0,0,0,0,0,,,,,,,,,"
667,667,M and D,667.0,"690,0,0,0,0,0,0,0,0,1,,,,,,,,,"
668,668,I don't understand.,668.0,"691,0,0,1,0,0,0,0,0,0,,,,,,,,,"
669,669,Mall,669.0,"692,0,1,0,0,0,0,0,0,0,,,,,,,,,"
670,670,I don't know,670.0,"693,0,0,1,0,0,0,0,0,1,,,,,,,,,"
671,671,I don't understand.,671.0,"694,1,0,0,0,0,0,0,0,1,,,,,,,,,"
672,672,I don't understand.,672.0,"695,0,0,1,0,0,0,0,0,0,,,,,,,,,"
673,673,M and D,673.0,"696,1,0,1,0,0,0,0,0,1,,,,,,,,,"
674,674,I don't understand.,674.0,"697,0,0,0,0,1,0,0,0,0,,,,,,,,,"
675,675,I don't know.,675.0,"698,1,0,1,0,1,0,0,0,0,,,,,,,,,"
676,676,My heart is beating fast.,676.0,"699,0,1,0,1,0,0,0,0,1,,,,,,,,,"
677,677,My sides hurt,677.0,"700,1,0,1,0,0,0,0,0,0,,,,,,,,,"
678,678,M and D,678.0,"701,0,0,0,0,0,0,0,0,0,,,,,,,,,"
679,679,I don't know,679.0,"702,0,0,1,0,0,0,0,0,1,,,,,,,,,"
680,680,I don't understand.,680.0,"703,1,0,0,0,0,0,0,0,1,,,,,,,,,"
681,681,My muscles swell with tension,681.0,"704,1,0,0,0,0,0,0,0,1,,,,,,,,,"
682,682,I don't know,682.0,"705,0,0,0,0,1,0,0,0,0,,,,,,,,,"
683,683,"""",683.0,"706,0,0,1,0,1,0,1,0,0,,,,,,,,,"
684,684,"Excessive exercise, which is strong and laboring on one's body, acts as a powerful stress, rapidly increasing epinef and cortisol (hormones that increase when under severe stress), and changes in immunity, such as catching a cold easily after overwork, are directly related to changes in these endocrine substances. """,684.0,"707,0,0,0,0,0,0,0,0,0,,,,,,,,,"
685,685,I'm out of breath and hard to breathe. This is because the amount of oxygen that our bodies need increases.,685.0,"708,1,0,0,0,0,0,0,0,1,,,,,,,,,"
686,686,It can cause sore legs and muscle pain because of shortness of breath and excessive use of leg muscles,686.0,"709,1,0,0,0,0,0,0,0,0,,,,,,,,,"
687,687,.,687.0,"710,0,0,0,0,0,0,0,0,1,,,,,,,,,"
688,688,quickness of breath,688.0,"711,1,0,0,0,0,0,0,0,0,,,,,,,,,"
689,689,I don't know.,689.0,"712,0,1,0,0,0,0,0,0,1,,,,,,,,,"
690,690,"When you exercise, your body temperature rises and you sweat as calories burn. The heat is released by the sweat, but it does not overheat even if you exercise because it is sweaty",690.0,"713,0,0,0,0,0,0,0,0,0,,,,,,,,,"
691,691,Heart beating fast,691.0,"714,1,0,1,0,0,0,1,0,0,,,,,,,,,"
692,692,My heart is beating faster and I'm out of breathI feel like I've gotten bigger.,692.0,"715,1,0,0,0,0,0,0,0,0,,,,,,,,,"
693,693,I don't know.,693.0,"716,0,1,1,0,0,0,0,0,1,,,,,,,,,"
694,694,My heart beats a lot.,694.0,"717,1,1,0,0,0,0,0,0,1,,,,,,,,,"
695,695,an increase in the heart rate,695.0,"718,1,1,0,1,0,1,0,0,1,,,,,,,,,719,0,1,0,0,0,0,0,0,1,,,,,,,,,"
696,696,It's getting hot. It allows blood to move around,696.0,"720,0,0,0,0,0,0,0,0,1,,,,,,,,,"
697,697,My heart is beating fast.,697.0,"721,1,0,1,0,0,0,1,0,1,,,,,,,,,"
698,698,My body is sweating. Waste is discharged.,698.0,"722,0,1,1,0,0,0,0,0,1,,,,,,,,,"
699,699,I'm out of breath,699.0,"723,0,0,0,0,0,0,0,0,0,,,,,,,,,"
700,700,I don't know.,700.0,"724,0,0,0,0,0,0,0,0,0,,,,,,,,,"
701,701,Because my body is tired (Laughing),701.0,"725,0,0,0,0,0,0,0,0,0,,,,,,,,,"
702,702,Our bodies become stronger,702.0,"726,0,0,0,0,0,0,0,0,0,,,,,,,,,"
703,703,I'm very tired...,703.0,"727,1,0,0,0,0,0,0,0,0,,,,,,,,,"
704,704,g,704.0,"728,0,0,0,0,0,0,0,0,0,,,,,,,,,"
705,705,I'm sweating and out of breath,705.0,"729,0,0,0,0,0,0,0,0,0,,,,,,,,,"
706,706,The heart rate increases and the body becomes healthy.,706.0,"730,0,0,0,0,0,0,0,0,0,,,,,,,,,"
707,707,It's hard to breathe,707.0,"731,0,0,0,1,0,0,0,0,0,,,,,,,,,"
708,708,The heart rate increases and our bodies become stronger,708.0,"732,0,0,0,1,0,0,0,0,0,,,,,,,,,"
709,709,"When we run, our bodies get hot because of heat.The role is to sweat when it's hot, but the body cools down due to the sweat.",709.0,"733,0,0,0,1,0,0,0,0,0,,,,,,,,,"
710,710,The lack of oxygen causes alpine disease,710.0,"734,1,0,0,0,0,0,0,0,1,,,,,,,,,"
711,711,"After running, my heart beats fast and I sweat",711.0,"735,1,0,1,0,1,0,0,1,0,,,,,,,,,"
712,712,"When I run, I need to breathe fast, so blood flows fast in my body, so my heart beats fast",712.0,"736,1,0,1,0,0,0,0,0,0,,,,,,,,,"
713,713,I'm sweating a lot,713.0,"737,0,0,0,0,0,0,0,0,0,,,,,,,,,"
714,714,"I sweat and my heart beats fast, so I'm out of breath",714.0,"738,1,0,1,0,0,0,0,0,0,,,,,,,,,"
715,715,Muscles become stronger and healthier,715.0,"739,0,0,0,0,0,0,0,0,0,,,,,,,,,"
716,716,"Muscles contract, sweat, and shortness of breath.",716.0,"740,1,0,1,0,0,0,0,0,0,,,,,,,,,"
717,717,My heart is beating fast.It is to supply oxygen and nutrients to the whole body.,717.0,"741,0,0,0,0,1,0,0,0,0,,,,,,,,,"
718,718,"I'm out of breath, fever, and sweaty",718.0,"742,0,0,0,0,0,0,0,0,0,,,,,,,,,"
719,719,My calves are flabby,719.0,"743,0,0,0,0,1,0,0,0,0,,,,,,,,,"
720,720,"The body heats up and sweats come down. And my heart is beating fast. Because the body gets hot when it is active, the body temperature increases, and then you sweat to remove moisture from the body.",720.0,"744,0,0,0,0,0,0,0,0,0,,,,,,,,,"
721,721,"After exercising rapidly, your heart beats fast and you feel out of breath.",721.0,"745,0,0,1,0,0,0,0,0,1,,,,,,,,,"
722,722,My heart beats fast and my breath gets rough,722.0,"746,0,0,0,0,0,0,0,0,0,,,,,,,,,"
723,723,Muscles develop actively and change our physical body,723.0,"747,1,0,1,0,0,0,0,0,1,,,,,,,,,"
724,724,"I'm sweating, thirsty, and my legs hurt. Muscles are stretched, healthy, and tall",724.0,"748,0,0,0,0,0,0,0,0,0,,,,,,,,,749,0,0,0,0,0,0,0,0,0,,,,,,,,,"
725,725,I have a strong body,725.0,"750,0,0,0,0,0,0,0,0,0,,,,,,,,,"
726,726,My heart beats fast and I'm out of breath,726.0,"751,1,1,0,0,0,0,0,0,1,,,,,,,,,"
727,727,It's hard to breathe,727.0,"752,0,0,0,0,0,0,0,0,1,,,,,,,,,"
728,728,Your heart is beating fast. It speeds up blood circulation,728.0,"753,0,0,0,0,0,0,0,0,0,,,,,,,,,"
729,729,Breathing gets faster,729.0,"754,0,0,0,0,0,0,0,0,0,,,,,,,,,"
730,730,The heart rate increases. It speeds up the heart rate to quickly oxygenate the body.,730.0,"755,0,0,0,0,1,0,0,0,0,,,,,,,,,"
731,731,PASS,731.0,"756,0,0,1,0,0,0,0,0,1,,,,,,,,,"
732,732,"""I'm sweating and out of breath",732.0,"757,0,0,1,0,0,0,0,0,0,,,,,,,,,"
733,733,It's called homeostasis,733.0,"758,0,0,0,0,0,0,0,0,0,,,,,,,,,"
734,734,"It is a phenomenon that tries to keep the body as usual in a short time.""",734.0,"759,1,1,0,0,0,0,0,0,0,,,,,,,,,"
735,735,Breathing gets faster,735.0,"760,1,1,0,0,0,0,0,0,1,,,,,,,,,"
736,736,"Once you exercise, your heart beats and you have to supply that much oxygen, so your body generates heat and releases sweat to heat it up",736.0,"761,1,0,1,0,0,0,0,0,1,,,,,,,,,"
737,737,The lack of oxygen makes my heart beat fast and I gasp,737.0,"762,1,0,1,0,0,0,0,0,1,,,,,,,,,"
738,738,"The biggest phenomenon is the beating of the heart, and the supplying of oxygen by supplying blood quickly. And because we used a lot of ATP energy while exercising, we need additional oxygen to make ATP. That's why the lungs breathe quickly. In addition, the brain promotes the production of many hormones, making people comfortable.",738.0,"763,0,0,0,0,1,0,0,0,0,,,,,,,,,"
739,739,"Your heart beats faster, oxygen moves into your muscles.",739.0,"764,1,1,0,0,0,0,0,0,0,,,,,,,,,"
740,740,"The heart speeds up, pupils dilate.",740.0,"765,1,0,0,0,0,0,0,0,0,,,,,,,,,"
741,741,"The heart rate increases, and the breathing increases. It maintains constancy by sweating to reduce body temperature changes.",741.0,"766,1,0,0,0,0,0,1,0,0,,,,,,,,,"
742,742,"Pupils get smaller, hearts beat fast, and sweat a lot. It is to cool down and get oxygen.",742.0,"767,0,0,1,0,0,0,0,0,0,,,,,,,,,"
743,743,This is because exercising builds up the active oxygen that our bodies need,743.0,"768,0,0,0,0,0,1,0,0,1,,,,,,,,,"
744,744,1234,744.0,"769,1,0,0,0,0,0,0,0,0,,,,,,,,,"
745,745,I don't know,745.0,"770,1,0,0,0,1,0,0,0,0,,,,,,,,,"
746,746,lose weight,746.0,"771,0,1,0,1,0,0,0,0,0,,,,,,,,,"
747,747,You can breathe faster,747.0,"772,0,0,1,0,0,0,0,0,1,,,,,,,,,"
748,748,You lose body fat,748.0,"773,1,0,0,0,0,0,0,0,0,,,,,,,,,"
749,749,"Yes, it is",749.0,"774,0,0,0,0,1,1,0,0,1,,,,,,,,,"
750,750,I can sing in harmony,750.0,"775,1,0,0,0,0,0,0,0,0,,,,,,,,,"
751,751,"""You're going to lose weight",751.0,"776,0,0,0,1,1,0,0,0,0,,,,,,,,,"
752,752,"""",752.0,"777,1,1,0,1,0,0,0,0,1,,,,,,,,,"
753,753,To lose weight,753.0,"778,1,0,0,0,0,0,0,0,1,,,,,,,,,779,0,1,0,0,0,0,0,0,0,,,,,,,,,"
754,754,You lose body fat,754.0,"780,0,0,0,0,0,0,0,0,1,,,,,,,,,"
755,755,be out of breath and have a hard time with one's heart,755.0,"781,1,0,0,0,0,0,0,0,1,,,,,,,,,"
756,756,"When you exercise, it stimulates your muscles and makes you short of breath, and through exercise, your body sweats out waste",756.0,"782,1,0,1,0,0,0,0,0,0,,,,,,,,,"
757,757,"If you sweat a lot and breathe quickly, you lose strength and get excited quickly. I get mentally excited",757.0,"783,1,1,1,0,0,0,0,0,1,,,,,,,,,"
758,758,You do it,758.0,"784,1,0,0,0,0,0,0,0,1,,,,,,,,,"
759,759,"If you sweat a lot and breathe quickly, you lose strength and get excited quickly. I get mentally excited",759.0,"785,0,0,1,0,0,0,0,0,1,,,,,,,,,"
760,760,He's having a hard time,760.0,"786,1,1,0,0,0,0,0,0,0,,,,,,,,,"
761,761,My heart beats fast and I can't breathe,761.0,"787,1,0,1,0,0,0,0,0,0,,,,,,,,,"
762,762,"There are changes that make your muscles build up, you run faster, and there are many good changes.",762.0,"788,0,0,0,0,0,0,0,0,0,,,,,,,,,"
763,763,"The lighter your body is, the easier it is to exercise",763.0,"789,0,0,0,0,0,0,0,0,0,,,,,,,,,"
764,764,"There are changes that make your muscles build up, you run faster, and there are many good changes.",764.0,"790,1,0,0,0,0,0,0,0,1,,,,,,,,,"
765,765,"As the body's atmosphere continues mentally rapidly, it uses strength by applying strength rapidly.",765.0,"791,0,0,1,0,0,0,0,0,0,,,,,,,,,"
766,766,Sweat is flowing. Sweat is proof that blood is flowing well. Sweat is flowing well through blood,766.0,"792,1,0,0,0,0,0,0,0,0,,,,,,,,,"
767,767,I don't know.,767.0,"793,1,0,0,0,0,0,0,0,1,,,,,,,,,"
768,768,"""I'm out of breath",768.0,"794,0,0,1,0,0,0,1,0,0,,,,,,,,,"
769,769,My heart is beating fast,769.0,"795,0,0,1,0,0,0,1,0,1,,,,,,,,,"
770,770,"""I'm sweating""",770.0,"796,0,0,1,0,0,0,1,0,0,,,,,,,,,"
771,771,"Our bodies feel good when we go up After you work out, your body becomes fresh. So if you work out, you can live a long time",771.0,"797,0,0,0,0,0,0,0,0,1,,,,,,,,,"
772,772,I don't know.,772.0,"798,0,0,1,0,0,0,0,0,1,,,,,,,,,"
773,773,It's hard,773.0,"799,0,0,1,0,0,0,0,0,1,,,,,,,,,"
774,774,"Breathing is fast, I drink a lot of oxygen, my heart beats fast, and blood circulation is good",774.0,"800,0,0,0,0,0,0,0,0,0,,,,,,,,,"
775,775,My heart is beating faster,775.0,"801,0,1,1,0,0,0,0,1,1,,,,,,,,,"
776,776,....,776.0,"802,1,1,0,0,0,0,1,0,1,,,,,,,,,"
777,777,"I'm hungry, tired, and cursing",777.0,"803,0,0,0,0,0,0,0,0,1,,,,,,,,,"
778,778,Bone injuries and muscles surprise.,778.0,"804,0,0,0,0,0,0,0,0,0,,,,,,,,,"
779,779,Sweat is released and the heart beats fast,779.0,"805,1,0,0,0,0,0,0,0,0,,,,,,,,,"
780,780,I'm sweating,780.0,"806,0,1,0,1,0,0,0,0,0,,,,,,,,,"
781,781,My ears are ringing.The organs that control the high pressure in the ear do not work well because the high pressure is reversed,781.0,"807,1,1,0,1,0,0,0,0,1,,,,,,,,,"
782,782,We're running 100 meters and we're out of oxygen in our blood,782.0,"808,1,1,0,0,0,0,0,0,0,,,,,,,,,809,0,0,0,0,0,0,0,0,0,,,,,,,,,"
783,783,Heart rate increases after exercise and inhales oxygen while breathing hard to lower it to a normal level,783.0,"810,0,0,1,0,0,0,1,0,0,,,,,,,,,"
784,784,I'm out of breath and my heart is beating. This change causes sweat and blood circulation.,784.0,"811,1,1,0,0,0,0,0,0,1,,,,,,,,,"
785,785,"People breathe while running. The breathing should only be exhaled through the nose, but it's harder because it releases carbon dioxide through the mouth. And the pulse is beating fast. Because when you use up a lot of energy, you get cold sweat, and the organs in your body are working smoothly.",785.0,"812,0,0,1,0,1,0,0,0,0,,,,,,,,,"
786,786,"Because lactic acid forms between our muscles, our muscles get tired.",786.0,"813,0,0,1,0,0,1,0,0,1,,,,,,,,,"
787,787,"When you climb a high mountain, you start to lose your breath due to lack of oxygen due to air pressure.",787.0,"814,0,0,0,0,0,0,0,0,0,,,,,,,,,"
788,788,gasp for breath,788.0,"815,1,1,0,1,1,0,0,0,0,,,,,,,,,"
789,789,I'm out of breath. My body loses moisture.,789.0,"816,1,0,0,0,0,0,0,0,0,,,,,,,,,"
790,790,"There are some people who sweat because it is hard to exercise. If you do this hard exercise, your body will get heat.",790.0,"817,0,0,0,0,0,1,0,0,0,,,,,,,,,"
791,791,"Faster heart rate, dilated exocrine glands, and faster blood circulation.gasp for breath",791.0,"818,1,0,0,0,0,0,0,0,0,,,,,,,,,"
792,792,"Lactic acid fermentation, breathing",792.0,"819,0,0,1,0,0,0,0,0,1,,,,,,,,,"
793,793,It promotes metabolism and tries to get a lot of oxygen.,793.0,"820,0,0,0,0,0,0,0,0,0,,,,,,,,,"
794,794,The heart rate increases and the body temperature rises.,794.0,"821,1,0,0,0,0,0,0,0,0,,,,,,,,,"
795,795,I'm out of breath.,795.0,"822,0,0,0,1,0,0,0,0,0,,,,,,,,,"
796,796,"The heart beats, adrenaline is released, hair lies down, and lactic acid is released.",796.0,"823,1,0,0,0,1,0,0,0,0,,,,,,,,,"
797,797,Because you breathe faster,797.0,"824,0,0,1,0,0,0,0,0,0,,,,,,,,,"
798,798,Rapid ATP consumption causes muscles to clump.,798.0,"825,0,0,1,0,0,0,0,0,1,,,,,,,,,"
799,799,"As energy consumption increases, a lot of oxygen is required for cellular respiration, and the amount of breathing increases and the heart rate increases to provide sufficient oxygen and remove carbon dioxide.",799.0,"826,1,1,1,0,0,0,0,0,1,,,,,,,,,"
800,800,I'm out of breath. My heart is beating fast.,800.0,"827,0,0,0,1,0,0,0,0,1,,,,,,,,,"
801,801,oxygen reduction,801.0,"828,1,1,0,0,0,0,0,0,0,,,,,,,,,"
802,802,My heart is beating fast.,802.0,"829,0,1,1,0,1,1,0,0,1,,,,,,,,,"
803,803,My heart is pounding and I'm out of breath.,803.0,"830,1,1,0,1,0,0,0,0,1,,,,,,,,,"
804,804,"Sweat comes out, breathing becomes rough. (Annoyed)",804.0,"831,1,1,0,1,0,0,0,0,1,,,,,,,,,"
805,805,"When the body needs more oxygen, breathing and heart rate are accelerated, and body temperature is increased, so the body can supply enough oxygen required by the body to perform exercise smoothly.",805.0,"832,1,1,0,0,0,0,0,0,1,,,,,,,,,"
806,806,"My heart is beating fast, I'm out of breath, because the number of gas exchanges has to increase",806.0,"833,1,1,1,0,1,0,0,1,0,,,,,,,,,"
807,807,"After exercising, our body's heart rate increases, our body temperature rises, and sweat comes out to get back to normal, so we lower our body temperature",807.0,"834,1,1,0,0,0,0,0,0,1,,,,,,,,,"
808,808,Rapid exercise leads to a lack of oxygen in the body and shortness of breath to fill the oxygen.,808.0,"835,0,1,0,0,0,0,0,0,1,,,,,,,,,"
809,809,I'm sweating a lot and I'm out of breath,809.0,"836,0,0,0,1,0,0,0,0,1,,,,,,,,,"
810,810,I don't know,810.0,"837,0,0,0,1,0,0,0,0,0,,,,,,,,,"
811,811,It's getting hard,811.0,"838,0,0,0,1,0,1,0,0,0,,,,,,,,,839,1,1,0,0,0,0,0,0,1,,,,,,,,,"
812,812,Faster heart rate and harder to breathe,812.0,"840,0,0,0,0,0,0,0,0,0,,,,,,,,,"
813,813,sweaty insulin secretion,813.0,"841,1,1,0,1,1,1,0,0,0,,,,,,,,,"
814,814,I'm out of breath. I need to take a deep breath.,814.0,"842,0,0,1,0,0,0,0,0,1,,,,,,,,,"
815,815,I'm out of breath because my heart rate is getting faster.,815.0,"843,0,0,0,0,0,0,0,0,0,,,,,,,,,"
816,816,"Heat comes out of the body, sweat is released, and constancy is maintained.",816.0,"844,0,0,1,0,0,0,0,0,1,,,,,,,,,"
817,817,Blood pressure rises and sweat is secreted to maintain homeostasis,817.0,"845,1,1,1,1,0,0,0,0,1,,,,,,,,,"
818,818,"Exercise raises a person's body temperature, so they sweat to maintain homeostasis.",818.0,"846,1,0,0,0,0,0,0,0,1,,,,,,,,,"
819,819,Heartbeats are faster Heartbeats are responsible for sending blood to the body,819.0,"847,1,1,1,1,0,0,0,0,1,,,,,,,,,"
820,820,I'm sweating and my heart is pounding,820.0,"848,0,0,0,1,1,0,0,0,0,,,,,,,,,"
821,821,Sweat and heart rate spikes,821.0,"849,0,0,0,0,1,0,0,0,0,,,,,,,,,"
822,822,Hardness,822.0,"850,0,0,0,0,0,0,0,0,1,,,,,,,,,"
823,823,"My heart is beating faster, and my body is sweating. The reason is that our bodies speed up the heart rate, facilitating the supply of blood, and discharging sweat to release waste from the body.",823.0,"851,0,1,0,0,1,0,0,0,1,,,,,,,,,"
824,824,"My body needs a lot of oxygen and water to make my heart beat fast, so I can breathe fast and get thirsty",824.0,"852,1,1,1,0,0,0,0,0,0,,,,,,,,,"
825,825,My heart is beating faster It helps blood circulation,825.0,"853,0,0,0,0,0,0,0,0,0,,,,,,,,,"
826,826,It's hard,826.0,"854,1,1,1,0,1,0,1,0,0,,,,,,,,,"
827,827,The gap between inhalation and exhalation narrows,827.0,"855,0,0,0,0,0,1,0,0,0,,,,,,,,,"
828,828,It uses up oxygen and energy by exercising in the body.,828.0,"856,,,,,,,,,,,,,,,,,,"
829,829,"As the cells of the human body consume energy during rapid exercise, oxygen is needed to replenish energy. So your heart beats faster and your breathing becomes rough.",829.0,"857,,,,,,,,,,,,,,,,,,"
830,830,"Because it requires a lot of oxygen, it makes you gasp.",830.0,"858,38.2%,18.5%,23.4%,7.5%,9.3%,2.8%,4.4%,2.3%,35.7%,,,,,,,,,"
831,831,My heart stops beating,,
832,832,My body is sweating. I have to drink water again. This is because dehydration can occur.,,
833,833,I'm out of breath because I want to make my blood circulation more active and get oxygen into my body faster,,
834,834,"You will have muscle pain, sweat, pain, daze, or no strength.",,
835,835,"Heart rate increases, adrenaline is released, and sweat glands are stimulated and sweaty",,
836,836,grow faster,,
837,837,"If you exercise, you need to use a lot of energy Therefore, blood needs to move fast, but if blood moves fast, it needs a lot of air Therefore, the brain needs air and feels wheezing symptoms If you run a lot, you will receive energy and your muscles, which you used too much, will get tired and accumulate fatigue.",,
838,838,out of breath,,
839,839,Hormones in the blood move fast,,
840,840,"Breathing becomes difficult because when you exercise rapidly, you do anaerobic exercise.",,
841,841,"My heart beats fast and I get a lot of heat, so I will sweat and get hot",,
842,842,Sweat is released and the weight is lost as sweat is released.,,
843,843,My breath is getting better,,
844,844,"If you exercise, you burn the fat to get rid of it.",,
845,845,"If you suddenly exercise hard, your physical strength is basic and your lung capacity increases. Therefore, your body can develop rapidly or your muscles can grow rapidly",,
846,846,"Because people generate heat when they exercise, they cool down by sweating to release heat from the body.",,
847,847,"The heartbeat accelerates as the heart beats. And I sweat in my body, and sweat controls my body temperature.",,
848,848,My heart beats fast and gasps because I sweat to cool down after exercise and need more oxygen,,
849,849,Pumping is more active in the heart to create energy.,,
850,850,"After rapid exercise, the cell needs more oxygen, so it needs more and more oxygen, so it is panting.",,
851,851,"As oxygen demand increases, sympathetic nerves become excited. This causes the heart to beat fast, sweat, and body temperature to rise. And there is also muscle pain due to fine damage to the muscles.",,
852,852,"After rapid exercise, the heart rate increases and breathing increases. It serves to supply the body with insufficient oxygen and energy.",,
853,853,"After rapid exercise, the heart rate increases and breathing increases. It serves to supply the body with insufficient oxygen and energy.",,
854,854,"As you sweat, your body temperature decreases. The heart beats fast and delivers blood quickly, supplying a lot of oxygen to the muscles. Breathe fast and take in a lot of oxygen.",,
855,855,"I get shortness of breath and muscle pain. Because of the lack of oxygen, lactose accumulates in the muscles and feels tired because of the lack of oxygen. It is sweat that moisture, inorganic salts, and waste are released together.",,
856,856,The heart beats fast and the breathing gets faster. It absorbs oxygen faster and releases carbon dioxide faster.,,
857,857,The heart is beating faster. Because I need to supply oxygen to my body quickly.,,
858,858,"Rapid exercise increases the heart rate, which is to supply glucose to the blood.",,
859,859,Glycogen is broken down into glucose in the liver to obtain energy,,
860,860,"After exercise, blood sugar decreases and glucagon breaks down glycogen into glucose.",,
861,861,"Immediately after exercising, our bodies needed a lot of oxygen in our muscles, so our heart beats faster and our breathing volume increased.",,
862,862,I don't know,,
