,Unnamed: 0,"19. Many environmental groups have recently warned that a decline in biodiversity could pose a global risk. Recently, the number of species has been decreasing rapidly. Why is the number of endangered species increasing recently? Let's explain in detail using our knowledge of biodiversity. ",Unnamed: 0,",q19_climate change, q19_respect for life, q19_environmental destruction, q19_biological effects, q19_human activity, q19_climate change 1, q19_respect for life, 1, q19_environmental destruction.1,q19_Bioinfluence1.q19_Human activity.1"
560,560,"Global warming causes temperatures to rise, and creatures that have not adapted to rapid environmental changes become extinct.",560.0,"578,0,0,0,0,1,,,,,"
561,561,Global warming,561.0,"579,0,0,0,0,0,,,,,"
562,562,Destruction of Habitat Due to Global Warming,562.0,"580,1,0,1,0,0,,,,,"
563,563,"Environmental pollution and global warming change the environment in which living things can live, which causes creatures to become extinct because they cannot adapt.",563.0,"581,0,0,0,0,0,,,,,"
564,564,"The reason is that global warming is getting worse as carbon dioxide in the atmosphere increases. Due to global warming, due to the rise in sea level, there are many fewer habitats for terrestrial organisms, and due to the rise in sea temperature, fish cannot survive, atmosphere, and land. Biodiversity is decreasing due to marine pollution.",564.0,"582,0,0,0,0,0,,,,,"
565,565,Blah blah blah blah blah,565.0,"583,1,0,1,0,1,,,,,"
566,566,"When biodiversity decreases, the food chain begins to collapse and the ecosystem collapses.",566.0,"584,0,0,0,0,0,,,,,"
567,567,"""If people continue to develop and lose forests, herbivores lose food and homes",567.0,"585,0,0,0,0,0,,,,,"
568,568,"""If an animal dies like this, even carnivores that eat herbivores are in danger of becoming extinct.""",568.0,"586,0,0,1,0,1,,,,,"
569,569,"It seems to be because poaching, excessive hunting, and destruction of the natural environment destroy the habitats where creatures live.",569.0,"587,0,0,0,0,1,,,,,"
570,570,"People take it out on animals because it hurts the Earth. That's why animals get sick, too. Well, to be more specific, there's capture, overfishing ^^",570.0,"588,0,0,1,0,1,,,,,"
571,571,Kill the animals and get the leather,571.0,"589,0,0,0,0,0,,,,,"
572,572,"Human activities have destroyed habitats, led to a sharp drop in population due to indiscriminate hunting, and the introduction of foreign species has made it difficult for native creatures to live, and the habitat environment is changing due to climate change and environmental pollution.",572.0,"590,0,0,1,0,0,,,,,"
573,573,"As the ecosystem is destroyed, habitats decrease and animals disappear.",573.0,"591,0,0,0,0,0,,,,,"
574,574,Endangered species increase due to global warming and waste and exhaust fumes,574.0,"592,0,0,0,0,1,,,,,"
575,575,The environment is not good,575.0,"593,0,1,1,1,1,,,,,"
576,576,"Due to human activities, it seems to be extinct primarily due to hunting, but another reason is that global warming causes rapid environmental changes to become unadaptable and extinct.",576.0,"594,0,0,1,0,1,,,,,"
577,577,"The habitat of living things has been destroyed by humans cutting down forest trees or removing wetlands, and biodiversity is rapidly decreasing, increasing endangered species.",577.0,"595,0,0,0,0,0,,,,,"
578,578,It is because they throw away too many screech in the sea and catch too many animals.,578.0,"596,0,1,1,0,0,,,,,"
579,579,"Many people kill and kill animals, make and eat clothes from leather, and endangered animals occur.",579.0,"597,1,0,1,0,1,,,,,"
580,580,"Endangered species are increasing because humans do environmental destruction, causing food to be lost, air to be dirty, oil to the sea, making it difficult for animals to live in.",580.0,"598,1,0,1,0,0,,,,,599,0,0,0,0,1,,,,,"
581,581,Endangered species continue to increase and cause more extinction,581.0,"600,0,0,1,1,1,,,,,"
582,582,"This is because the number of natural enemies of endangered species increases. Therefore, the number of endangered species will decrease.",582.0,"601,0,0,0,0,1,,,,,"
583,583,"People throw trash on the floor...And so on, it hurts the Earth and causes global warming. Because of global warming, Arctic animals are struggling, and habitat destruction and overfishing are increasing the number of endangered species",583.0,"602,1,0,1,0,0,,,,,"
584,584,This is because people catch animals recklessly and they become extinct.,584.0,"603,0,0,0,0,1,,,,,"
585,585,"Global warming continues to change the Earth's environment, and animals that are unable to adapt and are fatally affected can pose a threat to their survival. This can reduce biodiversity.",585.0,"604,0,0,0,1,0,,,,,"
586,586,I don't know.,586.0,"605,0,0,0,1,0,,,,,"
587,587,f,587.0,"606,0,0,0,1,0,,,,,"
588,588,"The indiscriminate capture and overfishing of people increases the number of endangered species, and the number of endangered species increases because they destroy the ecosystem of living things to build buildings.",588.0,"607,1,0,1,1,1,,,,,"
589,589,"Recently, human industrial activities have caused problems such as an increase in greenhouse gases, water pollution, and soil pollution, and the ecosystem of various animals and plants is being destroyed. Rising temperatures and extreme climate changes caused by greenhouse gases cause a decrease in the population of animals and plants that were originally accustomed to temperature.",589.0,"608,0,0,1,0,0,,,,,"
590,590,This is because nature is being destroyed.,590.0,"609,0,0,0,0,0,,,,,"
591,591,I don't know,591.0,"610,1,0,0,0,0,,,,,"
592,592,The Earth's environment is changing dramatically,592.0,"611,0,0,0,1,0,,,,,"
593,593,"I don't know...Because of reckless NAYEON development and waste dumping,",593.0,"612,0,0,1,0,1,,,,,"
594,594,???,594.0,"613,0,0,1,1,1,,,,,"
595,595,Habitat destruction due to global warming,595.0,"614,0,0,0,1,0,,,,,"
596,596,"""I don't know",596.0,"615,0,0,0,1,1,,,,,"
597,597,"""",597.0,"616,1,0,0,0,0,,,,,"
598,598,I have no idea.,598.0,"617,1,0,1,0,1,,,,,"
599,599,"There are climate change due to global warming, indiscriminate development, and forest destruction.",599.0,"618,0,1,1,1,1,,,,,"
600,600,I don't know.,600.0,"619,0,0,1,0,1,,,,,"
601,601,I don't know,601.0,"620,0,0,0,0,1,,,,,"
602,602,Endangered species increase as the world loses its habitat due to unreasonable environmental development,602.0,"621,0,0,0,0,1,,,,,"
603,603,I keep catching them and making them leather,603.0,"622,0,0,1,0,1,,,,,"
604,604,This is because people are indiscriminately destroying the environment.,604.0,"623,0,0,1,1,0,,,,,"
605,605,I don't know.,605.0,"624,0,0,1,1,0,,,,,"
606,606,"It is hard to live in the Arctic because the ice melts, and Africa is too hot to live in",606.0,"625,1,1,1,0,1,,,,,"
607,607,I don't know,607.0,"626,1,0,1,1,1,,,,,"
608,608,"As bad substances come out and there is more smoke, endangered species emerge.",608.0,"627,0,0,1,1,1,,,,,"
609,609,Many species have died because of the indiscriminate destruction of human nature and the inability of creatures to adapt to rapid environmental changes,609.0,"628,0,0,1,0,1,,,,,629,0,0,1,0,1,,,,,"
610,610,"This is because people destroy the gospel of animals by developing them, treat animals recklessly, collect and sell animals' food.",610.0,"630,1,1,1,0,1,,,,,"
611,611,I don't know,611.0,"631,0,0,1,1,1,,,,,"
612,612,This is because environmental pollution often causes people to die because the conditions of the environment to live in are not met or bleed to death by a car.,612.0,"632,0,0,1,0,1,,,,,"
613,613,"Endangered species increase due to global warming, environmental pollution, and indiscriminate hunting by humans.",613.0,"633,0,0,1,0,0,,,,,"
614,614,Because the environment is destroyed by global warming,614.0,"634,0,0,1,1,0,,,,,"
615,615,More endangered species due to poaching of people,615.0,"635,0,1,1,1,1,,,,,"
616,616,Human indiscriminate deforestation and the destruction of ecosystems caused by development reduce biological species,616.0,"636,0,0,1,1,0,,,,,"
617,617,I think it's because of the reckless development of humans,617.0,"637,1,0,0,0,0,,,,,"
618,618,"As global warming progresses, various habitats decrease, and the space for rare species decreases, which seems to occur.",618.0,"638,0,0,1,1,1,,,,,"
619,619,I think it's because of poachers,619.0,"639,0,0,1,0,1,,,,,"
620,620,"As the species becomes simpler, the probability of extinction increases when a disease occurs",620.0,"640,0,0,1,0,1,,,,,"
621,621,"Ecological destructive species such as bullfrog, nutria, and bass seem to be increasing in Korea.",621.0,"641,0,0,0,1,1,,,,,"
622,622,"The development of transportation has reduced the relative distance. As a result, hybrid species are born or biological species are reduced due to competition and culling.",622.0,"642,0,0,0,0,0,,,,,"
623,623,"Continuous environmental destruction and global warming make the survival environment poor, reducing the number of predators.",623.0,"643,0,0,0,0,0,,,,,"
624,624,I think serious environmental pollution is the main cause.,624.0,"644,0,0,0,0,0,,,,,"
625,625,Because biodiversity is increasing,625.0,"645,0,0,0,0,0,,,,,"
626,626,Global warming,626.0,"646,0,0,0,0,0,,,,,"
627,627,"The development of transportation has reduced the relative distance. As a result, hybrid species are born or biological species are reduced due to competition and culling.",627.0,"647,0,0,0,0,0,,,,,"
628,628,This is because humans destroy the Earth's ecosystem for development.,628.0,"648,0,0,0,0,0,,,,,"
629,629,"Due to the rapid industrial revolution, the environment is also in serious trouble. This reduces biodiversity because endangered species increase.",629.0,"649,0,0,0,0,0,,,,,"
630,630,"The extinction of a species damages the survival of dominant species by the structure of the food chain, and extinction",630.0,"650,0,0,0,0,0,,,,,"
631,631,"Biodiversity is achieved through the food chain, and diversity is maintained, but if diversity is not maintained because of illegal ecosystem destruction, there will be more endangered species of biological plants",631.0,"651,0,0,0,0,0,,,,,"
632,632,"Because of global warming,",632.0,"652,0,0,0,0,0,,,,,"
633,633,"Global warming is progressing, and humans are destroying nature",633.0,"653,1,0,1,0,0,,,,,"
634,634,"Rainforests are gradually decreasing due to indiscriminate capture, destruction, and environmental pollution, and countless creatures are disappearing from the Earth, and the loss of biodiversity can threaten the survival of mankind. There are more than 30 million living things on Earth, including humans. However, rainforests are gradually decreasing and countless creatures are disappearing from the Earth due to the destruction of indiscriminate pogroms and environmental pollution. If the habitat is lost or fragmented and reduced by 90%, the number of species will decrease by 50%. All species depend on other species for their survival. So the domino effect can wipe out the species.",634.0,"654,1,0,0,0,0,,,,,"
635,635,"""People catch a lot of fish",635.0,"655,0,0,0,0,0,,,,,"
636,636,"Because the environment is polluted.""",636.0,"656,0,0,0,0,0,,,,,"
637,637,A lot of people caught me,637.0,"657,0,0,0,0,0,,,,,"
638,638,People catch endangered or other animals and endangered species increase rapidly,638.0,"658,0,0,0,0,0,,,,,659,0,0,0,0,0,,,,,"
639,639,Animals that live in clean places seem to be losing their homes and dying as people catch and pollute the environment,639.0,"660,0,0,0,0,0,,,,,"
640,640,"As the environment changes, the animals' food decreases, and the animals all live there",640.0,"661,0,0,1,0,1,,,,,"
641,641,"Because people destroy animals' habitats for construction or other work, food disappears and there is no suitable habitat, making them endangered.",641.0,"662,0,0,0,0,0,,,,,"
642,642,"Global warming is getting worse and people are indiscriminately developing and destroying animals' habitats, killing them.",642.0,"663,0,0,1,0,0,,,,,"
643,643,"This is due to various cases such as excessive human intervention and development of nature, loss of habitat due to population growth, environmental pollution, introduction of foreign species, and climate change",643.0,"664,0,0,0,1,0,,,,,"
644,644,"As people destroy their habitats, create roads and take care of their interests, animals become extinct because they have nowhere to live and no food, and endangered animals are increasing because people kill animals by burning their horns, skins, or teeth.",644.0,"665,1,0,0,0,1,,,,,"
645,645,"It seems to be due to the destruction of the habitat of living things, excessive overfishing, and illegal fishing.",645.0,"666,1,0,0,0,1,,,,,"
646,646,The number of natural predators has increased dramatically.,646.0,"667,0,0,0,1,1,,,,,"
647,647,"People destroy the ecosystem, the ozone layer is destroyed by methane gas such as cars, and the temperature rises in the Arctic, killing polar bears",647.0,"668,0,0,0,1,0,,,,,"
648,648,"People hunt animals, destroy nature, and many of their prey disappear",648.0,"669,0,0,0,0,0,,,,,"
649,649,"Capturing creatures, destroying their habitats, increasing the number of natural enemies",649.0,"670,0,0,0,0,0,,,,,"
650,650,Environmental pollution and habitat destruction,650.0,"671,0,0,0,0,0,,,,,"
651,651,Foreign animals from other countries prey on domestic animals.,651.0,"672,0,0,0,0,1,,,,,"
652,652,"Habitat destruction and so on.""",652.0,"673,0,0,1,0,1,,,,,"
653,653,"People's greed catches, kills, and destroys the animals' habitats, resulting in a decrease in the number of species.",653.0,"674,0,0,0,0,0,,,,,"
654,654,Foreign animals from other countries prey on domestic animals.,654.0,"675,0,0,0,0,1,,,,,"
655,655,"Habitat destruction - etc. - """,655.0,"676,0,0,0,0,0,,,,,"
656,656,Because global warming and the ozone layer are becoming more and more and more,656.0,"677,0,0,1,0,0,,,,,"
657,657,"There are habitat destruction, excessive capture, influx of foreign species, and environmental pollution.",657.0,"678,1,0,0,0,0,,,,,"
658,658,The number of cases of habitat destruction and illegal hunting of animals is increasing rapidly,658.0,"679,0,0,1,0,0,,,,,"
659,659,The number of cases of habitat destruction and illegal hunting of animals is increasing rapidly,659.0,"680,0,0,1,0,1,,,,,"
660,660,"""The destruction of the habitat of living things, excessive overfishing and illegal capture,",660.0,"681,1,0,0,0,0,,,,,"
661,661,"I think that's why""",661.0,"682,1,0,0,0,0,,,,,"
662,662,I don't know.,662.0,"683,0,0,0,0,0,,,,,"
663,663,I don't know,663.0,"684,0,0,1,0,1,,,,,"
664,664,M and D,664.0,"685,0,0,0,0,0,,,,,"
665,665,I don't understand.,665.0,"686,1,0,1,0,0,,,,,"
666,666,M and D,666.0,"687,0,0,0,1,0,,,,,"
667,667,"""",667.0,"688,1,0,0,0,0,,,,,689,0,0,1,0,0,,,,,"
668,668,I don't understand.,668.0,"690,1,0,0,0,0,,,,,"
669,669,"""",669.0,"691,0,0,1,0,1,,,,,"
670,670,(Playing the guitar sound,670.0,"692,0,0,1,0,0,,,,,"
671,671,M and D,671.0,"693,0,0,1,0,1,,,,,"
672,672,I don't understand.,672.0,"694,1,1,1,0,1,,,,,"
673,673,Mall,673.0,"695,1,0,0,0,1,,,,,"
674,674,I don't know,674.0,"696,0,0,0,0,1,,,,,"
675,675,Environmental pollution caused by global warming,675.0,"697,0,1,1,0,1,,,,,"
676,676,Global warming,676.0,"698,1,1,0,0,0,,,,,"
677,677,M and D,677.0,"699,0,1,0,1,0,,,,,"
678,678,I don't understand.,678.0,"700,1,1,1,1,0,,,,,"
679,679,I don't know.,679.0,"701,0,0,0,0,1,,,,,"
680,680,The one I submitted earlier...,680.0,"702,1,1,1,0,0,,,,,"
681,681,I don't know.,681.0,"703,0,0,0,0,1,,,,,"
682,682,M and D,682.0,"704,0,0,0,0,1,,,,,"
683,683,"People do development projects, so there's no room for animals",683.0,"705,0,0,0,0,0,,,,,"
684,684,I don't understand.,684.0,"706,1,0,0,0,1,,,,,"
685,685,Because animals' habitats are destroyed,685.0,"707,0,0,1,0,0,,,,,"
686,686,Less biodiversity increases the likelihood of extinction of living things,686.0,"708,1,0,0,0,1,,,,,"
687,687,"People don't value the Earth and just use it to cause global warming, which increases endangered species",687.0,"709,0,0,0,0,1,,,,,"
688,688,"""",688.0,"710,0,0,0,0,0,,,,,"
689,689,"It's because of people's intervention.People overfishing indiscriminately, and climate change due to people is a problem.""",689.0,"711,0,0,0,0,1,,,,,"
690,690,"When humans hunt indiscriminately and an animal disappears, the balance of the ecosystem is destroyed and endangered species increase",690.0,"712,0,0,0,0,1,,,,,"
691,691,.,691.0,"713,0,0,0,0,0,,,,,"
692,692,"As the creatures below disappear, even a small number of creatures disappearI don't know.",692.0,"714,0,0,0,0,1,,,,,"
693,693,"Biodiversity is a concept that refers to all living things, including animals.",693.0,"715,0,0,0,0,0,,,,,"
694,694,Because of humans,694.0,"716,0,0,0,0,0,,,,,"
695,695,"As technology grows in humans, each country develops, which causes environmental pollution and causes animals to lose their homes",695.0,"717,0,0,1,0,1,,,,,"
696,696,I don't know,696.0,"718,0,1,1,0,1,,,,,719,1,0,1,0,0,,,,,"
697,697,People eat a lot of animals,697.0,"720,0,0,1,0,0,,,,,"
698,698,Don't know,698.0,"721,0,1,1,1,0,,,,,"
699,699,Because of environmental damage,699.0,"722,0,1,0,0,1,,,,,"
700,700,"Because of global warming,",700.0,"723,1,0,0,0,0,,,,,"
701,701,This is because the environment is getting polluted.,701.0,"724,0,0,0,0,0,,,,,"
702,702,This is because people destroy the habitats of animals by destroying nature such as factories.,702.0,"725,0,0,0,0,0,,,,,"
703,703,Because it's hot because of global warming?,703.0,"726,0,0,1,0,0,,,,,"
704,704,"Because of global warming,",704.0,"727,0,0,0,0,0,,,,,"
705,705,"People chew, rip, taste, and enjoy it.",705.0,"728,0,1,1,0,1,,,,,"
706,706,"Automobile smoke creates smoke, which causes environmental pollution and extinction",706.0,"729,0,0,0,0,0,,,,,"
707,707,People can do anything,707.0,"730,0,0,1,0,0,,,,,"
708,708,Global warming causes temperatures to rise and destroy the ecosystem.,708.0,"731,0,0,1,0,1,,,,,"
709,709,"If one goes extinct, so does the other",709.0,"732,0,0,0,0,1,,,,,"
710,710,It is because of global warming.,710.0,"733,0,0,0,0,1,,,,,"
711,711,Because of environmental pollution,711.0,"734,1,0,0,0,0,,,,,"
712,712,This is because global warming is happening fast,712.0,"735,1,0,1,0,0,,,,,"
713,713,People are bothering the ecosystem,713.0,"736,0,1,1,0,0,,,,,"
714,714,The forest disappeared,714.0,"737,0,0,0,0,0,,,,,"
715,715,"Environmental pollution, that is! Lots of garbage and water.Electricity, lights...on account of",715.0,"738,0,1,1,0,0,,,,,"
716,716,"Humans Pollute the Earth So the earth is warming, and plants and animals cannot adapt to it and die",716.0,"739,0,0,0,0,0,,,,,"
717,717,G-O-N-W-W-W-E-W-E-W-E-W-E-W-W-E-W-,717.0,"740,1,0,0,0,0,,,,,"
718,718,"Human beings are endangered because of their reckless use of electricity, water, and so on",718.0,"741,0,0,0,0,0,,,,,"
719,719,"When humans develop, the environment gets worse, and animals die if they don't adapt",719.0,"742,0,0,0,0,0,,,,,"
720,720,"Global warming is getting worse, making it harder to live, so there are more endangered species, and life is gradually disappearing.So biodiversity is important.",720.0,"743,0,0,0,0,0,,,,,"
721,721,"When an organism that is eaten or used for reproduction disappears, the organism that eats or uses it for reproduction also disappears.",721.0,"744,0,0,0,0,1,,,,,"
722,722,"As global warming intensifies, Arctic friends like polar bears lose their prey and habitat and die",722.0,"745,0,0,0,0,0,,,,,"
723,723,Human beings are greedy,723.0,"746,0,0,0,0,0,,,,,"
724,724,"As global warming increases, diseases increase, and temperatures rise, making it impossible for living things to live in. At the same time, there are fewer and fewer living things and it becomes an environment that can be endangered.",724.0,"747,0,1,0,0,1,,,,,"
725,725,Endangered species are increasing because people use animal skins a lot and eat animals.,725.0,"748,0,0,1,1,0,,,,,749,0,0,0,0,0,,,,,"
726,726,"It's because people skin animals, make clothes, and eat meat",726.0,"750,0,0,1,0,0,,,,,"
727,727,"These days, the number of animals is rapidly decreasing due to being eaten, but endangered animals are not being eaten, so the number is increasing as they give birth to birds and live",727.0,"751,0,0,1,0,0,,,,,"
728,728,"We throw away trash and as the earth changes, the temperature rises, and the earth warms up, so there is a temperature where animals can live, and there is an endangered animal because the temperature rises",728.0,"752,0,0,0,0,0,,,,,"
729,729,change according to the environment,729.0,"753,0,0,0,0,0,,,,,"
730,730,Because of the weather,730.0,"754,0,0,0,0,0,,,,,"
731,731,"Because they are indiscriminately hunting,",731.0,"755,0,0,0,0,1,,,,,"
732,732,be vulnerable to infectious diseases if water is not diverse,732.0,"756,0,0,0,0,1,,,,,"
733,733,Humans killed mercilessly,733.0,"757,0,0,0,0,0,,,,,"
734,734,Human ruthless use and destruction of ecosystems is the cause.,734.0,"758,0,0,0,1,1,,,,,"
735,735,PASS,735.0,"759,0,0,1,0,1,,,,,"
736,736,"""Man's reckless dumping of garbage",736.0,"760,0,0,1,0,0,,,,,"
737,737,"e.g. Due to plastic waste dumped by sea creatures without permission,",737.0,"761,0,0,0,0,1,,,,,"
738,738,be dying,738.0,"762,0,0,0,0,1,,,,,"
739,739,on a recurring phenomenon every year,739.0,"763,0,0,1,0,0,,,,,"
740,740,Certain species may become extinct,740.0,"764,0,0,0,0,0,,,,,"
741,741,I don't know.,741.0,"765,0,0,0,0,1,,,,,"
742,742,"""People are trying to protect biodiversity",742.0,"766,1,0,0,0,0,,,,,"
743,743,"Protecting the habitat of the endangered species,",743.0,"767,0,0,0,0,0,,,,,"
744,744,"It is trying to increase the number of extinctions while steadily protecting the species in a biological shelter.""",744.0,"768,1,1,1,0,0,,,,,"
745,745,"Endangered species are on the rise as people indiscriminately develop ecosystems, destroying their sites and indiscriminately catching animals for human gain",745.0,"769,0,0,1,0,0,,,,,"
746,746,"Humans' indiscriminate development destroys nature and changes the existing ecosystem. As a result, the animals and plants that lived in the past move to other places or die, and new animals and plants are created. In addition, as humans use more land, animals and plants disappear as space for animals and plants decreases, and because some plants and animals are valuable, humans have pioneered land, mass-producing one plant, and indiscriminately hunting animals.",746.0,"770,0,0,1,0,0,,,,,"
747,747,The ecological environment is lost due to climate change such as global warming. Ecosystem destruction due to environmental pollution.,747.0,"771,1,0,1,0,0,,,,,"
748,748,Destruction of Habitat due to Environmental Pollution,748.0,"772,0,0,0,0,1,,,,,"
749,749,"As the number of unadjusted populations increases due to climate change, biodiversity decreases and endangered species increase.",749.0,"773,1,0,0,0,0,,,,,"
750,750,"Endangered species are killed by human poaching, breeding, etc.",750.0,"774,1,1,1,0,0,,,,,"
751,751,It's because of global warming,751.0,"775,0,0,1,0,1,,,,,"
752,752,1234,752.0,"776,1,0,1,1,0,,,,,"
753,753,I don't know,753.0,"777,0,0,0,1,1,,,,,"
754,754,Because of environmental pollution,754.0,"778,1,1,1,0,0,,,,,779,1,0,0,0,0,,,,,"
755,755,It's because I'm all tied up,755.0,"780,0,0,1,0,0,,,,,"
756,756,"With the development of science and technology, the number of cars and factories increases, and the number of living things decreases rapidly due to environmental pollution",756.0,"781,0,0,0,0,1,,,,,"
757,757,I don't know.,757.0,"782,0,0,1,0,1,,,,,"
758,758,in the midst of a scandal,758.0,"783,0,0,0,0,1,,,,,"
759,759,"""Because humans destroy the natural environment",759.0,"784,1,0,0,0,0,,,,,"
760,760,"""",760.0,"785,0,0,0,0,0,,,,,"
761,761,"Because people hunt animals,",761.0,"786,0,0,1,0,0,,,,,"
762,762,Because people hunt everywhere,762.0,"787,0,0,1,0,0,,,,,"
763,763,Global warming phenomenon,763.0,"788,0,0,0,0,0,,,,,"
764,764,"Because the earth gets hot because of global warming, animals, insects, and life are hard to live in",764.0,"789,0,0,1,0,0,,,,,"
765,765,"Water is polluted by dumping waste into lakes, rivers, and seas and people touch extinct animals recklessly",765.0,"790,1,0,0,0,0,,,,,"
766,766,Don't know,766.0,"791,0,0,0,0,0,,,,,"
767,767,"Water is polluted by dumping waste into lakes, rivers, and seas and people touch extinct animals recklessly",767.0,"792,1,0,0,1,0,,,,,"
768,768,The world has come to an end,768.0,"793,1,0,0,0,0,,,,,"
769,769,"Because of global warming,",769.0,"794,1,1,0,0,0,,,,,"
770,770,I don't know.,770.0,"795,0,0,0,0,1,,,,,"
771,771,It's better to live in the wild,771.0,"796,0,0,1,1,0,,,,,"
772,772,I don't know.,772.0,"797,0,0,0,0,1,,,,,"
773,773,"Animals are dangerous because people throw away trash from the sea, and animals and the earth are dangerous because they throw away pollutants on the floor.",773.0,"798,0,0,0,0,1,,,,,"
774,774,"As time goes by, the animal is either extinct or alive",774.0,"799,0,0,1,0,1,,,,,"
775,775,1243,775.0,"800,0,0,1,0,0,,,,,"
776,776,"""As people catch and kill animals, the number of animals that are large is decreasing and becoming endangered",776.0,"801,1,0,0,0,0,,,,,"
777,777,"In the past, the number of tigers decreased dramatically because they were caught and killed""",777.0,"802,0,0,0,1,0,,,,,"
778,778,"Because our natural environment is good, various creatures become extinct",778.0,"803,1,0,0,0,1,,,,,"
779,779,I don't know.,779.0,"804,0,1,1,0,0,,,,,"
780,780,environmental pollution,780.0,"805,0,0,0,1,0,,,,,"
781,781,environmental change,781.0,"806,0,0,1,0,0,,,,,"
782,782,"""Global Warming""",782.0,"807,0,0,1,0,1,,,,,"
783,783,"""",783.0,"808,0,0,1,0,1,,,,,809,0,0,0,0,1,,,,,"
784,784,......,784.0,"810,1,0,1,0,0,,,,,"
785,785,People eat and hunt,785.0,"811,1,0,0,0,1,,,,,"
786,786,People killed him,786.0,"812,0,0,1,0,1,,,,,"
787,787,I don't know,787.0,"813,1,0,1,0,0,,,,,"
788,788,I don't understand.,788.0,"814,0,0,0,0,0,,,,,"
789,789,a hunting chain,789.0,"815,1,0,0,0,0,,,,,"
790,790,"""People hunt, endangered species appear, and environmental pollution seems to be the main culprit",790.0,"816,0,0,1,0,1,,,,,"
791,791,"""Because of environmental pollution",791.0,"817,0,0,0,0,0,,,,,"
792,792,This is because people continue to develop nature and hunt and sell endangered animals for money.,792.0,"818,1,0,1,0,0,,,,,"
793,793,"""This is because people catch and sell unique or unusual creatures or use them to experiment. People are greedy and wonder when a unique creature is born. Therefore, many of our country's creatures are becoming extinct.",793.0,"819,0,0,1,0,0,,,,,"
794,794,"""",794.0,"820,0,0,0,0,1,,,,,"
795,795,It seems to be caused by our environmental pollution.,795.0,"821,0,0,1,0,1,,,,,"
796,796,This is because we eat and eat each other over time.,796.0,"822,0,0,1,0,1,,,,,"
797,797,I don't raise them and I don't cherish them,797.0,"823,0,0,1,0,1,,,,,"
798,798,Global warming,798.0,"824,1,1,0,0,1,,,,,"
799,799,I don't know,799.0,"825,1,1,0,0,0,,,,,"
800,800,The occurrence of organisms that have not adapted to the environment due to global warming. habitat loss Natural selection failed due to sudden changes in the environment.,800.0,"826,1,1,1,0,1,,,,,"
801,801,environmental destruction,801.0,"827,1,1,0,0,0,,,,,"
802,802,a drastic environmental change,802.0,"828,1,1,1,0,0,,,,,"
803,803,Reduction of habitat due to global warming,803.0,"829,1,1,1,0,1,,,,,"
804,804,the indiscriminate development of human nature,804.0,"830,0,0,1,1,1,,,,,"
805,805,Global warming,805.0,"831,0,0,1,1,1,,,,,"
806,806,Global warming causes rapid changes in the environment to fail to adapt and die (reducing environmental diversity).),806.0,"832,1,0,1,0,0,,,,,"
807,807,The ecosystem is destroyed as rainforests are destroyed by resource development.,807.0,"833,1,0,0,0,1,,,,,"
808,808,"Due to the destruction of ecosystems caused by global warming and climate change, the habitat of various creatures disappears and the food chain collapses.",808.0,"834,0,0,1,0,0,,,,,"
809,809,"The ecosystem is disturbed by human indiscriminate environmental destruction, resulting in endangered species.",809.0,"835,0,0,1,0,1,,,,,"
810,810,Global warming and environmental pollution have killed many living things.,810.0,"836,0,0,0,1,1,,,,,"
811,811,Global warming,811.0,"837,0,0,0,0,0,,,,,"
812,812,environmental destruction,812.0,"838,0,0,1,0,0,,,,,839,1,1,1,1,0,,,,,"
813,813,Because we took out the trash.,813.0,"840,0,0,0,0,0,,,,,"
814,814,Because the earth is polluted. Because humans don't preserve the environment properly.,814.0,"841,1,1,1,1,0,,,,,"
815,815,"People's greed was so great that they killed animals that even killed the animals that were preyed on, so the species decreased a lot.",815.0,"842,0,0,1,0,0,,,,,"
816,816,Global warming,816.0,"843,0,0,0,0,0,,,,,"
817,817,"Humans do not respect biodiversity, but leave only superior individuals and interbreed with superior individuals, making it difficult for superior individuals who adapt only to the current environment to survive even if the environment changes a little later",817.0,"844,0,0,1,0,0,,,,,"
818,818,"As the problem of environmental pollution worsened, the threat of extinction occurred.",818.0,"845,0,0,1,0,1,,,,,"
819,819,Nature has been destroyed,819.0,"846,1,0,0,1,0,,,,,"
820,820,I don't know,820.0,"847,0,0,1,0,1,,,,,"
821,821,Because of environmental pollution,821.0,"848,0,1,1,1,0,,,,,"
822,822,Global warming,822.0,"849,0,0,0,0,1,,,,,"
823,823,I can't eat bananas,823.0,"850,0,0,0,0,0,,,,,"
824,824,I think it's because the food chain changed because of global warming.,824.0,"851,0,0,1,0,1,,,,,"
825,825,"Due to the rapidly changing climate and global warming,",825.0,"852,0,0,1,0,0,,,,,"
826,826,It seems that endangered species are increasing because animals cannot adapt to the environment due to global warming.,826.0,"853,1,0,0,1,0,,,,,"
827,827,ruthless ecosystem destruction and logging,827.0,"854,1,0,1,1,1,,,,,"
828,828,The destruction of the environment is reducing species of life.,828.0,"855,0,0,1,0,0,,,,,"
829,829,Because of indiscriminate hunting and environmental destruction of people,829.0,"856,,,,,,,,,,"
830,830,Because people kill too many people and get caught without thinking,830.0,"857,,,,,,,,,,"
831,831,Ecosystem change,831.0,"858,27.5%,10.5%,44.2%,15.5%,40.3%,,,,,"
832,832,"Because of reckless development, ecosystems are destroyed and habitats are lost",,
833,833,Global warming,,
834,834,The reason why endangered species are increasing is that animals die because their homes are destroyed just as they are if we don't have homes,,
