,Unnamed: 0,"12. About 2,000 years ago, there were three countries on the Korean Peninsula: Silla, Baekje, and Goguryeo. For about 700 years, three countries (Silla, Baekse, and Goguryeo) fought many wars to take over the Han River. Eventually, Silla unified the three kingdoms. Let's explain how Silla unified the three kingdoms.",Unnamed: 0,"Silla-Tang _ q, the Han River Union, 12 _ winning war, 12 12 _ _ out of the party, q q q, the alliance, 12 _ naje q q 12 Silla-Tang Union._ War victory 12 1, qDislodgment per 1, 12 _ q1, 12 the Han River q.An alliance, 12 _ naje q1"
627,627,"Baekje, Goguryeo, and unified the whole country",627.0,"648,1,0,0,0,0,,,,,"
628,628,"Grandpa Dangun took over and made up the world with God, but he didn't like it",628.0,"649,0,0,0,1,0,,,,,"
629,629,I don't know much about history;;,629.0,"650,1,0,0,0,0,,,,,"
630,630,I don't know,630.0,"651,0,0,0,0,0,,,,,"
631,631,I don't understand.,631.0,"652,1,0,0,0,0,,,,,"
632,632,Silla killed them all,632.0,"653,0,0,0,0,0,,,,,"
633,633,"Combined with the Tang Dynasty, Goguryeo and Baekje were destroyed",633.0,"654,0,0,0,0,0,,,,,"
634,634,fight one way or another,634.0,"655,0,0,0,0,0,,,,,"
635,635,old;not good,635.0,"656,1,0,0,0,0,,,,,"
636,636,I want to eat brown rice,636.0,"657,0,0,0,1,0,,,,,"
637,637,Groovyroom everyweoㄹㅓ 에,637.0,"658,0,0,0,0,0,,,,,659,0,0,0,0,0,,,,,"
638,638,"General Kim Yu-shin's performance combined with Kim Chun-chu's diplomatic power, and King Munmu's achievements were completed",638.0,"660,1,0,0,0,0,,,,,"
639,639,Silla struck Goguryeo and Baekje with the help of China to unify the three countries,639.0,"661,0,0,0,0,0,,,,,"
640,640,"""",640.0,"662,1,0,0,0,0,,,,,"
641,641,I really don't know,641.0,"663,1,0,0,0,0,,,,,"
642,642,"Baekje was defeated by Goguryeo, Silla and Tang formed a coalition to destroy Goguryeo, and later Silla and Tang were separated from each other, and Silla won the battle to unify the three kingdoms",642.0,"664,1,0,0,0,0,,,,,"
643,643,Silla fought a war with Baekje and Goguryeo and won and unified Korea,643.0,"665,1,0,0,0,0,,,,,"
644,644,have no interest in history,644.0,"666,1,0,1,0,0,,,,,"
645,645,"Silla and the Tang Dynasty unite to swallow Baekje and Goguryeo first.After that, when the Tang Dynasty asked to share some land, he fought another war with the Tang Dynasty to win.",645.0,"667,1,0,0,0,0,,,,,"
646,646,""" After Silla destroyed Goguryeo and Baekje, it drove out the party and established a country. The territory of Goguryeo was not unified. Later Balhae was founded.""",646.0,"668,1,0,1,0,0,,,,,"
647,647,The kings of each country met and cooperated,647.0,"669,1,1,1,1,0,,,,,"
648,648,"Silla destroyed Baekje, Goguryeo destroyed, and Silla unified the three kingdoms after the Nadang War",648.0,"670,1,1,1,0,0,,,,,"
649,649,He joined hands with Tang and attacked Goguryeo,649.0,"671,1,1,1,0,0,,,,,"
650,650,"Nadang Union, Baekje's demise, Goguryeo's demise, Nadang War, and the unification of the three kingdoms",650.0,"672,1,0,0,0,0,,,,,"
651,651,"To unite with Silla Party, to capture Baekje Sabiseong Fortress, to capture ancient Pyongyang Fortress, and to win the battle against the gates to unify",651.0,"673,1,0,1,0,0,,,,,"
652,652,"Silla fought Goguryeo and Baekje through the Nadang Alliance, and finally defended the country and unified the three kingdoms under the Party's control of the Korean Peninsula",652.0,"674,0,0,0,0,0,,,,,"
653,653,Koguryo was destroyed and Balhae was destroyed,653.0,"675,1,1,0,0,0,,,,,"
654,654,"Silla united with the Party, captured the Sabiseong Fortress of Baekje, captured the Pyongyang Fortress of Goguryeo, and defeated the Party and unified it",654.0,"676,1,1,0,1,0,,,,,"
655,655,B.Party alliance->Destruction of Baekje->Destruction of Goguryeo->I.Party War -> Unification of the Three Kingdoms,655.0,"677,1,0,0,1,0,,,,,"
656,656,B.Party alliance->The fall of Baekje->The fall of Goguryeo->Me.Party War->Unification of the Three Kingdoms,656.0,"678,1,0,0,1,0,,,,,"
657,657,B.Party alliance->Destruction of Baekje->Destruction of Goguryeo->I.Party War->Unification of the Three Kingdoms,657.0,"679,1,1,0,0,0,,,,,"
658,658,Nadang Union->Baekje Destruction_> Goguryeo Destruction_>Nadang War_>Unification of the Three Kingdoms,658.0,"680,1,0,0,0,0,,,,,"
659,659,"Silla and the Tang Dynasty united to destroy Baekje Sabiseong Fortress, and after defeating Goguryeo's Pyongyang Fortress, they completed the unification of the three kingdoms through the Nadang War.",659.0,"681,1,1,1,0,0,,,,,"
660,660,"After the coalition of the Nadang, Baekje and Goguryeo were destroyed one after another, and the party that wanted to rule the Korean Peninsula was defeated to achieve the reunification of the three kingdoms",660.0,"682,1,1,0,0,0,,,,,"
661,661,"Silla formed a coalition between the Party and the Nadang, destroying Baekje and Goguryeo one after another, and Silla defeated the party that wanted to rule the Korean Peninsula, resulting in the unification of the Three Kingdoms",661.0,"683,1,0,0,0,0,,,,,"
662,662,Silla allied with the Tang Dynasty and destroyed Goguryeo → Baekje.,662.0,"684,0,0,0,0,0,,,,,"
663,663,Achieved through the Najang Alliance and drove the Tang Dynasty,663.0,"685,1,0,0,0,0,,,,,"
664,664,Silla allied with the Tang Dynasty after the fall of Baekje to destroy Goguryeo and unify it,664.0,"686,0,0,0,0,0,,,,,"
665,665,"After defeating Goguryeo in alliance with the Tang Dynasty, they fought with the Tang Dynasty and unified the three countries.",665.0,"687,0,0,0,0,0,,,,,"
666,666,We fought the enemy hard,666.0,"688,0,0,0,0,0,,,,,689,0,0,0,0,0,,,,,"
667,667,"Unification that cannot be viewed as such positively by attracting external forces such as Tang, not absorption unification, and limiting the territory as well as many things",667.0,"690,0,0,0,0,0,,,,,"
668,668,Silla asked the Party for help and formed the Nadang coalition and destroyed the three kingdoms in the order of Baekje and Goguryeo,668.0,"691,0,0,0,0,0,,,,,"
669,669,"During King Jinheung's reign, the Han River was occupied, the foundation was established, and in alliance with the party, Baekje was destroyed in 660 and Goguryeo in 668, and the party's army was defeated in 676, unifying the three kingdoms and suppressing revival movements in various places.",669.0,"692,1,0,1,0,0,,,,,"
670,670,"Through the alliance with the Tang Narang, Baekje was restored and Goguryeo was restored, but the party's ambition to rule was confirmed, and Ahn Seung supported the Goguryeo revival movement to defeat the party and unify the three kingdoms",670.0,"693,0,0,0,0,0,,,,,"
671,671,"He united with Tang and defeated Baekje and Goguryeo. Later, the Tang Dynasty was ousted to unify the Three Kingdoms.",671.0,"694,0,0,0,0,0,,,,,"
672,672,B.The three countries were united by a party alliance.,672.0,"695,0,0,0,0,0,,,,,"
673,673,"Silla attacked Goguryeo after joining forces with the Tang Dynasty to destroy Baekje. Goguryeo was weakened by the power dispute after the death of Yeongaesomun Gate, and was attacked and destroyed. Then the Tang Dynasty won the war and unified it.",673.0,"696,0,0,0,0,0,,,,,"
674,674,a fish's head,674.0,"697,1,0,0,0,0,,,,,"
675,675,"After the unification of Goguryeo in cooperation with the party, the party betrayed it and Silla prevented it",675.0,"698,1,0,1,0,0,,,,,"
676,676,He conquered one country first and absorbed the last remaining one,676.0,"699,1,0,0,0,0,,,,,"
677,677,the destruction of Baekje and Goguryeo using the power of China at that time,677.0,"700,1,1,0,0,0,,,,,"
678,678,I don't know.,678.0,"701,1,0,0,0,0,,,,,"
679,679,Silla won overwhelmingly by population in alliance with Tang,679.0,"702,1,1,0,0,0,,,,,"
680,680,I don't know.,680.0,"703,1,0,1,0,0,,,,,"
681,681,Baekje and Goguryeo were unified by the union of Silla and Tang dynasties.,681.0,"704,1,1,1,0,0,,,,,"
682,682,"After repelling Goguryeo with Baekje, King Jinheung took over the Han River basin by disposing of Baekje.",682.0,"705,1,0,1,0,0,,,,,"
683,683,"After Baekje occupied the Han River basin, Goguryeo occupied the Han River basin and Silla united it with the Tang Dynasty.",683.0,"706,1,0,1,0,0,,,,,"
684,684,Unified Silla Foundation Ship,684.0,"707,1,0,1,0,0,,,,,"
685,685,"Baekje was destroyed and Goguryeo was destroyed by the Nadang Alliance, which was allied with the Tang Dynasty.",685.0,"708,1,0,0,0,0,,,,,"
686,686,Silla gained power from foreign powers and unified ham,686.0,"709,1,0,0,0,0,,,,,"
687,687,I don't know.,687.0,"710,1,1,1,0,0,,,,,"
688,688,The Tang and Tang united in unity,688.0,"711,1,0,0,0,0,,,,,"
689,689,"After joining forces with the Tang Dynasty, he attacked Baekje and took over the Han River.",689.0,"712,1,0,0,0,0,,,,,"
690,690,Goguryeo collapsed and Baekje collapsed.,690.0,"713,1,0,0,0,0,,,,,"
691,691,"After allied with Baekje to occupy the Han River occupied by Goguryeo, it betrayed Baekje and destroyed it, and allied with the Tang Dynasty to honor Goguryeo.",691.0,"714,1,1,1,0,0,,,,,"
692,692,"Kim Chun-chu went to Goguryeo to negotiate, but was caught by Goguryeo due to the breakdown of negotiations. However, he was released from Goguryeo due to his adaptation and joined forces with the Tang Dynasty to fight Baekje first. Baekje tried to drag time on the last Hwangsanbeol, but it was not enough, and Baekje was destroyed by the Nadang Allied Forces. During the reign of Goguryeo's Gaesomun, it rather overwhelmed the Nadang coalition, but after Yeon Gaesomun's death, a power struggle broke out and one of Yeon Gaesomun's sons joined the Nadang coalition, which broke down. Eventually, King Bojang surrendered, and Goguryeo was destroyed. The reason why the Tang Dynasty united with Silla was to destroy Goguryeo and Baekje and Silla together, so Goguryeo and Baekje hit Silla as soon as they collapsed. However, Silla blocked this and achieved unification, although not often.During King Jinheung's reign, the Hangang River basin was occupied, laying the foundation for the unification of the three kingdoms. Later, in 660, through the Battle of Hwangsanbeol in alliance with the Party, Baekje was destroyed, and Pyeongyangseong Fortress was occupied, and Goguryeo was destroyed in 668. Against the Tang Dynasty, which reveals its ambitions on the Korean Peninsula, it won the Battle of Maesoseong and the Battle of Gibeolpo, and achieved the unification of the Three Kingdoms in 676. Later, he suppressed the revival movement that was initiated by the people of Goguryeo and Baekje.",692.0,"715,1,0,1,0,0,,,,,"
693,693,Silla won the war->Unification of the Three Kingdoms,693.0,"716,0,0,0,0,0,,,,,"
694,694,"Silla's Queen Seondeok sent Kim Chun-chu to the Tang Dynasty to help him, so he succeeded in destroying Goguryeo with the Tang Dynasty from Baekje",694.0,"717,0,0,0,0,0,,,,,"
695,695,"""",695.0,"718,0,0,0,0,0,,,,,719,0,0,0,0,0,,,,,"
696,696,Tang and Silla joined forces to fight Baekje and Goguryeo,696.0,"720,0,0,0,0,0,,,,,"
697,697,They invaded Hanseong and unified the three kingdoms.,697.0,"721,0,0,0,0,0,,,,,"
698,698,Silla asked China for help.,698.0,"722,0,0,0,0,0,,,,,"
699,699,"He fought Baekje first, won Goguryeo first, and unified it.",699.0,"723,0,0,0,0,0,,,,,"
700,700,"Tang and Silla joined forces, hit Baekjae, and hit Goguryeo",700.0,"724,0,0,0,0,0,,,,,"
701,701,Silla and Tang united and captured Baekje and Goguryeo,701.0,"725,0,0,0,0,0,,,,,"
702,702,"While fighting over Hanseong (Seoul), Silla unified",702.0,"726,0,0,0,0,0,,,,,"
703,703,Silla united with Tang,703.0,"727,0,0,0,0,0,,,,,"
704,704,Silla ate Baekje and Silla joined forces to eat Goguryeo,704.0,"728,0,0,0,0,0,,,,,"
705,705,Silla asks China for help,705.0,"729,0,0,0,0,0,,,,,"
706,706,Silla first established Baekje and then unified Goguryeo,706.0,"730,0,0,0,0,0,,,,,"
707,707,Kim Chun-chu was caught by Baekjae after beating Silla,707.0,"731,0,0,0,0,0,,,,,"
708,708,I tried hard and unified it.,708.0,"732,0,0,0,0,0,,,,,"
709,709,Silla joined hands with the Tang Dynasty to hit Baekje and then Goguryeo.,709.0,"733,0,0,0,0,0,,,,,"
710,710,"Both Silla, Baekje and Goguryeo were difficult to occupy the Han River, so they unified the three kingdoms.",710.0,"734,0,0,0,0,0,,,,,"
711,711,"Queen Seondeok of Silla asked Kim Yu-shin to unify the Three Kingdoms, so Kim Yu-shin unified the Three Kingdoms",711.0,"735,1,0,0,0,0,,,,,"
712,712,Scylla is,712.0,"736,0,0,0,0,0,,,,,"
713,713,Silla asked for help from somewhere in China and unified the Three Kingdoms.,713.0,"737,0,0,0,0,0,,,,,"
714,714,Silla unified Baekje first and then Goguryeo...,714.0,"738,0,0,0,0,0,,,,,"
715,715,The Tang Dynasty and Silla united to achieve unification,715.0,"739,0,0,0,0,0,,,,,"
716,716,Tang and Silla united to achieve unity,716.0,"740,0,0,0,0,0,,,,,"
717,717,"Queen Seondeok ordered Kim Chun-chu to form an alliance with Goguryeo, but King Yeondeok put Kim Chun-chu in jail and Kim Yu-shin came to save him about a month later. After King Seondeok ordered Kim Chun-chu to join the Tang Dynasty, he gave up the pride of King Seondeok and destroyed the kingdom But Silla blocked it and unified the three kingdoms",717.0,"741,0,0,0,0,0,,,,,"
718,718,the destruction of Baekje and Goguryeo using the power of China at that time,718.0,"742,1,0,1,0,0,,,,,"
719,719,"Silla expelled Baekje, Goguryeo, and the Tang Dynasty from the Korean Peninsula through the Nadang Coalition",719.0,"743,1,1,0,0,0,,,,,"
720,720,"Silla achieved the unification of the three kingdoms in cooperation with the Tang Dynasty, not the perfect unification of Silla alone.",720.0,"744,1,1,1,0,0,,,,,"
721,721,"First, he destroyed Gaya. And a long time later, the Tang Dynasty requested aid to the Tang Dynasty, destroyed Baekje and Goguryeo in order, and the Tang Dynasty, which was trying to live under the pressure of the Korean Peninsula, achieved unification within the Korean Peninsula.",721.0,"745,1,0,0,0,0,,,,,"
722,722,"Silla, which eventually took over the Han River, united with the Tang Dynasty to defeat the 5,000-member group led by Gyebaek at Hwangsanbeol, exterminated Baekje, and captured the Pyongyang Fortress of Goguryeo and defeated the Tang Dynasty.",722.0,"746,1,0,0,0,0,,,,,"
723,723,"After joining forces with the Tang Dynasty to defeat Baekje and Goguryeo in order, they won the war against the Tang Dynasty and unified the three kingdoms.",723.0,"747,1,0,0,0,0,,,,,"
724,724,"Although Tang allied with Goguryeo and defeated Goguryeo several times after the war, and won the war against Baekje, Tang intervened in Silla's territorial expansion and won after the war with Tang, but it failed to take over the entire Korean Peninsula",724.0,"748,0,0,0,0,0,,,,,749,1,0,1,0,0,,,,,"
725,725,"Silla and Baekje fought to take over the Han River, and they unified the three kingdoms to overthrow Baekje and unite with the Tang Dynasty to overthrow Goguryeo.",725.0,"750,1,0,1,0,0,,,,,"
726,726,"Silla united with the Tang Dynasty to destroy Goguryeo, and Baekje surrendered. In addition, Baekje fought the Nadang War with Silla, and Baekje won and unified the three kingdoms.",726.0,"751,1,1,0,0,0,,,,,"
727,727,I don't know.,727.0,"752,0,1,1,0,0,,,,,"
728,728,"Silla and the Tang Dynasty united to form the Nadang Alliance. After that, the Nadang coalition won the war against Baekje and captured Goguryeo to unify the three countries.",728.0,"753,1,0,0,0,0,,,,,"
729,729,"Silla occupied the Han River during the reign of King Jinheung, and gradually flourished, joining hands with the Chinese Tang Dynasty, General Kim Yu-shin conquered Baekje, and the 5,000 troops of Gyebaek fought, but eventually failed, and King Uija fled and Baekje fell. Goguryeo easily falls to Silla when his sons are confused due to internal strife after the death of Yeongaesomun Gate.",729.0,"754,1,0,0,0,0,,,,,"
730,730,"By the 6th century, Silla had taken over the Han River, strengthening its national power. Based on the strengthened national power, the Tang Dynasty and the Nadang Federation were formed, and the three countries were unified by destroying Baekje and Goguryeo.",730.0,"755,0,0,0,0,0,,,,,"
731,731,"Silla occupied the Han River as it reached its peak in the 6th century, relatively later than Goguryeo and Baekje, during the reign of King Jinheung. Taking over the Han River is threatened by Goguryeo on the upper side and Baekje on the lower side, Silla has formed a coalition with the Tang Dynasty of China and attempted reunification. B.There is also a limit to the unification of the three kingdoms by forming a party alliance, conquering Baekje first, and then conquering Goguryeo last, but there is also a limit to forming a union with Tang and achieving unification, and handing over part of Goguryeo's land to Tang.",731.0,"756,0,0,0,0,0,,,,,"
732,732,"In alliance with the Tang Dynasty, he won several key battles and eventually unified the three kingdoms.",732.0,"757,1,0,1,0,0,,,,,"
733,733,They united in union with the Tang Dynasty.,733.0,"758,0,0,0,1,0,,,,,"
734,734,"After joining hands with the Tang Dynasty to destroy Baekje, Yeongaesomun died and Goguryeo, which became chaotic, was destroyed. After that, he fought a war with the Tang Dynasty, which tried to destroy Silla, and won and unified the three kingdoms.",734.0,"759,1,0,0,0,0,,,,,"
735,735,"Under the leadership of Kim Chun-chu, Silla formed a coalition with the Tang Dynasty to destroy Baekje in the Battle of Hwangsanbeol, invade Goguryeo, and destroy Goguryeo, and unite all the revival movements of each country.",735.0,"760,1,0,1,0,0,,,,,"
736,736,"Silla formed a coalition of Tang and Nadang to wage war with Baekje and conquered Baekje in the Battle of Hwangsanbeol. Later, the Nadang Allied Forces attacked Goguryeo and conquered Goguryeo. Then, the Tang army tried to conquer Silla and conquer the three kingdoms, but Silla was able to protect the territory of the three kingdoms and unify the three kingdoms.",736.0,"761,1,0,0,0,0,,,,,"
737,737,I don't know anything about reverse ^오^,737.0,"762,0,0,0,0,0,,,,,"
738,738,"First, the political situation was stabilized in Silla. And to promote national power, he created a gallery and united with the Tang Dynasty. He continued to strengthen his national power and unified the three countries by attacking in the order of Baekje and Goguryeo.",738.0,"763,1,0,1,0,0,,,,,"
739,739,?,739.0,"764,1,0,0,0,0,,,,,"
740,740,M and D,740.0,"765,1,0,0,0,0,,,,,"
741,741,Baekje > Goguryeo,741.0,"766,1,0,0,0,0,,,,,"
742,742,Baekje was ruined and Goguryeo was ruined,742.0,"767,0,0,0,0,0,,,,,"
743,743,He destroyed Baekje and Goguryeo. Destroyed Goguryeo,743.0,"768,1,0,0,0,0,,,,,"
744,744,I don't know.,744.0,"769,0,0,0,1,0,,,,,"
745,745,"After Silla's alliance with the Tang Dynasty, the Nadang coalition forces attacked Goguryeo after the fall of Baekje, and Yeon Nam-saeng, the first son, helped the Tang Dynasty to the end of Yeon Nam-gun, but failed. Silla and Tang fought against Silla to complete the unification of the Three Kingdoms",745.0,"770,1,0,0,0,0,,,,,"
746,746,the fall of Baekje,746.0,"771,0,0,0,0,0,,,,,"
747,747,Baekje fell and Goguryeo fell,747.0,"772,0,1,0,0,0,,,,,"
748,748,yes,748.0,"773,0,0,0,0,0,,,,,"
749,749,"Silla destroyed Baekje, and Khitan and Silla sided and destroyed Goguryeo",749.0,"774,0,0,0,0,0,,,,,"
750,750,"Silla asked Goguryeo for an alliance, but it failed and allied with the Tang Dynasty, and Baekje was destroyed, and Goguryeo was destroyed thereafter.",750.0,"775,1,0,0,0,0,,,,,"
751,751,"Nadang Coalition, the fall of Baekje, the fall of Goguryeo, the Nadang War, the reunification of the Three Kingdoms",751.0,"776,1,0,0,0,0,,,,,"
752,752,Unification in the order of Baekje and Goguryeo after alliance with the Tang Dynasty,752.0,"777,0,0,0,0,0,,,,,"
753,753,"With the help of China, they formed the Nadang Federation, destroyed Baekje, and destroyed Goguryeo to unify the Korean Peninsula.",753.0,"778,0,0,0,0,0,,,,,779,1,0,0,0,0,,,,,"
754,754,"With the end of the Battle of Hwangsanbeol in 660 and the end of Goguryeo in 668, the allied forces of the Tang Dynasty destroyed Pyongyang and took off the reunification of the Three Kingdoms",754.0,"780,1,0,1,0,0,,,,,"
755,755,Silla led the Tang Dynasty to destroy Baekje and fought numerous wars to destroy Goguryeo.,755.0,"781,1,0,0,0,0,,,,,"
756,756,"Silla formed a Nadang alliance, destroyed Baekje, and destroyed Goguryeo, but when the Tang Dynasty tried to destroy Silla, the three people united to drive out the Tang Dynasty.",756.0,"782,1,0,0,0,0,,,,,"
757,757,"In alliance with China, Baekje was captured, Goguryeo was captured, and then the Korean Peninsula was expelled through war with China to achieve reunification.",757.0,"783,1,0,0,0,0,,,,,"
758,758,"They allied with the Tang Dynasty to attack Baekje and Goguryeo, and eventually, the people of the Korean Peninsula, including Silla, joined forces to push the Tang Dynasty away.",758.0,"784,1,0,0,0,0,,,,,"
759,759,"Nadang Alliance. Baekje's collapse, Goguryeo's attack on Nadang, Goguryeo's ruin, Nadang's war, Silla's victory",759.0,"785,1,0,1,1,1,,,,,"
760,760,Nadang Alliance -> the fall of Baekje -> the fall of Goguryeo -> the Nadang War -> the reunification of the Three Kingdoms,760.0,"786,0,1,0,0,0,,,,,"
761,761,The Tang and the Nathang combined forces were formed and unified,761.0,"787,1,0,0,0,0,,,,,"
762,762,Silla formed a coalition of Tang and Nadang forces to destroy Baekje and Goguryeo.,762.0,"788,0,0,0,0,0,,,,,"
763,763,"Through the Na-Dang Federation, Baekje and Goguryeo were defeated and the Tang Dynasty was won to establish a unified Silla.",763.0,"789,1,0,0,0,0,,,,,"
764,764,It was cowardly unified by the alliance of the ruling party,764.0,"790,0,1,0,0,0,,,,,"
765,765,the head after joining forces,765.0,"791,1,0,0,0,0,,,,,"
766,766,The Nadang alliance was formed to destroy Baekje and Goguryeo.,766.0,"792,0,0,0,0,0,,,,,"
767,767,"Through the Nadang Coalition, Baekje and Goguryeo were destroyed in the order of Baekje and Goguryeo, and the three kingdoms were unified through the Nadang War.",767.0,"793,0,0,0,0,0,,,,,"
768,768,"Silla and Tang united to destroy Baekje-Goguryo, Silla fought against Tang, and Silla destroyed Tangryo",768.0,"794,0,0,0,0,0,,,,,"
769,769,M and D,769.0,"795,0,0,0,0,0,,,,,"
770,770,ㄿㅇㄿ,770.0,"796,1,0,0,0,0,,,,,"
771,771,Mall,771.0,"797,0,0,0,0,0,,,,,"
772,772,I don't understand.,772.0,"798,0,0,0,1,0,,,,,"
773,773,I don't understand.,773.0,"799,1,0,0,0,0,,,,,"
774,774,I don't know.,774.0,"800,1,0,0,0,0,,,,,"
775,775,I don't know,775.0,"801,1,0,0,0,0,,,,,"
776,776,M and D,776.0,"802,1,0,0,0,0,,,,,"
777,777,I don't understand.,777.0,"803,1,0,0,0,0,,,,,"
778,778,I don't understand.,778.0,"804,0,1,0,0,0,,,,,"
779,779,I don't understand.,779.0,"805,1,0,0,0,0,,,,,"
780,780,I don't understand.,780.0,"806,1,0,1,0,0,,,,,"
781,781,M and L,781.0,"807,1,0,0,0,0,,,,,"
782,782,I don't know.,782.0,"808,1,0,0,0,0,,,,,809,1,0,0,0,0,,,,,"
783,783,I don't know,783.0,"810,1,0,1,0,0,,,,,"
784,784,I didn't write because I was too lazy to write long,784.0,"811,1,0,1,0,0,,,,,"
785,785,M and D,785.0,"812,0,1,0,0,0,,,,,"
786,786,M and D,786.0,"813,0,0,0,0,0,,,,,"
787,787,I don't know,787.0,"814,1,0,0,0,0,,,,,"
788,788,as a combined party,788.0,"815,1,0,0,0,0,,,,,"
789,789,.,789.0,"816,0,0,0,0,0,,,,,"
790,790,I don't understand.,790.0,"817,0,0,0,1,0,,,,,"
791,791,I don't knowM and D,791.0,"818,1,1,1,0,0,,,,,"
792,792,I don't know.,792.0,"819,1,0,0,0,0,,,,,"
793,793,.,793.0,"820,0,0,0,0,0,,,,,"
794,794,"Goguryeo, Baekje, Silla, Goguryeo, and Silla were under pressure from Silla, and the sons of the Tang Dynasty were fighting inside to take over the throne. Silla and Tang were united to destroy Baekje. When the Tang Dynasty tried to destroy the alliance, the three kingdoms united to unite and unify the Three Kingdoms",794.0,"821,0,0,0,0,0,,,,,"
795,795,"allied with the Tang Dynasty, attacked Baekje to win, attacked Goguryeo to win",795.0,"822,1,1,0,0,0,,,,,"
796,796,"""① Attack of Silla and the Party""",796.0,"823,1,0,1,0,0,,,,,"
797,797,* Silla and Tang allied forces attacked Baekje first.,797.0,"824,0,0,0,0,0,,,,,"
798,798,* Baekje was not ready to stop the Silla-Party coalition due to political turmoil.,798.0,"825,0,0,0,0,0,,,,,"
799,799,,799.0,"826,0,0,0,0,0,,,,,"
800,800,② Battle of Hwangsanbeol,800.0,"827,0,0,0,0,0,,,,,"
801,801,"* Baekje's Gyebaek had more than 5,000 soldiers and fought with 50,000 soldiers led by Kim Yu-shin of Silla.",801.0,"828,0,0,0,0,0,,,,,"
802,802,"* Silla initially suffered from strong resistance from Baekje, but won thanks to the performance of galleries.",802.0,"829,1,1,0,0,0,,,,,"
803,803,,803.0,"830,0,0,0,0,0,,,,,"
804,804,"③ Fall of Sabi Castle: Silla and the allied forces of the Party took the capital, Sabi, and fell.",804.0,"831,1,0,0,0,0,,,,,"
805,805,,805.0,"832,1,0,0,0,0,,,,,"
806,806,2) The Fall of Goguryeo (668),806.0,"833,0,0,0,1,0,,,,,"
807,807,,807.0,"834,0,0,0,0,0,,,,,"
808,808,① the situation at the time,808.0,"835,0,1,1,0,0,,,,,"
809,809,"* After the fall of Baekje, Silla and Tang forces attacked Goguryeo, but Goguryeo defended it well.",809.0,"836,0,1,0,0,0,,,,,"
810,810,"* Goguryeo was weakened by the continued war, and when Yeon Gaesomun, who had stronger power than the king, died, a power struggle broke out inside.",810.0,"837,1,0,0,0,0,,,,,"
811,811,,811.0,"838,1,0,0,0,0,,,,,839,0,0,0,0,0,,,,,"
812,812,"② Fall of Pyongyang Castle: Silla and Tang forces attacked Pyongyang again, and Goguryeo fell.",812.0,"840,1,1,0,0,0,,,,,"
813,813,,813.0,"841,0,1,0,0,0,,,,,"
814,814,3) Silla-Party War,814.0,"842,0,1,0,0,0,,,,,"
815,815,,815.0,"843,0,1,0,0,0,,,,,"
816,816,"① Background: After the fall of Baekje and Goguryeo, the party tried to dominate the entire Korean Peninsula.",816.0,"844,0,0,0,0,0,,,,,"
817,817,② [Process] Silla fought a war with the people of Baekje and Goguryeo to drive away the party.,817.0,"845,1,0,1,1,0,,,,,"
818,818,"③ Result: The party dispatched a large army to attack, but Silla persistently fought against the party and won victories in Maeso Castle and Gibeolpo.",818.0,"846,1,1,1,0,0,,,,,"
819,819,,819.0,"847,0,0,0,0,0,,,,,"
820,820,4) Completion of the Unification of the Three Kingdoms (676),820.0,"848,0,0,0,0,0,,,,,"
821,821,,821.0,"849,1,0,0,0,0,,,,,"
822,822,,822.0,"850,1,0,0,0,0,,,,,"
823,823,,823.0,"851,1,0,0,0,0,,,,,"
824,824,Image 1 of Silla's Three Kingdoms Unification Body,824.0,"852,1,0,0,0,0,,,,,"
825,825,,825.0,"853,0,0,0,0,0,,,,,"
826,826,① Unification of the Three Kingdoms: King Munmu ousted the Party's army and achieved unification of the Three Kingdoms.,826.0,"854,0,0,0,0,0,,,,,"
827,827,"② Significance: The people of Goguryeo, Baekje, and Silla came together to form the basis for the development of a new national culture.",827.0,"855,0,1,0,0,0,,,,,"
828,828,"③ Limitations: You're allied with the Party, and you've lost most of the land of Goguryeo north of the Daedong River.",828.0,"856,1,0,0,0,0,,,,,"
829,829,,829.0,"857,0,0,0,0,0,,,,,"
830,830,,830.0,"858,1,0,0,0,0,,,,,"
831,831,the process of reunification of the three countries,831.0,"859,1,0,0,0,0,,,,,"
832,832,,832.0,"860,1,1,0,0,0,,,,,"
833,833,the process of reunification of the three countries,833.0,"861,1,0,0,0,0,,,,,"
834,834,,834.0,"862,0,1,0,0,0,,,,,"
835,835,,835.0,"863,1,0,0,0,0,,,,,"
836,836,2. Baekje and Goguryeo Revival Movement,836.0,"864,0,0,0,0,0,,,,,"
837,837,,837.0,"865,0,1,0,0,0,,,,,"
838,838,1) Baekje Revival Movement,838.0,"866,1,0,0,0,0,,,,,"
839,839,,839.0,"867,1,1,0,0,0,,,,,"
840,840,"* Process: Bokshin and Dochim, the monk, started a revival movement in mainstream, and the black tooth market in Imjon.",840.0,"868,1,0,1,0,0,,,,,869,1,0,0,0,0,,,,,"
841,841,* The result: internal strife and the defeat of the entire Japanese army to help the Baekje army.,841.0,"870,1,0,1,0,0,,,,,"
842,842,,842.0,"871,1,0,0,0,0,,,,,"
843,843,2) Goguryeo Revival Movement,843.0,"872,1,1,0,0,0,,,,,"
844,844,,844.0,"873,1,0,1,0,0,,,,,"
