,Unnamed: 0,"2) Why are the powers and roles of the state divided into the National Assembly, the government, and the courts as above?",Unnamed: 0,", q34_power variance, q34_efficiency, q34_power variance.1,q34_Efficiency.1"
1110,1110,"If power is concentrated in one institution, there is a risk of dictatorship, so they should be able to check each other.",1110.0,"1148,1,0,,"
1111,1111,The power of the state is divided into three places to prevent the power from being concentrated in one place.,1111.0,"1149,0,1,,"
1112,1112,To prevent the power of the state from being skewed to one side,1112.0,"1150,1,0,,"
1113,1113,"By separating the three powers, they can have dictatorship if they have only one.",1113.0,"1151,1,0,,"
1114,1114,"To prevent an agency from taking power at will, it was divided into monitoring each other.",1114.0,"1152,0,0,,"
1115,1115,in order to prevent an agency's monopoly,1115.0,"1153,1,0,,"
1116,1116,To prevent the monopoly of power,1116.0,"1154,1,0,,"
1117,1117,To prevent the concentration of power,1117.0,"1155,1,0,,"
1118,1118,Power is concentrated to prevent decay.,1118.0,"1156,0,1,,"
1119,1119,In order to achieve balance without the power of the state being biased,1119.0,"1157,1,0,,"
1120,1120,It prevents national power from being concentrated in one place,1120.0,"1158,1,0,,"
1121,1121,This is because institutions check each other.,1121.0,"1159,1,0,,"
1122,1122,"It is also to guarantee the freedom and rights of the people.""",1122.0,"1160,0,0,,"
1123,1123,"If you separate the three powers, one can't work authoritatively and compete",1123.0,"1161,1,0,,"
1124,1124,"This is because power should not be biased in only one place, so it is trying to secure balance and check of power by dispersing it in a number of institutions and making them mutually independent.",1124.0,"1162,0,1,,"
1125,1125,It's to keep power from being one,1125.0,"1163,0,0,,"
1126,1126,To prevent the power from shifting to one side,1126.0,"1164,1,0,,"
1127,1127,This is because Korea is Hell Joseon.,1127.0,"1165,1,0,,"
1128,1128,To do it efficiently,1128.0,"1166,0,0,,"
1129,1129,"If power is concentrated in one place, you can have dictatorship",1129.0,"1167,1,0,,"
1130,1130,It is to prevent the power of one side from increasing.,1130.0,"1168,0,0,,1169,0,1,,"
1131,1131,I'm trying to keep my strength from focusing on one side.,1131.0,"1170,0,1,,"
1132,1132,It prevents the force from being biased in one place.,1132.0,"1171,1,0,,"
1133,1133,It is because Korea is Hell Chosun,1133.0,"1172,1,0,,"
1134,1134,L.,1134.0,"1173,1,0,,"
1135,1135,Abuse of power is reduced,1135.0,"1174,0,1,,"
1136,1136,The three volumes are separated to prevent the power of either side from increasing.,1136.0,"1175,0,0,,"
1137,1137,To prevent the force from being skewed to one side,1137.0,"1176,0,1,,"
1138,1138,Because each role has its own.,1138.0,"1177,0,1,,"
1139,1139,We all have different roles,1139.0,"1178,0,0,,"
1140,1140,The reason for separating the three powers is to eliminate the possibility of poison because one organ can do it if it is the strongest,1140.0,"1179,0,1,,"
1141,1141,This is because Korea is in danger if its strength is concentrated on one side,1141.0,"1180,0,1,,"
1142,1142,distribution of roles,1142.0,"1181,1,0,,"
1143,1143,Prevention of Concentration of Power in the Center through Separation of Three Powers,1143.0,"1182,1,0,,"
1144,1144,So that I don't focus on the other,1144.0,"1183,0,1,,"
1145,1145,Unknowingness,1145.0,"1184,1,0,,"
1146,1146,I don't know.,1146.0,"1185,1,0,,"
1147,1147,"If power is concentrated in only one organization, the country cannot return",1147.0,"1186,1,0,,"
1148,1148,Don't sin,1148.0,"1187,0,1,,"
1149,1149,"Separation of power, so that it doesn't get too skewed to one side.",1149.0,"1188,1,0,,"
1150,1150,in order to prevent dictatorship,1150.0,"1189,0,1,,"
1151,1151,So that you don't have to concentrate on one thing,1151.0,"1190,1,0,,"
1152,1152,We each have something to do,1152.0,"1191,1,0,,"
1153,1153,In order for one person not to do it autocratically divided into three parts,1153.0,"1192,1,0,,"
1154,1154,"To prevent dictatorship, to disperse power in other words.",1154.0,"1193,1,0,,"
1155,1155,One institution cannot handle things properly,1155.0,"1194,1,0,,"
1156,1156,"If you do it as one, the power of one becomes weak, so if you divide it, the power is divided equally.The force does not lean to one side.",1156.0,"1195,1,0,,"
1157,1157,So that power doesn't lean to one side,1157.0,"1196,1,0,,"
1158,1158,I don't know,1158.0,"1197,1,0,,"
1159,1159,To ensure that each agency holds each other to prevent the power of the state from being concentrated in one place,1159.0,"1198,1,0,,1199,1,0,,"
1160,1160,To prevent the monopoly of power.,1160.0,"1200,0,1,,"
1161,1161,To prevent the monopoly of power.,1161.0,"1201,1,0,,"
1162,1162,It is to operate more systematically.,1162.0,"1202,0,0,,"
1163,1163,It was divided to prevent power from being concentrated in one place.,1163.0,"1203,0,1,,"
1164,1164,To prevent the power from being driven into one,1164.0,"1204,0,1,,"
1165,1165,To prevent power from being gathered into one place.,1165.0,"1205,1,0,,"
1166,1166,"If one trash has everything, our country will be ruined",1166.0,"1206,0,1,,"
1167,1167,"If you focus on one side, the balance of the country will be destroyed.",1167.0,"1207,1,0,,"
1168,1168,"There's something else we do, but we can't get together",1168.0,"1208,1,1,,"
1169,1169,The country is important,1169.0,"1209,1,0,,"
1170,1170,"If one person has all of this, he or she can take it",1170.0,"1210,0,1,,"
1171,1171,"When you divide power and roles, the court tells you not to do it if the National Assembly does something wrong, but if you don't divide power and role, there's more work to do in one place and there's no place to do it",1171.0,"1211,1,0,,"
1172,1172,Because it's weird if Congress does government work and the government does court work,1172.0,"1212,1,0,,"
1173,1173,"""If you work together with one strength,",1173.0,"1213,1,0,,"
1174,1174,"It's the door to a dictator.""",1174.0,"1214,1,0,,"
1175,1175,"""Well, if you do everything in one unit, it's easier to get out and you lose a lot of jobs",1175.0,"1215,0,1,,"
1176,1176,"""",1176.0,"1216,0,0,,"
1177,1177,"It's hard to play many roles in one place, so we split up",1177.0,"1217,0,1,,"
1178,1178,"This is because if divided into the National Assembly, the government, and the court, each can do their job more clearly",1178.0,"1218,1,0,,"
1179,1179,To keep each other in check,1179.0,"1219,1,0,,"
1180,1180,"""If there are only two, if one regime joins forces to develop its power,",1180.0,"1220,1,0,,"
1181,1181,"The remaining one regime will disappear and become a dictatorship """,1181.0,"1221,1,0,,"
1182,1182,To balance the power of the state,1182.0,"1222,0,0,,"
1183,1183,"Since all work cannot be handled in one place, it is largely divided into three areas.",1183.0,"1223,0,1,,"
1184,1184,The country is important,1184.0,"1224,0,0,,"
1185,1185,It's because each person has a different job. This is because there are many fields.,1185.0,"1225,0,1,,"
1186,1186,Because what you do is different.,1186.0,"1226,0,1,,"
1187,1187,LaIt's because it's complicated and too much work to do in one place.,1187.0,"1227,0,0,,"
1188,1188,I have too much work to do in one place,1188.0,"1228,0,1,,1229,1,0,,"
1189,1189,To keep the power from being skewed to one side to separate the three powers,1189.0,"1230,1,0,,"
1190,1190,To see if we're doing the right thing and prevent power from turning to one side and becoming a dictatorship,1190.0,"1231,1,0,,"
1191,1191,I have a lot of work to do,1191.0,"1232,1,0,,"
1192,1192,Separation of powers,1192.0,"1233,0,0,,"
1193,1193,To prevent power from being skewed to one side,1193.0,"1234,1,0,,"
1194,1194,To separate power,1194.0,"1235,0,1,,"
1195,1195,To make things faster.,1195.0,"1236,0,1,,"
1196,1196,"To maintain the center of gravity by separating powers,",1196.0,"1237,1,0,,"
1197,1197,This is because several people work together.,1197.0,"1238,0,1,,"
1198,1198,To keep one place from monopolizing power,1198.0,"1239,1,0,,"
1199,1199,Separation of powers,1199.0,"1240,0,0,,"
1200,1200,To prevent power from being skewed by separation of powers,1200.0,"1241,1,0,,"
1201,1201,"If we don't divide state power into three places, it will become stronger by concentrating power on one side, which will become increasingly autocratic, endangering the state, and if it concentrates on only one organization, it can be compromised if it makes wrong decisions or uses power at will. In addition, it is to ensure and protect the freedom and equality of the people through checks and balances between the three organizations.",1201.0,"1242,0,0,,"
1202,1202,,1202.0,"1243,0,0,,"
1203,1203,,1203.0,"1244,0,0,,"
1204,1204,"""",1204.0,"1245,0,0,,"
1205,1205,To prevent the state from collapsing because of the monopoly of power in one organization,1205.0,"1246,0,1,,"
1206,1206,separation of powers,1206.0,"1247,1,0,,"
1207,1207,To prevent power from being concentrated in one place,1207.0,"1248,1,0,,"
1208,1208,"When power is gathered in one place, dictatorship takes place, and it is divided to prevent this",1208.0,"1249,0,0,,"
1209,1209,"If one place takes charge of the affairs of the state, no one can stop it even if the agency changes the law at will and executes it at will, so the three powers have been separated.",1209.0,"1250,1,0,,"
1210,1210,To keep each other in check,1210.0,"1251,0,0,,"
1211,1211,I divided it because it was hard to do it all at once,1211.0,"1252,0,0,,"
1212,1212,"Through the separation of the three powers, power is not skewed to one place, so it is balanced and helps each institution play a role.",1212.0,"1253,0,1,,"
1213,1213,To make a more detailed trial,1213.0,"1254,0,0,,"
1214,1214,"The power was divided into the National Assembly, the government, and the courts because it was too much for the state alone",1214.0,"1255,0,1,,"
1215,1215,"""1. If you do it in one place, it's too much and it's hard.""",1215.0,"1256,0,0,,"
1216,1216,"2. Because it's more convenient to divide into two groups""",1216.0,"1257,0,0,,"
1217,1217,To balance politics by separating the three powers,1217.0,"1258,0,0,,1259,0,0,,"
1218,1218,"Since the work of the National Assembly, the government, and the courts is different, they are divided into separate fields so that they can do their own work.",1218.0,"1260,0,0,,"
1219,1219,"In order to prevent the separation of powers from even one place,",1219.0,"1261,0,0,,"
1220,1220,"It's hard to do it only in one place, so we do it separately",1220.0,"1262,0,0,,"
1221,1221,To keep one side out of the way.,1221.0,"1263,0,0,,"
1222,1222,"In order to handle the administration of the country quickly,",1222.0,"1264,0,1,,"
1223,1223,To keep each other in check and keep an eye on each other,1223.0,"1265,0,0,,"
1224,1224,To keep power away from one place,1224.0,"1266,0,1,,"
1225,1225,It's to keep the power from focusing on one side,1225.0,"1267,0,1,,"
1226,1226,It's to keep your strength from going to one side,1226.0,"1268,0,0,,"
1227,1227,They're all different things,1227.0,"1269,0,1,,"
1228,1228,Ohhhhhhhhhhhhhhhhhhh,1228.0,"1270,0,0,,"
1229,1229,Because it's hard for one person to do it all,1229.0,"1271,1,0,,"
1230,1230,Separation of powers,1230.0,"1272,1,0,,"
1231,1231,It's a separation of powers,1231.0,"1273,0,1,,"
1232,1232,It is to prevent power from being biased to one side,1232.0,"1274,0,0,,"
1233,1233,Divide the power of separation of powers,1233.0,"1275,0,1,,"
1234,1234,I don't know.,1234.0,"1276,0,0,,"
1235,1235,Everything I do is different,1235.0,"1277,0,1,,"
1236,1236,I don't know,1236.0,"1278,0,1,,"
1237,1237,It's hard to do everything in one place,1237.0,"1279,0,1,,"
1238,1238,This is because you have to work separately to get things done more accurately and quickly.,1238.0,"1280,0,0,,"
1239,1239,I don't know.,1239.0,"1281,0,1,,"
1240,1240,Because what we do is different,1240.0,"1282,0,0,,"
1241,1241,power sharing,1241.0,"1283,0,0,,"
1242,1242,To keep each power equal,1242.0,"1284,0,1,,"
1243,1243,"One side is strong, that is, power, which prevents dictatorship.",1243.0,"1285,0,1,,"
1244,1244,Separation of powers,1244.0,"1286,0,0,,"
1245,1245,It is to guarantee the basic human rights of the people,1245.0,"1287,0,1,,"
1246,1246,"I mean, don't monopolize power in one place.",1246.0,"1288,1,0,,1289,1,0,,"
1247,1247,"It seems to be the same kind, but it is because the details are different.",1247.0,"1290,0,0,,"
1248,1248,It is to share the work and make it more efficiently.,1248.0,"1291,1,0,,"
1249,1249,It is to divide it into three places so that power does not lean to one side.,1249.0,"1292,1,0,,"
1250,1250,"This is because what the National Assembly, the government, and the court do is different.",1250.0,"1293,1,0,,"
1251,1251,It is to protect the freedom and rights of the people through the balance of checks.,1251.0,"1294,1,0,,"
1252,1252,It is to lead the country.,1252.0,"1295,1,0,,"
1253,1253,"To prevent power and dictatorship, as seen in one part",1253.0,"1296,0,0,,"
1254,1254,Because the National Assembly works in the National Assembly,1254.0,"1297,1,0,,"
1255,1255,Unknowingness,1255.0,"1298,1,0,,"
1256,1256,Because it leads the country.,1256.0,"1299,0,1,,"
1257,1257,Unknowingness,1257.0,"1300,1,0,,"
1258,1258,This is because it is easier and faster to divide it than to do it all in one place.,1258.0,"1301,1,0,,"
1259,1259,"If different national institutions share the power and role of the state, they can check each other and play a balanced politics.Accordingly, it is possible to protect the freedom and rights of the people.",1259.0,"1302,1,0,,"
1260,1260,"If different national institutions share the power and role of the state, they can keep each other in check and play balanced politics",1260.0,"1303,1,0,,"
1261,1261,The national interest and government are like courts,1261.0,"1304,1,0,,"
1262,1262,In order to keep politics in check it out,1262.0,"1305,1,0,,"
1263,1263,Because it leads the country.,1263.0,"1306,1,0,,"
1264,1264,It's a problem in Korea,1264.0,"1307,1,0,,"
1265,1265,This is because a country has too much work to do three things.,1265.0,"1308,0,0,,"
1266,1266,Unknowingness,1266.0,"1309,1,0,,"
1267,1267,Because we work separately.,1267.0,"1310,1,0,,"
1268,1268,To protect the country,1268.0,"1311,1,0,,"
1269,1269,To protect the country.,1269.0,"1312,1,0,,"
1270,1270,Unknowingness,1270.0,"1313,1,0,,"
1271,1271,Unknowingness,1271.0,"1314,1,0,,"
1272,1272,How do I know?,1272.0,"1315,1,0,,"
1273,1273,Unknowingness,1273.0,"1316,1,0,,"
1274,1274,Unknowingness,1274.0,"1317,1,0,,"
1275,1275,It's because I'm trying to be a politician,1275.0,"1318,1,0,,1319,1,0,,"
1276,1276,There's something else going on,1276.0,"1320,0,0,,"
1277,1277,I don't know,1277.0,"1321,1,0,,"
1278,1278,It's easy to divide roles evenly,1278.0,"1322,1,0,,"
1279,1279,"It's better to take care of what you have to do, just like it's hard to take care of it all by yourself",1279.0,"1323,1,0,,"
1280,1280,So that I can dream more,1280.0,"1324,1,0,,"
1281,1281,I'm tired,1281.0,"1325,1,0,,"
1282,1282,"Courts make laws, governments don't know Congress doesn't know",1282.0,"1326,1,0,,"
1283,1283,"If one side is strong, it'll be pushed to the other side",1283.0,"1327,0,0,,"
1284,1284,This is because corruption can increase if the country has all the rights.,1284.0,"1328,1,0,,"
1285,1285,We have different things to do,1285.0,"1329,1,0,,"
1286,1286,To make your dreams come trueI think it's because the roles are all different.,1286.0,"1330,1,0,,"
1287,1287,It's important to decide through 3 places,1287.0,"1331,,,,"
1288,1288,in order to work more modestly,1288.0,"1332,,,,"
1289,1289,Because it's easier to categorize things by dividing them,1289.0,"1333,54.0%,27.2%,,"
1290,1290,Because what we do is different,,
1291,1291,Unknowingness,,
1292,1292,It's because each person has a role field.,,
1293,1293,I thought we should split up,,
1294,1294,Politics is good.,,
1295,1295,Everyone has a role,,
1296,1296,"This is because the National Assembly has to work for the National Assembly, the court has to work for the court, and the government has to work",,
1297,1297,I feel like we've split up a lot,,
1298,1298,It's hard to do it alone,,
1299,1299,be free from corruption,,
1300,1300,for the balance of power,,
1301,1301,To create jobs,,
1302,1302,It is to balance power in three parts of three,,
1303,1303,To prevent one's power from leaning toward dictatorship.,,
1304,1304,"To check each department through separation of powers,",,
1305,1305,The power of the state can be divided into three volumes to prevent the power from being concentrated on one side and prevent the dictatorship to create a democratic society.,,
1306,1306,in order to disperse power,,
1307,1307,"That way, you won't be confused",,
1308,1308,to keep each other in check,,
1309,1309,Separation of powers,,
1310,1310,This is to divide intellectuals who have learned professionally in one field and make it accurate and easy.,,
1311,1311,To check each other and prevent one from monopolizing,,
1312,1312,The separation of powers is to keep each other in check,,
1313,1313,"To keep each other in check through the separation of powers,",,
1314,1314,"""Separation of powers""",,
1315,1315,"to prevent power from being skewed to one side.""",,
1316,1316,It's to keep each other in check and achieve balance,,
1317,1317,To prevent the concentration of power in one regime,,
1318,1318,It is to prevent dictatorship.,,
1319,1319,To separate the power of the state and maintain a democratic regime,,
1320,1320,I'm not sure because I majored in science.,,
1321,1321,Don't put your strength on one side,,
1322,1322,separation of powers,,
1323,1323,This is to complement each other by separating the three powers.,,
1324,1324,a power-biased economy,,
1325,1325,Separation of powers. To prevent independent control of power.,,
1326,1326,"""",,
1327,1327,To prevent an agency's monopoly on power,,
1328,1328,separation of powers,,
1329,1329,To strike a balance in society,,
1330,1330,To prevent the concentration of power into one place,,
1331,1331,To prevent the power from being concentrated in one place through the separation of powers,,
1332,1332,The separation of powers to prevent monopoly power.,,
1333,1333,Choi Soon-sil,,
1334,1334,The reason for the separation of powers is mutual cooperation and competition system recognition?,,
1335,1335,The reason for the separation of powers is to prevent the power from being biased in one place.,,
1336,1336,This is to prevent corruption of power by realizing the separation of the three powers.,,
1337,1337,To disperse the power of the state and keep each other in check,,
1338,1338,This is because it prevents power from being concentrated.,,
1339,1339,It's a separation of powers,,
1340,1340,Because we have to be equal,,
1341,1341,So that sovereignty doesn't come together,,
1342,1342,This is to make sure that power is not gathered in one place and that they are checked by creating a confrontational structure.,,
1343,1343,It's to keep the power from being biased by one power,,
1344,1344,Evaluation Only. Created with Aspose.Cells for Python via Java.Copyright 2003 - 2022 Aspose Pty Ltd.,,
